QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ORLANDO_ACTION,GOLDEN STATE_SCORE,ORLANDO_SCORE
4,1:27.0,S. Curry misses 2-pt jump shot from 15 ft,,94,95
4,1:24.0,,Defensive rebound by A. Gordon,94,95
4,1:16.0,,D. Augustin makes 2-pt layup from 2 ft,94,97
4,1:16.0,Golden State full timeout,,94,97
4,1:15.0,Personal foul by A. Gordon (drawn by S. Curry),,94,97
4,1:08.0,S. Curry misses 3-pt jump shot from 26 ft,,94,97
4,1:04.0,Offensive rebound by J. Jerebko,,94,97
4,1:00.0,D. Cousins misses 2-pt hook shot from 7 ft,,94,97
4,0:59.0,,Defensive rebound by T. Ross,94,97
4,0:59.0,,Personal foul by D. Cousins (drawn by T. Ross),94,97
4,0:59.0,,T. Ross makes free throw 1 of 2,94,98
4,0:59.0,,T. Ross makes free throw 2 of 2,94,99
4,0:48.0,J. Jerebko makes 2-pt layup from 2 ft (assist by S. Curry),,96,99
4,0:27.0,,N. Vučević misses 2-pt hook shot from 7 ft,96,99
4,0:26.0,,Offensive rebound by A. Gordon,96,99
4,0:26.0,,A. Gordon makes 2-pt layup from 1 ft,96,101
4,0:18.0,D. Cousins misses 3-pt jump shot from 25 ft,,96,101
4,0:17.0,,Defensive rebound by A. Gordon,96,101
4,0:15.0,,Personal take foul by J. Jerebko (drawn by A. Gordon),96,101
4,0:15.0,,A. Gordon makes free throw 1 of 2,96,102
4,0:15.0,,A. Gordon makes free throw 2 of 2,96,103
4,0:15.0,Golden State full timeout,,96,103
4,0:15.0,,J. Isaac enters the game for D. Augustin,96,103
4,0:15.0,,W. Iwundu enters the game for T. Ross,96,103
4,0:14.0,K. Thompson misses 3-pt jump shot from 26 ft,,96,103
4,0:11.0,,Defensive rebound by Team,96,103
