QUARTER,TIME_REMAINING,PHOENIX_ACTION,INDIANA_ACTION,PHOENIX_SCORE,INDIANA_SCORE
4,7:46.0,D. Ayton misses 2-pt jump shot from 18 ft,,82,103
4,7:43.0,,Defensive rebound by D. Sabonis,82,103
4,7:28.0,,T. Young misses 2-pt layup from 1 ft,82,103
4,7:24.0,,Offensive rebound by T. Evans,82,103
4,7:24.0,,T. Evans makes 2-pt layup at rim,82,105
4,7:24.0,Phoenix full timeout,,82,105
4,7:24.0,D. Melton enters the game for Q. Acy,,82,105
4,7:24.0,T. Warren enters the game for E. Okobo,,82,105
4,7:01.0,T. Warren misses 2-pt jump shot from 17 ft,,82,105
4,7:00.0,,Defensive rebound by D. Sabonis,82,105
4,6:50.0,,T. Evans makes 2-pt layup from 2 ft (assist by C. Joseph),82,107
4,6:39.0,D. Booker misses 3-pt jump shot from 24 ft,,82,107
4,6:35.0,,Defensive rebound by T. Young,82,107
4,6:27.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by C. Joseph),82,109
4,6:27.0,,Shooting foul by D. Ayton (drawn by D. Sabonis),82,109
4,6:27.0,,T. Leaf enters the game for T. Young,82,109
4,6:27.0,,D. Sabonis makes free throw 1 of 1,82,110
4,6:16.0,Turnover by D. Booker (bad pass; steal by D. Sabonis),,82,110
4,6:14.0,,Personal take foul by D. Melton (drawn by T. Evans),82,110
4,6:14.0,,T. Evans makes free throw 1 of 2,82,111
4,6:14.0,,T. Evans makes free throw 2 of 2,82,112
4,6:05.0,Personal foul by D. Sabonis (drawn by T. Warren),,82,112
4,5:59.0,D. Booker misses 2-pt layup from 2 ft,,82,112
4,5:57.0,,Defensive rebound by T. Leaf,82,112
4,5:51.0,,D. McDermott misses 3-pt jump shot from 26 ft,82,112
4,5:48.0,Defensive rebound by D. Booker,,82,112
4,5:42.0,D. Melton misses 3-pt jump shot from 26 ft,,82,112
4,5:39.0,,Defensive rebound by D. Sabonis,82,112
4,5:30.0,,C. Joseph misses 2-pt jump shot from 18 ft,82,112
4,5:25.0,,Offensive rebound by T. Leaf,82,112
4,5:24.0,,Turnover by D. Sabonis (bad pass),82,112
4,5:20.0,T. Warren makes 2-pt layup from 2 ft (assist by D. Melton),,84,112
4,5:02.0,,D. Sabonis misses 2-pt jump shot from 17 ft,84,112
4,5:00.0,Defensive rebound by D. Booker,,84,112
4,4:53.0,Turnover by M. Bridges (bad pass; steal by T. Evans),,84,112
4,4:52.0,,Personal take foul by D. Booker (drawn by T. Evans),84,112
4,4:52.0,,T. Evans makes free throw 1 of 2,84,113
4,4:52.0,,T. Evans makes free throw 2 of 2,84,114
4,4:49.0,Turnover by M. Bridges (out of bounds lost ball),,84,114
4,4:49.0,,Indiana full timeout,84,114
4,4:49.0,D. Bender enters the game for D. Ayton,,84,114
4,4:49.0,T. Daniels enters the game for D. Booker,,84,114
4,4:49.0,R. Holmes enters the game for T. Warren,,84,114
4,4:49.0,,A. Holiday enters the game for C. Joseph,84,114
4,4:49.0,,K. O'Quinn enters the game for D. Sabonis,84,114
4,4:36.0,,K. O'Quinn misses 2-pt jump shot from 17 ft,84,114
4,4:35.0,Defensive rebound by Team,,84,114
4,4:16.0,D. Melton misses 2-pt jump shot from 14 ft (block by A. Holiday),,84,114
4,4:12.0,,Defensive rebound by A. Holiday,84,114
4,4:05.0,,T. Evans makes 3-pt jump shot from 27 ft (assist by T. Leaf),84,117
4,3:50.0,R. Holmes misses 2-pt jump shot from 7 ft (block by K. O'Quinn),,84,117
4,3:48.0,,Defensive rebound by A. Holiday,84,117
4,3:45.0,,T. Leaf makes 2-pt layup from 1 ft (assist by A. Holiday),84,119
4,3:36.0,Personal take foul by T. Evans (drawn by T. Daniels),,84,119
4,3:36.0,,A. Johnson enters the game for T. Evans,84,119
4,3:30.0,Turnover by D. Melton (lost ball; steal by A. Holiday),,84,119
4,3:19.0,,A. Johnson misses 2-pt jump shot from 14 ft,84,119
4,3:17.0,,Offensive rebound by T. Leaf,84,119
4,3:17.0,,T. Leaf makes 2-pt layup at rim,84,121
4,3:03.0,T. Daniels misses 3-pt jump shot from 25 ft,,84,121
4,2:59.0,,Defensive rebound by K. O'Quinn,84,121
4,2:43.0,,K. O'Quinn misses 3-pt jump shot from 27 ft,84,121
4,2:43.0,Defensive rebound by Team,,84,121
4,2:32.0,T. Daniels makes 3-pt jump shot from 29 ft (assist by D. Melton),,87,121
4,2:15.0,,A. Holiday makes 2-pt jump shot from 9 ft (assist by K. O'Quinn),87,123
4,2:01.0,R. Holmes makes 2-pt dunk from 1 ft,,89,123
4,1:46.0,,K. O'Quinn misses 2-pt jump shot from 18 ft,89,123
4,1:42.0,Defensive rebound by M. Bridges,,89,123
4,1:40.0,R. Holmes makes 2-pt dunk from 1 ft (assist by D. Melton),,91,123
4,1:30.0,,D. McDermott makes 2-pt layup from 1 ft (assist by K. O'Quinn),91,125
4,1:23.0,T. Daniels makes 3-pt jump shot from 28 ft (assist by R. Holmes),,94,125
4,1:06.0,,A. Holiday makes 3-pt jump shot from 27 ft,94,128
4,0:51.0,T. Daniels misses 2-pt jump shot from 18 ft,,94,128
4,0:51.0,,Defensive rebound by D. McDermott,94,128
4,0:26.0,,A. Johnson makes 3-pt jump shot from 23 ft (assist by A. Holiday),94,131
4,0:14.0,D. Bender misses 3-pt jump shot from 24 ft (block by A. Holiday),,94,131
4,0:10.0,Offensive rebound by D. Melton,,94,131
4,0:08.0,T. Daniels misses 3-pt jump shot from 28 ft,,94,131
4,0:04.0,Offensive rebound by M. Bridges,,94,131
4,0:02.0,D. Melton makes 3-pt jump shot from 24 ft (assist by M. Bridges),,97,131
