QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MEMPHIS_ACTION,CLEVELAND_SCORE,MEMPHIS_SCORE
4,0:46.0,,M. Conley makes free throw 1 of 2,82,89
4,0:46.0,,M. Conley makes free throw 2 of 2,82,90
4,0:46.0,Cleveland full timeout,,82,90
4,0:46.0,,S. Mack enters the game for J. Jackson,82,90
4,0:41.0,A. Burks misses 2-pt jump shot from 20 ft,,82,90
4,0:40.0,,Defensive rebound by M. Gasol,82,90
4,0:40.0,,Personal take foul by C. Osman (drawn by K. Anderson),82,90
4,0:40.0,,K. Anderson makes free throw 1 of 2,82,91
4,0:40.0,,K. Anderson misses free throw 2 of 2,82,91
4,0:38.0,Defensive rebound by A. Burks,,82,91
4,0:33.0,L. Nance misses 3-pt jump shot from 25 ft,,82,91
4,0:27.0,,Defensive rebound by M. Gasol,82,91
4,0:26.0,,Personal take foul by L. Nance (drawn by M. Gasol),82,91
4,0:26.0,,M. Gasol makes free throw 1 of 2,82,92
4,0:26.0,,M. Gasol makes free throw 2 of 2,82,93
4,0:26.0,Cleveland full timeout,,82,93
4,0:23.0,J. Clarkson makes 3-pt jump shot from 26 ft (assist by C. Sexton),,85,93
4,0:21.0,,Personal take foul by C. Osman (drawn by S. Mack),85,93
4,0:21.0,,S. Mack makes free throw 1 of 2,85,94
4,0:21.0,,S. Mack makes free throw 2 of 2,85,95
4,0:13.0,C. Sexton misses 2-pt jump shot from 16 ft,,85,95
4,0:10.0,Offensive rebound by C. Sexton,,85,95
4,0:10.0,Shooting foul by M. Gasol (drawn by C. Sexton),,85,95
4,0:10.0,C. Sexton makes free throw 1 of 2,,86,95
4,0:10.0,C. Sexton makes free throw 2 of 2,,87,95
