QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,WASHINGTON_ACTION,LA CLIPPERS_SCORE,WASHINGTON_SCORE
4,5:55.0,,Offensive rebound by Team,107,103
4,5:55.0,S. Gilgeous-Alexander enters the game for L. Williams,,107,103
4,5:55.0,,B. Beal makes free throw 2 of 2,107,104
4,5:44.0,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft,,107,104
4,5:40.0,,Defensive rebound by O. Porter,107,104
4,5:34.0,,J. Green misses 3-pt jump shot from 26 ft,107,104
4,5:31.0,Defensive rebound by D. Gallinari,,107,104
4,5:26.0,M. Harrell makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),,109,104
4,5:05.0,,B. Beal makes 2-pt layup from 3 ft,109,106
4,5:05.0,,Shooting foul by T. Harris (drawn by B. Beal),109,106
4,5:05.0,,B. Beal makes free throw 1 of 1,109,107
4,4:41.0,T. Harris misses 2-pt jump shot from 18 ft (block by M. Morris),,109,107
4,4:41.0,Offensive rebound by Team,,109,107
4,4:40.0,Turnover by Team (shot clock),,109,107
4,4:27.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by J. Wall),109,110
4,4:26.0,LA Clippers full timeout,,109,110
4,4:11.0,M. Harrell makes 2-pt jump shot from 10 ft,,111,110
4,3:57.0,,M. Morris misses 3-pt jump shot from 25 ft,111,110
4,3:54.0,Defensive rebound by T. Harris,,111,110
4,3:47.0,Turnover by T. Harris (lost ball; steal by J. Wall),,111,110
4,3:45.0,,Shooting foul by T. Harris (drawn by B. Beal),111,110
4,3:45.0,,B. Beal makes free throw 1 of 2,111,111
4,3:45.0,,B. Beal misses free throw 2 of 2,111,111
4,3:42.0,Defensive rebound by S. Gilgeous-Alexander,,111,111
4,3:35.0,Personal foul by M. Morris (drawn by M. Harrell),,111,111
4,3:35.0,L. Williams enters the game for D. Gallinari,,111,111
4,3:29.0,L. Williams misses 2-pt jump shot from 8 ft,,111,111
4,3:26.0,,Defensive rebound by J. Green,111,111
4,3:22.0,,B. Beal makes 2-pt layup from 2 ft,111,113
4,3:06.0,Offensive foul by M. Harrell (drawn by B. Beal),,111,113
4,3:06.0,Turnover by M. Harrell (offensive foul),,111,113
4,3:06.0,,Washington full timeout,111,113
4,2:52.0,,Turnover by B. Beal (bad pass; steal by S. Gilgeous-Alexander),111,113
4,2:38.0,L. Williams makes 2-pt jump shot from 3 ft,,113,113
4,2:23.0,,J. Wall makes 2-pt layup from 2 ft,113,115
4,2:09.0,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,,113,115
4,2:08.0,,Defensive rebound by Team,113,115
4,2:08.0,Loose ball foul by M. Harrell (drawn by M. Morris),,113,115
4,2:08.0,,M. Morris makes free throw 1 of 2,113,116
4,2:08.0,,Technical foul by M. Morris,113,116
4,2:08.0,Technical foul by M. Harrell,,113,116
4,2:08.0,,M. Morris makes free throw 2 of 2,113,117
4,1:58.0,T. Harris misses 2-pt layup from 7 ft,,113,117
4,1:55.0,Offensive rebound by M. Harrell,,113,117
4,1:45.0,L. Williams misses 3-pt jump shot from 29 ft (block by B. Beal),,113,117
4,1:41.0,,Defensive rebound by M. Morris,113,117
4,1:21.0,,J. Wall misses 3-pt jump shot from 27 ft,113,117
4,1:19.0,,Offensive rebound by O. Porter,113,117
4,1:16.0,,J. Green makes 2-pt dunk from 2 ft (assist by M. Morris),113,119
4,1:16.0,LA Clippers full timeout,,113,119
4,1:16.0,D. Gallinari enters the game for M. Harrell,,113,119
4,1:10.0,D. Gallinari misses 3-pt jump shot from 29 ft,,113,119
4,1:09.0,,Defensive rebound by Team,113,119
4,0:49.0,,Personal foul by D. Gallinari (drawn by M. Morris),113,119
4,0:49.0,,M. Morris makes free throw 1 of 2,113,120
4,0:49.0,,M. Morris makes free throw 2 of 2,113,121
4,0:46.0,L. Williams makes 2-pt jump shot from 10 ft,,115,121
4,0:34.0,,J. Wall makes 2-pt layup at rim,115,123
4,0:34.0,LA Clippers full timeout,,115,123
4,0:34.0,Technical foul by L. Williams,,115,123
4,0:34.0,L. Williams ejected from game,,115,123
4,0:34.0,P. Beverley enters the game for L. Williams,,115,123
4,0:34.0,,B. Beal makes technical free throw,115,124
4,0:31.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,117,124
4,0:31.0,,Violation by Team (def goaltending),117,124
4,0:31.0,Shooting foul by J. Green (drawn by S. Gilgeous-Alexander),,117,124
4,0:31.0,S. Gilgeous-Alexander makes free throw 1 of 1,,118,124
4,0:28.0,,Personal take foul by D. Gallinari (drawn by J. Wall),118,124
4,0:28.0,,J. Wall misses free throw 1 of 2,118,124
4,0:28.0,,Offensive rebound by Team,118,124
4,0:28.0,,J. Wall makes free throw 2 of 2,118,125
4,0:22.0,T. Harris misses 3-pt jump shot from 26 ft,,118,125
4,0:19.0,,Defensive rebound by O. Porter,118,125
