QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MIAMI_ACTION,OKLAHOMA CITY_SCORE,MIAMI_SCORE
4,4:00.0,,Turnover by K. Olynyk (bad pass; steal by P. George),114,93
4,3:59.0,Personal take foul by B. Adebayo (drawn by R. Westbrook),,114,93
4,3:49.0,J. Grant misses 3-pt jump shot from 24 ft,,114,93
4,3:46.0,,Defensive rebound by B. Adebayo,114,93
4,3:40.0,,R. McGruder misses 3-pt jump shot from 25 ft,114,93
4,3:38.0,,Offensive rebound by Team,114,93
4,3:38.0,A. Nader enters the game for R. Westbrook,,114,93
4,3:27.0,,D. Waiters misses 3-pt jump shot from 25 ft,114,93
4,3:25.0,Defensive rebound by P. George,,114,93
4,3:05.0,P. George misses 3-pt jump shot from 25 ft,,114,93
4,3:02.0,,Defensive rebound by D. Waiters,114,93
4,2:56.0,,R. McGruder makes 2-pt dunk at rim (assist by B. Adebayo),114,95
4,2:44.0,S. Adams makes 2-pt dunk from 2 ft (assist by A. Nader),,116,95
4,2:44.0,Shooting foul by K. Olynyk (drawn by S. Adams),,116,95
4,2:44.0,Á. Abrines enters the game for P. George,,116,95
4,2:44.0,H. Diallo enters the game for J. Grant,,116,95
4,2:44.0,S. Adams makes free throw 1 of 1,,117,95
4,2:26.0,,R. McGruder misses 3-pt jump shot from 25 ft,117,95
4,2:23.0,Defensive rebound by A. Nader,,117,95
4,2:21.0,Oklahoma City full timeout,,117,95
4,2:21.0,T. Ferguson enters the game for S. Adams,,117,95
4,2:21.0,N. Noel enters the game for D. Schröder,,117,95
4,2:12.0,Á. Abrines misses 2-pt layup from 2 ft,,117,95
4,2:10.0,,Defensive rebound by K. Olynyk,117,95
4,2:05.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by D. Waiters),117,98
4,1:37.0,H. Diallo misses 2-pt jump shot from 9 ft,,117,98
4,1:35.0,Offensive rebound by H. Diallo,,117,98
4,1:35.0,H. Diallo misses 2-pt layup at rim,,117,98
4,1:34.0,,Defensive rebound by D. Waiters,117,98
4,1:29.0,,K. Olynyk makes 2-pt layup from 1 ft,117,100
4,1:15.0,A. Nader misses 2-pt layup from 2 ft,,117,100
4,1:12.0,,Defensive rebound by K. Olynyk,117,100
4,1:03.0,,Turnover by K. Olynyk (bad pass; steal by H. Diallo),117,100
4,1:01.0,Shooting foul by B. Adebayo (drawn by H. Diallo),,117,100
4,1:01.0,H. Diallo misses free throw 1 of 2,,117,100
4,1:01.0,Offensive rebound by Team,,117,100
4,1:01.0,H. Diallo makes free throw 2 of 2,,118,100
4,0:41.0,,Personal foul by N. Noel (drawn by B. Adebayo),118,100
4,0:37.0,,K. Olynyk makes 2-pt dunk from 1 ft,118,102
4,0:25.0,Turnover by H. Diallo (bad pass; steal by D. Waiters),,118,102
4,0:15.0,,Turnover by R. McGruder (bad pass; steal by H. Diallo),118,102
