QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
4,1:16.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Ariza),113,106
4,1:10.0,Personal foul by B. Beal (drawn by D. Collison),,113,106
4,1:10.0,D. Collison makes free throw 1 of 2,,114,106
4,1:10.0,D. Collison makes free throw 2 of 2,,115,106
4,0:59.0,,J. Parker makes 3-pt jump shot from 26 ft (assist by T. Satoranský),115,109
4,0:48.0,Turnover by D. Collison (bad pass),,115,109
4,0:44.0,,B. Beal misses 3-pt jump shot from 27 ft,115,109
4,0:41.0,Defensive rebound by D. Sabonis,,115,109
4,0:41.0,Personal foul by J. Parker (drawn by D. Sabonis),,115,109
4,0:41.0,D. Sabonis misses free throw 1 of 2,,115,109
4,0:41.0,Offensive rebound by Team,,115,109
4,0:41.0,D. Sabonis misses free throw 2 of 2,,115,109
4,0:40.0,,Defensive rebound by T. Bryant,115,109
4,0:35.0,,T. Ariza misses 3-pt jump shot from 26 ft,115,109
4,0:32.0,,Offensive rebound by T. Bryant,115,109
4,0:28.0,,T. Bryant makes 3-pt jump shot from 27 ft (assist by T. Ariza),115,112
4,0:27.0,Indiana full timeout,,115,112
4,0:27.0,T. Evans enters the game for T. Young,,115,112
4,0:18.0,Turnover by D. Collison (bad pass; steal by T. Bryant),,115,112
4,0:14.0,,T. Bryant misses 3-pt jump shot from 26 ft,115,112
4,0:10.0,Defensive rebound by D. Collison,,115,112
4,0:10.0,Personal foul by T. Ariza (drawn by D. Collison),,115,112
4,0:10.0,D. Collison makes free throw 1 of 2,,116,112
4,0:10.0,T. Young enters the game for T. Evans,,116,112
4,0:10.0,D. Collison makes free throw 2 of 2,,117,112
4,0:10.0,,Washington full timeout,117,112
4,0:07.0,,T. Satoranský misses 3-pt jump shot from 27 ft,117,112
4,0:04.0,Defensive rebound by W. Matthews,,117,112
4,0:04.0,Personal take foul by J. Parker (drawn by W. Matthews),,117,112
4,0:04.0,W. Matthews makes free throw 1 of 2,,118,112
4,0:04.0,W. Matthews makes free throw 2 of 2,,119,112
