QUARTER,TIME_REMAINING,ORLANDO_ACTION,MEMPHIS_ACTION,ORLANDO_SCORE,MEMPHIS_SCORE
4,4:27.0,,J. Noah enters the game for J. Valančiūnas,91,87
4,4:27.0,,M. Conley makes free throw 2 of 2,91,88
4,4:12.0,N. Vučević misses 2-pt jump shot from 7 ft,,91,88
4,4:09.0,,Defensive rebound by J. Holiday,91,88
4,3:57.0,,Turnover by A. Bradley (bad pass; steal by N. Vučević),91,88
4,3:54.0,Shooting foul by J. Holiday (drawn by J. Isaac),,91,88
4,3:54.0,J. Isaac makes free throw 1 of 2,,92,88
4,3:54.0,,D. Wright enters the game for J. Holiday,92,88
4,3:54.0,J. Isaac makes free throw 2 of 2,,93,88
4,3:52.0,,Memphis full timeout,93,88
4,3:46.0,,C. Miles misses 3-pt jump shot from 23 ft,93,88
4,3:43.0,Defensive rebound by W. Iwundu,,93,88
4,3:29.0,D. Augustin misses 3-pt jump shot from 25 ft,,93,88
4,3:27.0,,Defensive rebound by J. Noah,93,88
4,3:14.0,,M. Conley misses 2-pt jump shot from 15 ft,93,88
4,3:11.0,Defensive rebound by N. Vučević,,93,88
4,3:06.0,Personal take foul by J. Noah (drawn by W. Iwundu),,93,88
4,3:06.0,W. Iwundu makes free throw 1 of 2,,94,88
4,3:06.0,W. Iwundu makes free throw 2 of 2,,95,88
4,2:52.0,,M. Conley makes 2-pt layup from 4 ft (assist by J. Noah),95,90
4,2:52.0,,Shooting foul by W. Iwundu (drawn by M. Conley),95,90
4,2:52.0,,M. Conley makes free throw 1 of 1,95,91
4,2:40.0,Offensive foul by T. Ross (drawn by A. Bradley),,95,91
4,2:40.0,Turnover by T. Ross (offensive foul),,95,91
4,2:28.0,,Turnover by J. Noah (offensive foul),95,91
4,2:28.0,,Offensive foul by J. Noah (drawn by W. Iwundu),95,91
4,2:14.0,T. Ross misses 2-pt jump shot from 16 ft,,95,91
4,2:09.0,,Defensive rebound by D. Wright,95,91
4,2:05.0,Loose ball foul by J. Isaac (drawn by M. Conley),,95,91
4,2:01.0,,M. Conley makes 2-pt jump shot from 14 ft,95,93
4,1:48.0,Personal foul by J. Noah (drawn by N. Vučević),,95,93
4,1:48.0,,J. Valančiūnas enters the game for J. Noah,95,93
4,1:48.0,N. Vučević makes free throw 1 of 2,,96,93
4,1:48.0,N. Vučević makes free throw 2 of 2,,97,93
4,1:38.0,,A. Bradley misses 3-pt jump shot from 25 ft,97,93
4,1:33.0,Defensive rebound by J. Isaac,,97,93
4,1:22.0,W. Iwundu misses 2-pt dunk from 3 ft (block by J. Valančiūnas),,97,93
4,1:18.0,,Defensive rebound by D. Wright,97,93
4,1:11.0,,D. Wright makes 2-pt jump shot from 4 ft,97,95
4,1:11.0,,Shooting foul by W. Iwundu (drawn by D. Wright),97,95
4,1:11.0,,D. Wright makes free throw 1 of 1,97,96
4,0:50.0,Turnover by T. Ross (lost ball; steal by J. Valančiūnas),,97,96
4,0:50.0,,Personal take foul by T. Ross (drawn by M. Conley),97,96
4,0:50.0,,M. Conley makes free throw 1 of 2,97,97
4,0:50.0,,M. Conley makes free throw 2 of 2,97,98
4,0:33.0,D. Augustin misses 3-pt jump shot from 26 ft,,97,98
4,0:30.0,,Defensive rebound by C. Miles,97,98
4,0:14.0,,M. Conley makes 2-pt jump shot from 19 ft,97,100
4,0:14.0,Orlando full timeout,,97,100
4,0:14.0,,J. Holiday enters the game for C. Miles,97,100
4,0:08.0,Turnover by T. Ross (lost ball; steal by M. Conley),,97,100
4,0:08.0,,Personal foul by J. Isaac (drawn by M. Conley),97,100
4,0:08.0,,M. Conley misses free throw 1 of 2,97,100
4,0:08.0,,Offensive rebound by Team,97,100
4,0:08.0,,M. Conley makes free throw 2 of 2,97,101
4,0:08.0,Orlando full timeout,,97,101
4,0:08.0,A. Gordon enters the game for W. Iwundu,,97,101
4,0:06.0,T. Ross misses 3-pt jump shot from 24 ft,,97,101
4,0:04.0,,Defensive rebound by J. Holiday,97,101
4,0:04.0,,Personal take foul by N. Vučević (drawn by J. Holiday),97,101
4,0:04.0,,Technical foul by S. Clifford,97,101
4,0:04.0,,Technical foul by S. Clifford,97,101
4,0:04.0,,J. Holiday makes technical free throw,97,102
4,0:04.0,,J. Holiday makes technical free throw,97,103
4,0:04.0,S. Clifford ejected from game,,97,103
4,0:04.0,,J. Holiday makes free throw 1 of 2,97,104
4,0:04.0,,J. Holiday makes free throw 2 of 2,97,105
4,0:01.0,A. Gordon misses 3-pt jump shot from 67 ft,,97,105
4,0:01.0,Offensive rebound by Team,,97,105
