QUARTER,TIME_REMAINING,ORLANDO_ACTION,UTAH_ACTION,ORLANDO_SCORE,UTAH_SCORE
4,2:20.0,Offensive foul by A. Gordon (drawn by J. Crowder),,89,100
4,2:20.0,Turnover by A. Gordon (offensive foul),,89,100
4,2:11.0,,D. Mitchell misses 2-pt layup from 1 ft,89,100
4,2:11.0,,Offensive rebound by Team,89,100
4,2:11.0,Loose ball foul by N. Vučević (drawn by D. Mitchell),,89,100
4,2:02.0,,J. Ingles makes 2-pt layup from 2 ft,89,102
4,1:51.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),,92,102
4,1:44.0,,R. O'Neale makes 2-pt dunk from 1 ft (assist by J. Ingles),92,104
4,1:32.0,E. Fournier misses 3-pt jump shot from 23 ft,,92,104
4,1:29.0,,Defensive rebound by R. Gobert,92,104
4,1:07.0,,R. Gobert misses 2-pt jump shot from 18 ft,92,104
4,1:04.0,Defensive rebound by N. Vučević,,92,104
4,0:50.0,Shooting foul by R. Gobert (drawn by A. Gordon),,92,104
4,0:50.0,A. Gordon misses free throw 1 of 2,,92,104
4,0:50.0,Offensive rebound by Team,,92,104
4,0:50.0,,K. Korver enters the game for R. O'Neale,92,104
4,0:50.0,A. Gordon makes free throw 2 of 2,,93,104
4,0:28.0,,Shooting foul by E. Fournier (drawn by D. Mitchell),93,104
4,0:28.0,,D. Mitchell makes free throw 1 of 2,93,105
4,0:28.0,,R. O'Neale enters the game for K. Korver,93,105
4,0:28.0,,D. Mitchell makes free throw 2 of 2,93,106
4,0:21.0,D. Augustin misses 3-pt jump shot from 25 ft,,93,106
4,0:18.0,,Defensive rebound by R. O'Neale,93,106
