QUARTER,TIME_REMAINING,DENVER_ACTION,ATLANTA_ACTION,DENVER_SCORE,ATLANTA_SCORE
4,7:28.0,,D. Bembry makes free throw 2 of 2,84,97
4,7:22.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,84,97
4,7:19.0,,Defensive rebound by T. Dorsey,84,97
4,7:13.0,,D. Bembry misses 2-pt jump shot from 6 ft,84,97
4,7:09.0,,Offensive rebound by A. Len,84,97
4,7:09.0,,A. Len misses 2-pt layup at rim,84,97
4,7:08.0,Defensive rebound by J. Hernangómez,,84,97
4,6:49.0,J. Murray misses 2-pt jump shot from 16 ft (block by K. Huerter),,84,97
4,6:47.0,,Defensive rebound by D. Bembry,84,97
4,6:34.0,,V. Carter makes 2-pt jump shot from 14 ft,84,99
4,6:32.0,Denver full timeout,,84,99
4,6:14.0,T. Craig misses 2-pt layup from 8 ft (block by A. Len),,84,99
4,6:11.0,,Defensive rebound by T. Dorsey,84,99
4,5:50.0,,A. Len makes 2-pt layup from 1 ft,84,101
4,5:27.0,J. Hernangómez misses 2-pt layup from 7 ft,,84,101
4,5:27.0,Offensive rebound by J. Hernangómez,,84,101
4,5:27.0,Shooting foul by A. Len (drawn by J. Hernangómez),,84,101
4,5:27.0,J. Hernangómez misses free throw 1 of 2,,84,101
4,5:27.0,Offensive rebound by Team,,84,101
4,5:27.0,M. Beasley enters the game for T. Craig,,84,101
4,5:27.0,M. Morris enters the game for J. Murray,,84,101
4,5:27.0,J. Hernangómez makes free throw 2 of 2,,85,101
4,5:09.0,,D. Bembry misses 2-pt layup from 1 ft,85,101
4,5:06.0,Defensive rebound by J. Hernangómez,,85,101
4,5:01.0,Turnover by M. Plumlee (bad pass; steal by D. Bembry),,85,101
4,4:50.0,,Turnover by V. Carter (bad pass; steal by M. Beasley),85,101
4,4:45.0,M. Beasley makes 2-pt layup from 2 ft,,87,101
4,4:45.0,,Atlanta full timeout,87,101
4,4:45.0,,K. Bazemore enters the game for V. Carter,87,101
4,4:45.0,,J. Collins enters the game for T. Dorsey,87,101
4,4:45.0,,D. Dedmon enters the game for K. Huerter,87,101
4,4:45.0,,T. Young enters the game for A. Len,87,101
4,4:34.0,,Turnover by D. Bembry (out of bounds lost ball),87,101
4,4:22.0,M. Beasley misses 3-pt jump shot from 25 ft,,87,101
4,4:19.0,,Defensive rebound by T. Young,87,101
4,4:04.0,,Turnover by D. Dedmon (lost ball; steal by M. Morris),87,101
4,4:01.0,M. Beasley makes 2-pt dunk from 2 ft (assist by M. Morris),,89,101
4,3:45.0,,Turnover by J. Collins (bad pass; steal by M. Plumlee),89,101
4,3:43.0,M. Plumlee makes 2-pt dunk from 1 ft,,91,101
4,3:43.0,,Atlanta full timeout,91,101
4,3:33.0,,D. Bembry misses 3-pt jump shot from 26 ft,91,101
4,3:32.0,Defensive rebound by Team,,91,101
4,3:25.0,M. Morris misses 2-pt jump shot from 17 ft,,91,101
4,3:21.0,,Defensive rebound by J. Collins,91,101
4,3:11.0,,T. Young misses 2-pt jump shot from 11 ft,91,101
4,3:08.0,,Offensive rebound by D. Dedmon,91,101
4,3:08.0,,D. Dedmon misses 2-pt layup at rim,91,101
4,3:08.0,,Offensive rebound by Team,91,101
4,2:55.0,,Turnover by K. Bazemore (bad pass; steal by M. Morris),91,101
4,2:42.0,Turnover by M. Morris (lost ball; steal by K. Bazemore),,91,101
4,2:41.0,,Personal foul by M. Morris (drawn by D. Dedmon),91,101
4,2:41.0,,D. Dedmon makes free throw 1 of 2,91,102
4,2:41.0,,K. Huerter enters the game for D. Bembry,91,102
4,2:41.0,,D. Dedmon makes free throw 2 of 2,91,103
4,2:33.0,T. Lyles misses 3-pt jump shot from 23 ft,,91,103
4,2:29.0,,Defensive rebound by K. Bazemore,91,103
4,2:18.0,,Turnover by K. Bazemore (lost ball; steal by M. Morris),91,103
4,2:11.0,T. Lyles misses 3-pt jump shot from 25 ft,,91,103
4,2:07.0,,Defensive rebound by D. Dedmon,91,103
4,1:49.0,,J. Collins makes 3-pt jump shot from 23 ft (assist by K. Huerter),91,106
4,1:48.0,Denver full timeout,,91,106
4,1:43.0,M. Beasley misses 2-pt jump shot from 18 ft,,91,106
4,1:40.0,Offensive rebound by M. Plumlee,,91,106
4,1:38.0,M. Morris misses 3-pt jump shot from 24 ft,,91,106
4,1:35.0,,Defensive rebound by D. Dedmon,91,106
4,1:35.0,,Turnover by D. Dedmon (bad pass),91,106
4,1:29.0,Turnover by M. Plumlee (bad pass; steal by D. Dedmon),,91,106
4,1:11.0,,T. Young misses 2-pt jump shot from 21 ft,91,106
4,1:09.0,Defensive rebound by T. Lyles,,91,106
4,1:01.0,M. Beasley makes 2-pt dunk from 1 ft (assist by M. Plumlee),,93,106
4,0:38.0,,K. Huerter misses 3-pt jump shot from 24 ft,93,106
4,0:36.0,Defensive rebound by M. Plumlee,,93,106
4,0:31.0,M. Morris misses 2-pt layup from 1 ft (block by K. Bazemore),,93,106
4,0:27.0,Offensive rebound by M. Plumlee,,93,106
4,0:25.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,96,106
4,0:15.0,,Turnover by T. Young (bad pass),96,106
4,0:10.0,M. Beasley misses 3-pt jump shot from 27 ft,,96,106
4,0:07.0,,Defensive rebound by K. Bazemore,96,106
4,0:04.0,,Turnover by K. Bazemore (lost ball; steal by M. Beasley),96,106
4,0:02.0,Flagrant foul type 2 by J. Collins (drawn by M. Beasley),,96,106
4,0:02.0,,J. Collins ejected from game,96,106
4,0:02.0,,V. Carter enters the game for J. Collins,96,106
4,0:02.0,M. Beasley makes flagrant free throw 1 of 2,,97,106
4,0:02.0,M. Beasley makes free throw 2 of 2,,98,106
