QUARTER,TIME_REMAINING,BOSTON_ACTION,SAN ANTONIO_ACTION,BOSTON_SCORE,SAN ANTONIO_SCORE
4,2:24.0,M. Morris misses 3-pt jump shot from 28 ft,,105,116
4,2:21.0,,Defensive rebound by B. Forbes,105,116
4,2:04.0,,D. DeRozan misses 2-pt jump shot from 18 ft,105,116
4,2:00.0,Defensive rebound by J. Brown,,105,116
4,1:52.0,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Tatum),,108,116
4,1:34.0,,Personal foul by A. Horford (drawn by L. Aldridge),108,116
4,1:30.0,,D. DeRozan makes 2-pt layup from 4 ft (assist by L. Aldridge),108,118
4,1:18.0,Personal foul by B. Forbes (drawn by M. Morris),,108,118
4,1:18.0,M. Morris misses free throw 1 of 2,,108,118
4,1:18.0,Offensive rebound by Team,,108,118
4,1:18.0,M. Morris makes free throw 2 of 2,,109,118
4,0:57.0,,D. White misses 2-pt jump shot from 12 ft,109,118
4,0:57.0,Defensive rebound by Team,,109,118
4,0:50.0,M. Morris makes 2-pt layup from 3 ft (assist by K. Irving),,111,118
4,0:47.0,,Personal foul by M. Morris (drawn by D. White),111,118
4,0:47.0,,D. White makes free throw 1 of 2,111,119
4,0:47.0,,D. White makes free throw 2 of 2,111,120
4,0:39.0,K. Irving misses 3-pt jump shot from 26 ft,,111,120
4,0:37.0,,Defensive rebound by B. Forbes,111,120
4,0:20.0,,B. Forbes misses 3-pt jump shot from 26 ft,111,120
4,0:17.0,Defensive rebound by J. Tatum,,111,120
4,0:14.0,J. Tatum misses 3-pt jump shot from 24 ft (block by D. White),,111,120
4,0:14.0,Offensive rebound by J. Tatum,,111,120
4,0:09.0,Turnover by J. Tatum (out of bounds lost ball),,111,120
