QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
2,7:31.0,,J. Embiid makes 2-pt layup from 1 ft (assist by T. McConnell),31,53
2,7:14.0,T. Burke misses 2-pt jump shot from 21 ft,,31,53
2,7:12.0,,Defensive rebound by W. Chandler,31,53
2,7:03.0,,J. Embiid misses 3-pt jump shot from 25 ft,31,53
2,6:59.0,,Offensive rebound by J. Butler,31,53
2,6:53.0,,J. Embiid makes 2-pt dunk from 1 ft,31,55
2,6:45.0,E. Freedom makes 2-pt layup from 1 ft (assist by T. Burke),,33,55
2,6:30.0,,J. Embiid makes 2-pt jump shot from 15 ft,33,57
2,6:21.0,New York full timeout,,33,57
2,6:21.0,D. Dotson enters the game for T. Burke,,33,57
2,6:21.0,M. Hezonja enters the game for K. Knox,,33,57
2,6:21.0,E. Mudiay enters the game for A. Trier,,33,57
2,6:21.0,,M. Muscala enters the game for J. Embiid,33,57
2,6:21.0,,L. Shamet enters the game for T. McConnell,33,57
2,6:21.0,,B. Simmons enters the game for J. Redick,33,57
2,6:03.0,D. Dotson misses 3-pt jump shot from 27 ft,,33,57
2,5:58.0,,Defensive rebound by B. Simmons,33,57
2,5:48.0,,W. Chandler misses 2-pt jump shot from 9 ft (block by D. Dotson),33,57
2,5:48.0,Defensive rebound by Team,,33,57
2,5:31.0,T. Hardaway misses 2-pt jump shot from 18 ft,,33,57
2,5:29.0,,Defensive rebound by B. Simmons,33,57
2,5:24.0,,Personal foul by M. Hezonja (drawn by J. Butler),33,57
2,5:18.0,,Turnover by M. Muscala (bad pass; steal by D. Dotson),33,57
2,5:12.0,D. Dotson makes 2-pt layup from 1 ft,,35,57
2,5:11.0,,Philadelphia full timeout,35,57
2,4:53.0,,J. Butler misses 2-pt jump shot from 20 ft,35,57
2,4:50.0,Defensive rebound by M. Hezonja,,35,57
2,4:42.0,Turnover by E. Freedom (lost ball; steal by J. Butler),,35,57
2,4:37.0,,L. Shamet makes 2-pt layup from 1 ft (assist by B. Simmons),35,59
2,4:21.0,D. Dotson misses 3-pt jump shot from 26 ft,,35,59
2,4:17.0,Offensive rebound by E. Freedom,,35,59
2,4:15.0,M. Hezonja misses 3-pt jump shot from 26 ft,,35,59
2,4:09.0,,Defensive rebound by M. Muscala,35,59
2,3:58.0,,L. Shamet misses 2-pt dunk from 1 ft,35,59
2,3:56.0,Defensive rebound by M. Hezonja,,35,59
2,3:52.0,E. Freedom makes 2-pt jump shot from 4 ft (assist by M. Hezonja),,37,59
2,3:52.0,Shooting foul by M. Muscala (drawn by E. Freedom),,37,59
2,3:52.0,,J. Embiid enters the game for J. Butler,37,59
2,3:52.0,,F. Korkmaz enters the game for W. Chandler,37,59
2,3:52.0,E. Freedom makes free throw 1 of 1,,38,59
2,3:41.0,,M. Muscala misses 2-pt jump shot from 12 ft,38,59
2,3:38.0,Defensive rebound by E. Mudiay,,38,59
2,3:33.0,M. Hezonja misses 2-pt jump shot from 12 ft,,38,59
2,3:33.0,Offensive rebound by Team,,38,59
2,3:33.0,,Loose ball foul by M. Muscala (drawn by M. Hezonja),38,59
2,3:33.0,,W. Chandler enters the game for M. Muscala,38,59
2,3:21.0,T. Hardaway misses 3-pt jump shot from 28 ft,,38,59
2,3:17.0,,Defensive rebound by W. Chandler,38,59
2,3:16.0,,Turnover by W. Chandler (bad pass; steal by M. Hezonja),38,59
2,3:07.0,M. Hezonja misses 3-pt jump shot from 30 ft,,38,59
2,3:04.0,,Defensive rebound by J. Embiid,38,59
2,2:46.0,,J. Embiid misses 2-pt jump shot from 10 ft,38,59
2,2:45.0,Defensive rebound by M. Hezonja,,38,59
2,2:33.0,Shooting foul by J. Embiid (drawn by E. Freedom),,38,59
2,2:33.0,E. Freedom makes free throw 1 of 2,,39,59
2,2:33.0,E. Freedom makes free throw 2 of 2,,40,59
2,2:26.0,,Personal foul by M. Hezonja (drawn by B. Simmons),40,59
2,2:18.0,,B. Simmons makes 2-pt dunk at rim (assist by J. Embiid),40,61
2,1:57.0,Turnover by E. Freedom (lost ball; steal by J. Embiid),,40,61
2,1:53.0,,F. Korkmaz makes 3-pt jump shot from 24 ft (assist by B. Simmons),40,64
2,1:53.0,,Shooting foul by T. Hardaway (drawn by F. Korkmaz),40,64
2,1:53.0,,F. Korkmaz makes free throw 1 of 1,40,65
2,1:39.0,Personal foul by W. Chandler (drawn by E. Freedom),,40,65
2,1:39.0,E. Freedom makes free throw 1 of 2,,41,65
2,1:39.0,E. Freedom makes free throw 2 of 2,,42,65
2,1:24.0,,J. Embiid makes 2-pt hook shot from 3 ft,42,67
2,1:06.0,D. Dotson makes 2-pt jump shot from 19 ft,,44,67
2,0:56.0,,B. Simmons misses 2-pt layup from 4 ft,44,67
2,0:54.0,Defensive rebound by D. Dotson,,44,67
2,0:41.0,D. Dotson misses 3-pt jump shot from 26 ft,,44,67
2,0:37.0,,Defensive rebound by B. Simmons,44,67
2,0:29.0,,Turnover by W. Chandler (bad pass; steal by D. Dotson),44,67
2,0:28.0,Personal take foul by B. Simmons (drawn by D. Dotson),,44,67
2,0:28.0,D. Dotson makes free throw 1 of 2,,45,67
2,0:28.0,D. Dotson makes free throw 2 of 2,,46,67
2,0:13.0,,Personal foul by M. Hezonja (drawn by B. Simmons),46,67
2,0:13.0,,B. Simmons misses free throw 1 of 2,46,67
2,0:13.0,,Offensive rebound by Team,46,67
2,0:13.0,,T. McConnell enters the game for F. Korkmaz,46,67
2,0:13.0,,B. Simmons makes free throw 2 of 2,46,68
2,0:00.0,E. Freedom makes 2-pt layup from 2 ft (assist by T. Hardaway),,48,68
3,11:43.0,M. Hezonja misses 2-pt layup from 1 ft,,48,68
3,11:40.0,,Defensive rebound by B. Simmons,48,68
3,11:33.0,,J. Redick makes 2-pt layup from 3 ft,48,70
3,11:14.0,M. Hezonja misses 3-pt jump shot from 27 ft,,48,70
3,11:11.0,,Defensive rebound by J. Redick,48,70
3,11:05.0,,J. Butler misses 2-pt jump shot from 10 ft,48,70
3,11:05.0,,Offensive rebound by Team,48,70
3,11:05.0,,Turnover by J. Butler (traveling),48,70
3,10:47.0,E. Freedom misses 2-pt layup from 2 ft,,48,70
3,10:44.0,,Defensive rebound by J. Embiid,48,70
3,10:35.0,,J. Embiid misses 3-pt jump shot from 25 ft,48,70
3,10:33.0,Defensive rebound by N. Vonleh,,48,70
3,10:26.0,Shooting foul by J. Redick (drawn by E. Mudiay),,48,70
3,10:26.0,E. Mudiay makes free throw 1 of 2,,49,70
3,10:26.0,E. Mudiay misses free throw 2 of 2,,49,70
3,10:24.0,,Defensive rebound by J. Embiid,49,70
3,10:10.0,,J. Embiid misses 3-pt jump shot from 26 ft,49,70
3,10:07.0,Defensive rebound by N. Vonleh,,49,70
3,9:51.0,N. Vonleh makes 2-pt hook shot from 5 ft,,51,70
3,9:37.0,,Shooting foul by E. Freedom (drawn by J. Embiid),51,70
3,9:37.0,,J. Embiid makes free throw 1 of 2,51,71
3,9:37.0,,J. Embiid misses free throw 2 of 2,51,71
3,9:33.0,Defensive rebound by N. Vonleh,,51,71
3,9:22.0,T. Hardaway misses 3-pt jump shot from 26 ft,,51,71
3,9:22.0,,Defensive rebound by Team,51,71
3,9:08.0,,B. Simmons makes 2-pt layup from 2 ft (assist by W. Chandler),51,73
3,8:50.0,T. Hardaway misses 2-pt jump shot from 9 ft (block by J. Butler),,51,73
3,8:50.0,Offensive rebound by T. Hardaway,,51,73
3,8:46.0,N. Vonleh misses 3-pt jump shot from 25 ft,,51,73
3,8:43.0,,Defensive rebound by J. Embiid,51,73
3,8:38.0,,Turnover by J. Butler (bad pass; steal by M. Hezonja),51,73
3,8:31.0,E. Freedom makes 2-pt layup from 2 ft (assist by N. Vonleh),,53,73
3,8:17.0,,Personal foul by N. Vonleh (drawn by B. Simmons),53,73
3,8:05.0,,B. Simmons misses 2-pt jump shot from 11 ft,53,73
3,8:02.0,Defensive rebound by N. Vonleh,,53,73
3,7:51.0,T. Hardaway misses 3-pt jump shot from 26 ft,,53,73
3,7:48.0,,Defensive rebound by J. Embiid,53,73
3,7:34.0,,Turnover by B. Simmons (bad pass; steal by M. Hezonja),53,73
