QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MEMPHIS_ACTION,PHILADELPHIA_SCORE,MEMPHIS_SCORE
4,1:40.0,,G. Temple misses 2-pt jump shot from 13 ft,100,98
4,1:36.0,Defensive rebound by L. Shamet,,100,98
4,1:21.0,Turnover by J. Redick (out of bounds lost ball),,100,98
4,1:00.0,,Personal foul by J. Embiid (drawn by M. Gasol),100,98
4,1:00.0,,M. Gasol makes free throw 1 of 2,100,99
4,1:00.0,,W. Selden enters the game for M. Brooks,100,99
4,1:00.0,,M. Gasol misses free throw 2 of 2,100,99
4,0:58.0,Defensive rebound by J. Embiid,,100,99
4,0:47.0,J. Embiid makes 2-pt dunk from 1 ft (assist by T. McConnell),,102,99
4,0:47.0,,Memphis full timeout,102,99
4,0:47.0,,K. Anderson enters the game for W. Selden,102,99
4,0:43.0,,M. Conley misses 2-pt layup from 1 ft,102,99
4,0:41.0,,Offensive rebound by M. Gasol,102,99
4,0:39.0,,G. Temple makes 3-pt jump shot from 24 ft (assist by M. Gasol),102,102
4,0:27.0,J. Embiid misses 3-pt jump shot from 27 ft,,102,102
4,0:23.0,,Defensive rebound by M. Conley,102,102
4,0:00.0,,M. Gasol misses 2-pt jump shot from 18 ft,102,102
4,0:00.0,,Offensive rebound by Team,102,102
1OT,4:47.0,L. Shamet misses 3-pt jump shot from 26 ft,,102,102
1OT,4:43.0,,Defensive rebound by K. Anderson,102,102
1OT,4:26.0,,M. Gasol misses 2-pt jump shot from 19 ft,102,102
1OT,4:23.0,Defensive rebound by B. Simmons,,102,102
1OT,4:18.0,Turnover by B. Simmons (lost ball; steal by G. Temple),,102,102
1OT,4:16.0,,G. Temple makes 2-pt dunk at rim,102,104
1OT,3:49.0,J. Embiid misses 3-pt jump shot from 27 ft,,102,104
1OT,3:48.0,,Defensive rebound by K. Anderson,102,104
1OT,3:30.0,,G. Temple misses 3-pt jump shot from 23 ft,102,104
1OT,3:27.0,Defensive rebound by B. Simmons,,102,104
1OT,3:22.0,Turnover by B. Simmons (lost ball; steal by M. Gasol),,102,104
1OT,3:10.0,,M. Gasol misses 2-pt layup at rim,102,104
1OT,3:07.0,,Offensive rebound by M. Gasol,102,104
1OT,3:07.0,,M. Gasol misses 2-pt layup from 1 ft,102,104
1OT,3:06.0,,Offensive rebound by M. Gasol,102,104
1OT,3:06.0,,M. Gasol makes 2-pt layup from 1 ft,102,106
1OT,2:44.0,J. Redick misses 3-pt jump shot from 26 ft,,102,106
1OT,2:43.0,,Defensive rebound by K. Anderson,102,106
1OT,2:22.0,,M. Conley misses 3-pt jump shot from 26 ft,102,106
1OT,2:18.0,Defensive rebound by T. McConnell,,102,106
1OT,2:09.0,Personal foul by K. Anderson (drawn by B. Simmons),,102,106
1OT,2:01.0,T. McConnell makes 2-pt jump shot from 8 ft,,104,106
1OT,1:40.0,,S. Mack misses 2-pt layup from 1 ft (block by J. Embiid),104,106
1OT,1:39.0,,Offensive rebound by K. Anderson,104,106
1OT,1:39.0,,K. Anderson makes 2-pt layup from 1 ft,104,108
1OT,1:22.0,J. Redick makes 2-pt jump shot from 12 ft,,106,108
1OT,1:15.0,,Memphis full timeout,106,108
1OT,1:15.0,,W. Selden enters the game for K. Anderson,106,108
1OT,1:15.0,,M. Conley makes 2-pt jump shot from 17 ft,106,110
1OT,0:52.0,J. Embiid misses 3-pt jump shot from 26 ft,,106,110
1OT,0:48.0,,Defensive rebound by S. Mack,106,110
1OT,0:29.0,,M. Conley misses 3-pt jump shot from 22 ft,106,110
1OT,0:25.0,Defensive rebound by J. Embiid,,106,110
1OT,0:19.0,Personal take foul by M. Conley (drawn by J. Redick),,106,110
1OT,0:19.0,Philadelphia full timeout,,106,110
1OT,0:17.0,J. Embiid misses 3-pt jump shot from 26 ft,,106,110
1OT,0:14.0,,Defensive rebound by S. Mack,106,110
1OT,0:07.0,,Personal take foul by L. Shamet (drawn by S. Mack),106,110
1OT,0:07.0,,Memphis full timeout,106,110
1OT,0:07.0,,K. Anderson enters the game for W. Selden,106,110
1OT,0:07.0,,Personal take foul by J. Embiid (drawn by M. Conley),106,110
1OT,0:07.0,,M. Conley makes free throw 1 of 2,106,111
1OT,0:07.0,,M. Conley makes free throw 2 of 2,106,112
1OT,0:07.0,Philadelphia full timeout,,106,112
1OT,0:06.0,L. Shamet misses 3-pt jump shot from 26 ft,,106,112
1OT,0:03.0,Offensive rebound by J. Embiid,,106,112
1OT,0:03.0,Personal foul by M. Gasol (drawn by J. Embiid),,106,112
1OT,0:03.0,J. Embiid misses free throw 1 of 2,,106,112
1OT,0:03.0,Offensive rebound by Team,,106,112
1OT,0:03.0,J. Embiid misses free throw 2 of 2,,106,112
1OT,0:03.0,,Defensive rebound by Team,106,112
