QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
4,1:03.0,Offensive rebound by Team,,117,104
4,1:03.0,A. Johnson misses free throw 2 of 2,,117,104
4,1:01.0,,Defensive rebound by S. Dekker,117,104
4,0:53.0,,Shooting foul by D. McDermott (drawn by D. Nwaba),117,104
4,0:53.0,,D. Nwaba makes free throw 1 of 2,117,105
4,0:53.0,,D. Nwaba makes free throw 2 of 2,117,106
4,0:34.0,T. Leaf misses 2-pt jump shot from 9 ft (block by D. Nwaba),,117,106
4,0:29.0,,Defensive rebound by C. Osman,117,106
4,0:28.0,,Turnover by C. Osman (bad pass; steal by C. Joseph),117,106
4,0:24.0,A. Holiday makes 2-pt layup from 1 ft (assist by C. Joseph),,119,106
4,0:08.0,,Shooting foul by A. Johnson (drawn by C. Sexton),119,106
4,0:08.0,,C. Sexton misses free throw 1 of 2,119,106
4,0:08.0,,Offensive rebound by Team,119,106
4,0:08.0,,C. Sexton makes free throw 2 of 2,119,107
