QUARTER,TIME_REMAINING,HOUSTON_ACTION,SACRAMENTO_ACTION,HOUSTON_SCORE,SACRAMENTO_SCORE
4,6:09.0,,Turnover by M. Bagley (offensive foul),114,88
4,6:09.0,J. Ennis enters the game for P. Tucker,,114,88
4,5:59.0,Personal foul by M. Bagley (drawn by I. Hartenstein),,114,88
4,5:57.0,Personal foul by K. Koufos (drawn by I. Hartenstein),,114,88
4,5:57.0,C. Paul enters the game for J. Harden,,114,88
4,5:57.0,P. Tucker enters the game for A. Rivers,,114,88
4,5:50.0,C. Paul makes 2-pt jump shot from 8 ft,,116,88
4,5:37.0,,Personal foul by I. Hartenstein (drawn by F. Mason),116,88
4,5:37.0,,F. Mason makes free throw 1 of 2,116,89
4,5:37.0,,F. Mason makes free throw 2 of 2,116,90
4,5:22.0,G. Green misses 2-pt jump shot from 16 ft,,116,90
4,5:19.0,Offensive rebound by P. Tucker,,116,90
4,5:15.0,Personal foul by F. Mason (drawn by C. Paul),,116,90
4,5:15.0,C. Paul makes free throw 1 of 2,,117,90
4,5:15.0,C. Paul makes free throw 2 of 2,,118,90
4,4:55.0,,Turnover by S. Labissière (out of bounds lost ball),118,90
4,4:32.0,P. Tucker misses 2-pt jump shot from 17 ft (block by S. Labissière),,118,90
4,4:31.0,Offensive rebound by Team,,118,90
4,4:31.0,Turnover by Team (shot clock),,118,90
4,4:16.0,,S. Labissière makes 3-pt jump shot from 25 ft (assist by F. Mason),118,93
4,3:57.0,G. Green makes 2-pt jump shot from 9 ft (assist by C. Paul),,120,93
4,3:45.0,,Y. Ferrell misses 3-pt jump shot from 24 ft,120,93
4,3:45.0,Defensive rebound by I. Hartenstein,,120,93
4,3:37.0,J. Ennis misses 3-pt jump shot from 23 ft,,120,93
4,3:34.0,,Defensive rebound by K. Koufos,120,93
4,3:27.0,,F. Mason makes 3-pt jump shot from 26 ft,120,96
4,3:01.0,C. Paul makes 3-pt jump shot from 26 ft,,123,96
4,3:01.0,Shooting foul by S. Labissière (drawn by C. Paul),,123,96
4,3:01.0,K. Faried enters the game for P. Tucker,,123,96
4,3:01.0,,H. Giles enters the game for M. Bagley,123,96
4,3:01.0,C. Paul makes free throw 1 of 1,,124,96
4,2:47.0,,F. Mason makes 2-pt jump shot from 17 ft,124,98
4,2:19.0,K. Faried makes 3-pt jump shot from 25 ft (assist by C. Paul),,127,98
4,2:03.0,,Turnover by H. Giles (bad pass; steal by G. Green),127,98
4,1:48.0,Turnover by C. Paul (bad pass; steal by H. Giles),,127,98
4,1:46.0,,Personal foul by G. Green (drawn by H. Giles),127,98
4,1:46.0,Houston full timeout,,127,98
4,1:46.0,A. Rivers enters the game for C. Paul,,127,98
4,1:46.0,,H. Giles makes free throw 1 of 2,127,99
4,1:46.0,,H. Giles misses free throw 2 of 2,127,99
4,1:45.0,Defensive rebound by Team,,127,99
4,1:33.0,G. Green misses 3-pt jump shot from 26 ft,,127,99
4,1:30.0,,Defensive rebound by H. Giles,127,99
4,1:28.0,,F. Mason misses 3-pt jump shot from 25 ft,127,99
4,1:28.0,,Offensive rebound by Team,127,99
4,1:28.0,Loose ball foul by I. Hartenstein (drawn by K. Koufos),,127,99
4,1:28.0,,K. Koufos misses free throw 1 of 2,127,99
4,1:28.0,,Offensive rebound by Team,127,99
4,1:28.0,,K. Koufos misses free throw 2 of 2,127,99
4,1:24.0,Defensive rebound by I. Hartenstein,,127,99
4,1:13.0,Turnover by A. Rivers (bad pass; steal by Y. Ferrell),,127,99
4,1:03.0,,K. Koufos misses 2-pt hook shot from 8 ft,127,99
4,1:02.0,,Offensive rebound by H. Giles,127,99
4,1:02.0,,H. Giles makes 2-pt dunk from 1 ft,127,101
4,0:45.0,G. Green misses 2-pt jump shot from 11 ft,,127,101
4,0:43.0,,Defensive rebound by S. Labissière,127,101
4,0:32.0,,K. Koufos misses 2-pt hook shot from 9 ft,127,101
4,0:29.0,Defensive rebound by J. Ennis,,127,101
4,0:16.0,A. Rivers misses 3-pt jump shot from 25 ft,,127,101
4,0:14.0,,Defensive rebound by K. Koufos,127,101
4,0:00.0,,F. Mason misses 3-pt jump shot from 26 ft,127,101
4,0:00.0,,Offensive rebound by Team,127,101
