QUARTER,TIME_REMAINING,HOUSTON_ACTION,NEW YORK_ACTION,HOUSTON_SCORE,NEW YORK_SCORE
4,5:05.0,,Shooting foul by P. Tucker (drawn by N. Vonleh),97,92
4,5:05.0,,E. Mudiay enters the game for K. Knox,97,92
4,5:05.0,,N. Vonleh makes free throw 1 of 1,97,93
4,4:51.0,P. Tucker misses 3-pt jump shot from 26 ft,,97,93
4,4:49.0,,Defensive rebound by N. Vonleh,97,93
4,4:41.0,,E. Mudiay misses 2-pt layup from 2 ft,97,93
4,4:39.0,Defensive rebound by G. Green,,97,93
4,4:22.0,J. Harden makes 2-pt jump shot from 15 ft,,99,93
4,4:02.0,,N. Vonleh misses 2-pt layup from 3 ft (block by J. Ennis),99,93
4,4:00.0,Defensive rebound by J. Harden,,99,93
4,3:53.0,J. Harden misses 3-pt jump shot from 25 ft,,99,93
4,3:51.0,,Defensive rebound by A. Trier,99,93
4,3:42.0,,Personal foul by E. Gordon (drawn by A. Trier),99,93
4,3:38.0,,Personal foul by J. Ennis (drawn by T. Hardaway),99,93
4,3:24.0,,Turnover by Team (shot clock),99,93
4,3:24.0,Houston full timeout,,99,93
4,3:24.0,,M. Robinson enters the game for N. Vonleh,99,93
4,3:13.0,G. Green misses 3-pt jump shot from 23 ft,,99,93
4,3:11.0,,Defensive rebound by D. Dotson,99,93
4,3:04.0,,Shooting foul by G. Green (drawn by E. Mudiay),99,93
4,3:04.0,A. Rivers enters the game for G. Green,,99,93
4,3:04.0,,E. Mudiay makes free throw 1 of 2,99,94
4,3:04.0,,E. Mudiay misses free throw 2 of 2,99,94
4,3:02.0,Defensive rebound by J. Harden,,99,94
4,2:45.0,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),,101,94
4,2:25.0,,E. Mudiay makes 2-pt layup from 1 ft,101,96
4,2:01.0,J. Harden misses 3-pt jump shot from 25 ft (block by M. Robinson),,101,96
4,1:59.0,,Defensive rebound by A. Trier,101,96
4,1:58.0,,A. Trier makes 2-pt layup at rim,101,98
4,1:58.0,,Shooting foul by E. Gordon (drawn by A. Trier),101,98
4,1:58.0,,A. Trier makes free throw 1 of 1,101,99
4,1:38.0,J. Harden makes 2-pt layup from 2 ft,,103,99
4,1:38.0,Shooting foul by M. Robinson (drawn by J. Harden),,103,99
4,1:38.0,,N. Vonleh enters the game for M. Robinson,103,99
4,1:38.0,J. Harden makes free throw 1 of 1,,104,99
4,1:31.0,,A. Trier misses 2-pt layup from 2 ft (block by A. Rivers),104,99
4,1:30.0,,Offensive rebound by A. Trier,104,99
4,1:29.0,,A. Trier makes 2-pt layup at rim,104,101
4,1:19.0,P. Tucker misses 3-pt jump shot from 23 ft,,104,101
4,1:17.0,,Defensive rebound by N. Vonleh,104,101
4,1:09.0,,Turnover by E. Mudiay (lost ball; steal by J. Harden),104,101
4,1:08.0,Personal take foul by A. Trier (drawn by J. Harden),,104,101
4,1:08.0,J. Harden makes free throw 1 of 2,,105,101
4,1:08.0,Technical foul by D. Fizdale,,105,101
4,1:08.0,J. Harden makes technical free throw,,106,101
4,1:08.0,,D. Fizdale ejected from game,106,101
4,1:08.0,J. Harden makes free throw 2 of 2,,107,101
4,0:59.0,,Shooting foul by P. Tucker (drawn by A. Trier),107,101
4,0:59.0,,A. Trier makes free throw 1 of 3,107,102
4,0:59.0,,A. Trier makes free throw 2 of 3,107,103
4,0:59.0,,A. Trier makes free throw 3 of 3,107,104
4,0:59.0,Turnover by E. Gordon (bad pass; steal by N. Vonleh),,107,104
4,0:57.0,,N. Vonleh makes 2-pt layup from 2 ft,107,106
4,0:43.0,J. Ennis misses 3-pt jump shot from 23 ft,,107,106
4,0:41.0,,Defensive rebound by A. Trier,107,106
4,0:34.0,,Shooting foul by E. Gordon (drawn by E. Mudiay),107,106
4,0:34.0,,E. Mudiay makes free throw 1 of 2,107,107
4,0:34.0,,E. Mudiay makes free throw 2 of 2,107,108
4,0:34.0,Houston full timeout,,107,108
4,0:29.0,Personal foul by T. Hardaway (drawn by J. Harden),,107,108
4,0:29.0,J. Harden makes free throw 1 of 2,,108,108
4,0:29.0,J. Harden makes free throw 2 of 2,,109,108
4,0:29.0,,New York full timeout,109,108
4,0:20.0,,A. Trier makes 2-pt layup from 1 ft,109,110
4,0:11.0,E. Gordon makes 3-pt jump shot from 28 ft,,112,110
4,0:09.0,,New York full timeout,112,110
4,0:05.0,,Turnover by N. Vonleh (lost ball; steal by E. Gordon),112,110
4,0:03.0,J. Harden makes 2-pt dunk from 1 ft,,114,110
4,0:02.0,,E. Mudiay misses 3-pt jump shot from 25 ft (block by P. Tucker),114,110
4,0:00.0,,Offensive rebound by N. Vonleh,114,110
