QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
4,6:45.0,K. Oubre makes 2-pt layup from 1 ft (assist by D. Booker),,90,104
4,6:25.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. Stephenson),90,107
4,6:24.0,Phoenix full timeout,,90,107
4,6:24.0,M. Bridges enters the game for D. Booker,,90,107
4,6:24.0,E. Okobo enters the game for J. Crawford,,90,107
4,6:11.0,Shooting foul by M. Beasley (drawn by K. Oubre),,90,107
4,6:11.0,K. Oubre makes free throw 1 of 2,,91,107
4,6:11.0,K. Oubre makes free throw 2 of 2,,92,107
4,5:49.0,,I. Zubac misses 2-pt hook shot from 4 ft,92,107
4,5:46.0,Defensive rebound by J. Jackson,,92,107
4,5:46.0,,B. Ingram enters the game for M. Beasley,92,107
4,5:46.0,,S. Mykhailiuk enters the game for K. Caldwell-Pope,92,107
4,5:35.0,E. Okobo makes 2-pt jump shot from 15 ft (assist by R. Holmes),,94,107
4,5:15.0,,R. Rondo misses 2-pt layup from 3 ft (block by R. Holmes),94,107
4,5:12.0,,Offensive rebound by I. Zubac,94,107
4,5:12.0,,I. Zubac misses 2-pt dunk from 4 ft (block by J. Jackson),94,107
4,5:12.0,Defensive rebound by R. Holmes,,94,107
4,5:12.0,Personal take foul by I. Zubac (drawn by R. Holmes),,94,107
4,4:53.0,J. Jackson misses 2-pt jump shot from 13 ft,,94,107
4,4:52.0,Shooting foul by I. Zubac (drawn by R. Holmes),,94,107
4,4:52.0,Offensive rebound by R. Holmes,,94,107
4,4:52.0,R. Holmes makes free throw 1 of 2,,95,107
4,4:52.0,R. Holmes misses free throw 2 of 2,,95,107
4,4:50.0,,Defensive rebound by R. Rondo,95,107
4,4:37.0,,I. Zubac makes 2-pt layup from 5 ft (assist by R. Rondo),95,109
4,4:37.0,,Shooting foul by R. Holmes (drawn by I. Zubac),95,109
4,4:37.0,,I. Zubac makes free throw 1 of 1,95,110
4,4:19.0,K. Oubre misses 2-pt layup from 4 ft (block by I. Zubac),,95,110
4,4:17.0,,Defensive rebound by I. Zubac,95,110
4,4:01.0,,Shooting foul by J. Jackson (drawn by I. Zubac),95,110
4,4:01.0,,I. Zubac misses free throw 1 of 2,95,110
4,4:01.0,,Offensive rebound by Team,95,110
4,4:01.0,,I. Zubac makes free throw 2 of 2,95,111
4,3:50.0,J. Jackson misses 2-pt jump shot from 16 ft,,95,111
4,3:41.0,,Defensive rebound by S. Mykhailiuk,95,111
4,3:39.0,,R. Rondo misses 3-pt jump shot from 24 ft,95,111
4,3:36.0,Defensive rebound by E. Okobo,,95,111
4,3:31.0,K. Oubre misses 3-pt jump shot from 26 ft,,95,111
4,3:28.0,,Defensive rebound by I. Zubac,95,111
4,3:16.0,,Offensive foul by B. Ingram (drawn by J. Jackson),95,111
4,3:16.0,,Turnover by B. Ingram (offensive foul),95,111
4,3:16.0,,K. Caldwell-Pope enters the game for B. Ingram,95,111
4,3:02.0,Shooting foul by I. Zubac (drawn by J. Jackson),,95,111
4,3:02.0,J. Jackson misses free throw 1 of 2,,95,111
4,3:02.0,Offensive rebound by Team,,95,111
4,3:02.0,J. Jackson makes free throw 2 of 2,,96,111
4,3:02.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,96,111
4,2:48.0,Defensive rebound by K. Oubre,,96,111
4,2:40.0,Shooting foul by L. Stephenson (drawn by K. Oubre),,96,111
4,2:40.0,K. Oubre misses free throw 1 of 2,,96,111
4,2:40.0,Offensive rebound by Team,,96,111
4,2:40.0,K. Oubre makes free throw 2 of 2,,97,111
4,2:16.0,,Turnover by Team (shot clock),97,111
4,1:58.0,R. Holmes misses 2-pt layup from 3 ft (block by I. Zubac),,97,111
4,1:58.0,,Defensive rebound by Team,97,111
4,1:37.0,,Offensive foul by I. Zubac (drawn by K. Oubre),97,111
4,1:37.0,,Turnover by I. Zubac (offensive foul),97,111
4,1:37.0,,M. Wagner enters the game for I. Zubac,97,111
4,1:21.0,K. Oubre makes 2-pt layup from 2 ft (assist by M. Bridges),,99,111
4,1:05.0,,M. Wagner makes 3-pt jump shot from 25 ft (assist by R. Rondo),99,114
4,0:53.0,K. Oubre makes 3-pt jump shot from 28 ft (assist by E. Okobo),,102,114
4,0:37.0,,K. Caldwell-Pope misses 2-pt jump shot from 21 ft,102,114
4,0:34.0,,Offensive rebound by M. Wagner,102,114
4,0:23.0,,R. Rondo makes 2-pt layup from 2 ft,102,116
4,0:01.0,E. Okobo misses 3-pt jump shot from 25 ft,,102,116
4,0:01.0,Offensive rebound by Team,,102,116
