QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MILWAUKEE_ACTION,SACRAMENTO_SCORE,MILWAUKEE_SCORE
4,11:20.0,,G. Antetokounmpo misses free throw 1 of 2,82,110
4,11:20.0,,Offensive rebound by Team,82,110
4,11:20.0,,P. Connaughton enters the game for D. DiVincenzo,82,110
4,11:20.0,,G. Antetokounmpo misses free throw 2 of 2,82,110
4,11:16.0,Defensive rebound by I. Shumpert,,82,110
4,11:03.0,M. Bagley misses 2-pt jump shot from 17 ft,,82,110
4,11:00.0,,Defensive rebound by G. Antetokounmpo,82,110
4,10:50.0,,M. Brogdon makes 2-pt hook shot from 6 ft,82,112
4,10:28.0,J. Jackson makes 2-pt jump shot from 14 ft (assist by F. Mason),,84,112
4,10:17.0,,M. Brogdon misses 3-pt jump shot from 29 ft,84,112
4,10:15.0,Defensive rebound by M. Bagley,,84,112
4,10:09.0,I. Shumpert makes 3-pt jump shot from 26 ft (assist by T. Williams),,87,112
4,9:50.0,,P. Connaughton misses 2-pt layup from 2 ft (block by M. Bagley),87,112
4,9:47.0,Defensive rebound by M. Bagley,,87,112
4,9:47.0,Offensive foul by F. Mason (drawn by J. Henson),,87,112
4,9:47.0,Turnover by F. Mason (offensive foul),,87,112
4,9:47.0,Y. Ferrell enters the game for I. Shumpert,,87,112
4,9:47.0,H. Giles enters the game for T. Williams,,87,112
4,9:47.0,,T. Maker enters the game for J. Henson,87,112
4,9:31.0,,Turnover by G. Antetokounmpo (bad pass; steal by H. Giles),87,112
4,9:26.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by M. Bagley),,90,112
4,9:15.0,,P. Connaughton misses 2-pt layup from 1 ft (block by F. Mason),90,112
4,9:11.0,Defensive rebound by F. Mason,,90,112
4,9:08.0,H. Giles misses 2-pt jump shot from 18 ft,,90,112
4,9:05.0,,Defensive rebound by T. Maker,90,112
4,8:49.0,,G. Antetokounmpo makes 3-pt jump shot from 28 ft,90,115
4,8:26.0,M. Bagley misses 2-pt layup from 6 ft,,90,115
4,8:23.0,,Defensive rebound by G. Antetokounmpo,90,115
4,8:18.0,,P. Connaughton makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),90,118
4,7:58.0,Y. Ferrell misses 2-pt jump shot from 18 ft,,90,118
4,7:55.0,,Defensive rebound by G. Antetokounmpo,90,118
4,7:55.0,S. Labissière enters the game for M. Bagley,,90,118
4,7:55.0,,S. Brown enters the game for G. Antetokounmpo,90,118
4,7:55.0,,M. Dellavedova enters the game for M. Brogdon,90,118
4,7:55.0,,E. İlyasova enters the game for T. Snell,90,118
4,7:38.0,,T. Maker makes 3-pt jump shot from 28 ft (assist by S. Brown),90,121
4,7:22.0,Personal foul by M. Dellavedova (drawn by Y. Ferrell),,90,121
4,7:19.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by S. Labissière),,93,121
4,6:58.0,,S. Brown makes 2-pt layup from 1 ft,93,123
4,6:40.0,H. Giles misses 2-pt hook shot from 14 ft,,93,123
4,6:37.0,,Defensive rebound by P. Connaughton,93,123
4,6:32.0,,E. İlyasova misses 3-pt jump shot from 27 ft,93,123
4,6:29.0,Defensive rebound by H. Giles,,93,123
4,6:24.0,F. Mason makes 2-pt jump shot from 11 ft,,95,123
4,6:09.0,,Shooting foul by S. Labissière (drawn by S. Brown),95,123
4,6:09.0,,Milwaukee full timeout,95,123
4,6:09.0,T. Williams enters the game for J. Jackson,,95,123
4,6:09.0,,J. Henson enters the game for E. İlyasova,95,123
4,6:09.0,,S. Brown makes free throw 1 of 2,95,124
4,6:09.0,,S. Brown makes free throw 2 of 2,95,125
4,5:53.0,H. Giles misses 2-pt hook shot from 7 ft,,95,125
4,5:50.0,,Defensive rebound by P. Connaughton,95,125
4,5:41.0,,Personal foul by S. Labissière (drawn by T. Maker),95,125
4,5:29.0,,P. Connaughton makes 2-pt dunk from 1 ft (assist by M. Dellavedova),95,127
4,5:24.0,H. Giles makes 2-pt dunk from 1 ft (assist by F. Mason),,97,127
4,5:13.0,,S. Brown misses 3-pt jump shot from 26 ft,97,127
4,5:10.0,,Offensive rebound by P. Connaughton,97,127
4,5:09.0,,M. Dellavedova misses 3-pt jump shot from 27 ft,97,127
4,5:08.0,Defensive rebound by Team,,97,127
4,4:59.0,Y. Ferrell makes 2-pt layup from 2 ft,,99,127
4,4:44.0,,Shooting foul by Y. Ferrell (drawn by M. Dellavedova),99,127
4,4:44.0,,M. Dellavedova makes free throw 1 of 2,99,128
4,4:44.0,,M. Dellavedova makes free throw 2 of 2,99,129
4,4:33.0,F. Mason misses 3-pt jump shot from 27 ft,,99,129
4,4:29.0,,Defensive rebound by M. Dellavedova,99,129
4,4:25.0,,T. Maker misses 3-pt jump shot from 28 ft,99,129
4,4:21.0,Defensive rebound by T. Williams,,99,129
4,4:12.0,T. Williams makes 3-pt jump shot from 28 ft (assist by F. Mason),,102,129
4,3:54.0,,Offensive foul by S. Brown (drawn by T. Williams),102,129
4,3:54.0,,Turnover by S. Brown (offensive foul),102,129
4,3:43.0,T. Williams makes 3-pt jump shot from 28 ft (assist by F. Mason),,105,129
4,3:18.0,,T. Maker misses 2-pt layup from 2 ft,105,129
4,3:16.0,,Offensive rebound by Team,105,129
4,3:16.0,Sacramento full timeout,,105,129
4,3:04.0,,P. Connaughton makes 3-pt jump shot from 27 ft,105,132
4,2:48.0,H. Giles misses 2-pt jump shot from 16 ft,,105,132
4,2:48.0,,Defensive rebound by M. Dellavedova,105,132
4,2:37.0,,T. Maker misses 3-pt jump shot from 22 ft,105,132
4,2:34.0,Defensive rebound by Y. Ferrell,,105,132
4,2:27.0,T. Williams misses 2-pt layup from 5 ft,,105,132
4,2:24.0,,Defensive rebound by M. Dellavedova,105,132
4,2:22.0,,Turnover by M. Dellavedova (bad pass; steal by F. Mason),105,132
4,2:19.0,Shooting foul by S. Brown (drawn by F. Mason),,105,132
4,2:19.0,F. Mason misses free throw 1 of 2,,105,132
4,2:19.0,Offensive rebound by Team,,105,132
4,2:19.0,F. Mason misses free throw 2 of 2,,105,132
4,2:15.0,,Defensive rebound by T. Maker,105,132
4,2:08.0,,P. Connaughton makes 2-pt layup from 1 ft (assist by M. Dellavedova),105,134
4,1:56.0,Y. Ferrell misses 3-pt jump shot from 27 ft,,105,134
4,1:51.0,,Defensive rebound by J. Henson,105,134
4,1:43.0,,J. Henson makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),105,137
4,1:38.0,F. Mason misses 3-pt jump shot from 28 ft,,105,137
4,1:36.0,Offensive rebound by H. Giles,,105,137
4,1:36.0,H. Giles makes 2-pt layup from 1 ft,,107,137
4,1:28.0,,S. Brown makes 2-pt dunk from 2 ft (assist by M. Dellavedova),107,139
4,1:14.0,Turnover by H. Giles (bad pass),,107,139
4,1:04.0,,J. Henson makes 3-pt jump shot from 28 ft (assist by M. Dellavedova),107,142
4,0:54.0,Shooting foul by J. Henson (drawn by S. Labissière),,107,142
4,0:54.0,S. Labissière makes free throw 1 of 2,,108,142
4,0:54.0,S. Labissière makes free throw 2 of 2,,109,142
4,0:34.0,,Turnover by J. Henson (bad pass; steal by S. Labissière),109,142
4,0:30.0,Turnover by S. Labissière (bad pass; steal by M. Dellavedova),,109,142
4,0:24.0,,T. Maker misses 3-pt jump shot from 23 ft,109,142
4,0:23.0,,Offensive rebound by S. Brown,109,142
4,0:23.0,,Shooting foul by T. Williams (drawn by S. Brown),109,142
4,0:23.0,,S. Brown makes free throw 1 of 2,109,143
4,0:23.0,,S. Brown makes free throw 2 of 2,109,144
4,0:13.0,S. Labissière misses 3-pt jump shot from 28 ft,,109,144
4,0:09.0,,Defensive rebound by J. Henson,109,144
