QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHILADELPHIA_ACTION,MEMPHIS_SCORE,PHILADELPHIA_SCORE
4,2:03.0,M. Conley makes free throw 2 of 2,,89,93
4,1:45.0,,J. Butler misses 2-pt layup from 4 ft (block by M. Gasol),89,93
4,1:42.0,Defensive rebound by J. Green,,89,93
4,1:41.0,Turnover by M. Brooks (lost ball; steal by B. Simmons),,89,93
4,1:31.0,,Personal foul by M. Conley (drawn by J. Butler),89,93
4,1:31.0,,J. Butler makes free throw 1 of 2,89,94
4,1:31.0,S. Mack enters the game for M. Brooks,,89,94
4,1:31.0,,J. Butler makes free throw 2 of 2,89,95
4,1:15.0,M. Conley misses 2-pt jump shot from 20 ft,,89,95
4,1:12.0,,Defensive rebound by T. McConnell,89,95
4,0:49.0,,J. Butler makes 2-pt jump shot from 22 ft,89,97
4,0:49.0,Memphis full timeout,,89,97
4,0:49.0,K. Anderson enters the game for J. Green,,89,97
4,0:48.0,G. Temple misses 3-pt jump shot from 23 ft,,89,97
4,0:45.0,,Defensive rebound by J. Butler,89,97
4,0:44.0,,Turnover by J. Butler (step out of bounds),89,97
4,0:44.0,J. Jackson enters the game for S. Mack,,89,97
4,0:42.0,M. Gasol makes 2-pt jump shot from 20 ft (assist by K. Anderson),,91,97
4,0:42.0,Shooting foul by T. McConnell (drawn by M. Gasol),,91,97
4,0:42.0,M. Gasol misses free throw 1 of 1,,91,97
4,0:42.0,Offensive rebound by J. Jackson,,91,97
4,0:38.0,J. Jackson makes 2-pt layup from 2 ft,,93,97
4,0:38.0,,Philadelphia full timeout,93,97
4,0:38.0,J. Green enters the game for J. Jackson,,93,97
4,0:37.0,,J. Redick makes 2-pt layup from 2 ft (assist by B. Simmons),93,99
4,0:31.0,M. Conley makes 2-pt layup from 1 ft,,95,99
4,0:24.0,,Personal foul by J. Green (drawn by J. Redick),95,99
4,0:24.0,,J. Redick makes free throw 1 of 2,95,100
4,0:24.0,,J. Redick makes free throw 2 of 2,95,101
4,0:24.0,Memphis full timeout,,95,101
4,0:24.0,J. Jackson enters the game for K. Anderson,,95,101
4,0:24.0,S. Mack enters the game for J. Green,,95,101
4,0:18.0,Turnover by M. Gasol (bad pass),,95,101
4,0:15.0,,Personal foul by S. Mack (drawn by J. Butler),95,101
4,0:15.0,,J. Butler makes free throw 1 of 2,95,102
4,0:15.0,,J. Butler makes free throw 2 of 2,95,103
4,0:11.0,M. Conley misses 3-pt jump shot from 28 ft,,95,103
4,0:08.0,,Defensive rebound by J. Embiid,95,103
