QUARTER,TIME_REMAINING,TORONTO_ACTION,HOUSTON_ACTION,TORONTO_SCORE,HOUSTON_SCORE
4,4:20.0,Defensive rebound by S. Ibaka,,99,113
4,4:07.0,Offensive foul by P. Siakam (drawn by K. Faried),,99,113
4,4:07.0,Turnover by P. Siakam (offensive foul),,99,113
4,4:07.0,,Houston full timeout,99,113
4,3:55.0,,J. Harden misses 3-pt jump shot from 27 ft,99,113
4,3:53.0,Defensive rebound by K. Leonard,,99,113
4,3:45.0,D. Green misses 3-pt jump shot from 24 ft,,99,113
4,3:44.0,Offensive rebound by S. Ibaka,,99,113
4,3:44.0,S. Ibaka misses 2-pt layup from 1 ft,,99,113
4,3:42.0,Offensive rebound by S. Ibaka,,99,113
4,3:40.0,S. Ibaka misses 2-pt layup from 3 ft (block by K. Faried),,99,113
4,3:40.0,Offensive rebound by Team,,99,113
4,3:35.0,Turnover by K. Leonard (back court),,99,113
4,3:15.0,,J. Harden misses 3-pt jump shot from 26 ft,99,113
4,3:14.0,,Offensive rebound by K. Faried,99,113
4,3:14.0,,Shooting foul by S. Ibaka (drawn by K. Faried),99,113
4,3:14.0,,K. Faried misses free throw 1 of 2,99,113
4,3:14.0,,Offensive rebound by Team,99,113
4,3:14.0,,K. Faried misses free throw 2 of 2,99,113
4,3:14.0,Defensive rebound by K. Leonard,,99,113
4,3:04.0,K. Leonard makes 2-pt layup from 7 ft,,101,113
4,2:56.0,,Personal take foul by S. Ibaka (drawn by K. Faried),101,113
4,2:56.0,,K. Faried makes free throw 1 of 2,101,114
4,2:56.0,,A. Rivers enters the game for J. Ennis,101,114
4,2:56.0,,K. Faried makes free throw 2 of 2,101,115
4,2:43.0,K. Leonard makes 2-pt hook shot from 8 ft,,103,115
4,2:15.0,,A. Rivers misses 3-pt jump shot from 26 ft,103,115
4,2:13.0,Defensive rebound by S. Ibaka,,103,115
4,1:58.0,Shooting foul by A. Rivers (drawn by P. Siakam),,103,115
4,1:58.0,P. Siakam makes free throw 1 of 2,,104,115
4,1:58.0,P. Siakam makes free throw 2 of 2,,105,115
4,1:58.0,,Turnover by P. Tucker (bad pass),105,115
4,1:56.0,Turnover by K. Lowry (bad pass; steal by P. Tucker),,105,115
4,1:34.0,,J. Harden makes 2-pt jump shot from 8 ft,105,117
4,1:21.0,D. Green makes 3-pt jump shot from 24 ft (assist by P. Siakam),,108,117
4,1:19.0,,Personal foul by D. Green (drawn by E. Gordon),108,117
4,1:19.0,,E. Gordon makes free throw 1 of 2,108,118
4,1:19.0,,E. Gordon makes free throw 2 of 2,108,119
4,1:19.0,Toronto full timeout,,108,119
4,1:15.0,K. Leonard makes 2-pt jump shot from 8 ft (assist by K. Lowry),,110,119
4,1:14.0,,Personal take foul by S. Ibaka (drawn by J. Harden),110,119
4,1:14.0,,J. Harden makes free throw 1 of 2,110,120
4,1:14.0,N. Powell enters the game for S. Ibaka,,110,120
4,1:14.0,,J. Harden makes free throw 2 of 2,110,121
4,1:07.0,K. Leonard makes 3-pt jump shot from 27 ft,,113,121
4,0:52.0,,Turnover by J. Harden (lost ball; steal by K. Leonard),113,121
4,0:47.0,K. Leonard misses 3-pt jump shot from 26 ft,,113,121
4,0:44.0,Offensive rebound by P. Siakam,,113,121
4,0:42.0,K. Lowry misses 3-pt jump shot from 26 ft,,113,121
4,0:41.0,Offensive rebound by P. Siakam,,113,121
4,0:36.0,D. Green makes 3-pt jump shot from 23 ft (assist by P. Siakam),,116,121
4,0:35.0,,Turnover by E. Gordon (step out of bounds),116,121
4,0:27.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by N. Powell),,119,121
4,0:20.0,,E. Gordon misses 3-pt jump shot from 25 ft,119,121
4,0:18.0,Defensive rebound by P. Siakam,,119,121
4,0:15.0,Toronto full timeout,,119,121
4,0:00.0,K. Leonard misses 3-pt jump shot from 26 ft,,119,121
4,0:00.0,Offensive rebound by Team,,119,121
