QUARTER,TIME_REMAINING,INDIANA_ACTION,OKLAHOMA CITY_ACTION,INDIANA_SCORE,OKLAHOMA CITY_SCORE
4,2:26.0,W. Matthews makes 2-pt layup from 1 ft (assist by D. Collison),,89,97
4,2:26.0,,Violation by Team (def goaltending),89,97
4,2:11.0,,Shooting foul by M. Turner (drawn by S. Adams),89,97
4,2:11.0,,Oklahoma City full timeout,89,97
4,2:11.0,,S. Adams misses free throw 1 of 2,89,97
4,2:11.0,,Offensive rebound by Team,89,97
4,2:11.0,,S. Adams makes free throw 2 of 2,89,98
4,1:59.0,B. Bogdanović makes 3-pt jump shot from 24 ft,,92,98
4,1:34.0,,J. Grant makes 2-pt layup from 1 ft (assist by P. George),92,100
4,1:26.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by D. Collison),,95,100
4,1:13.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),95,103
4,0:56.0,D. Sabonis makes 2-pt layup from 3 ft (assist by B. Bogdanović),,97,103
4,0:36.0,,R. Westbrook makes 2-pt jump shot from 15 ft,97,105
4,0:35.0,Indiana full timeout,,97,105
4,0:31.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by W. Matthews),,99,105
4,0:23.0,,Personal foul by W. Matthews (drawn by P. George),99,105
4,0:21.0,,Personal take foul by W. Matthews (drawn by R. Westbrook),99,105
4,0:21.0,,R. Westbrook makes free throw 1 of 2,99,106
4,0:21.0,,R. Westbrook makes free throw 2 of 2,99,107
4,0:21.0,Indiana full timeout,,99,107
4,0:21.0,T. Evans enters the game for D. Collison,,99,107
4,0:21.0,D. McDermott enters the game for M. Turner,,99,107
4,0:17.0,W. Matthews misses 3-pt jump shot from 23 ft,,99,107
4,0:14.0,,Defensive rebound by S. Adams,99,107
