QUARTER,TIME_REMAINING,CHICAGO_ACTION,TORONTO_ACTION,CHICAGO_SCORE,TORONTO_SCORE
4,2:54.0,S. Harrison misses free throw 1 of 1,,95,110
4,2:52.0,,Defensive rebound by P. Siakam,95,110
4,2:39.0,,J. Meeks misses 2-pt jump shot from 10 ft,95,110
4,2:36.0,Defensive rebound by C. Felício,,95,110
4,2:24.0,Turnover by W. Selden (bad pass; steal by P. McCaw),,95,110
4,2:20.0,,Turnover by P. McCaw (bad pass; steal by S. Harrison),95,110
4,2:14.0,S. Harrison misses 3-pt jump shot from 23 ft,,95,110
4,2:12.0,,Defensive rebound by N. Powell,95,110
4,2:00.0,,J. Lin misses 3-pt jump shot from 26 ft,95,110
4,1:57.0,Defensive rebound by B. Sampson,,95,110
4,1:51.0,S. Harrison makes 2-pt layup from 2 ft,,97,110
4,1:37.0,,Turnover by P. Siakam (bad pass),97,110
4,1:29.0,S. Harrison makes 2-pt jump shot from 3 ft,,99,110
4,1:18.0,,J. Meeks makes 2-pt jump shot from 18 ft (assist by P. Siakam),99,112
4,1:17.0,Chicago full timeout,,99,112
4,1:02.0,S. Harrison misses 2-pt hook shot from 3 ft,,99,112
4,1:02.0,Offensive rebound by S. Harrison,,99,112
4,1:02.0,Personal foul by P. Siakam (drawn by S. Harrison),,99,112
4,0:58.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 16 ft (block by J. Meeks),,99,112
4,0:55.0,,Defensive rebound by P. Siakam,99,112
4,0:40.0,,Personal foul by S. Harrison (drawn by P. McCaw),99,112
4,0:27.0,,J. Lin misses 2-pt layup from 2 ft,99,112
4,0:25.0,Defensive rebound by C. Felício,,99,112
4,0:21.0,S. Harrison makes 2-pt jump shot from 3 ft,,101,112
4,0:07.0,,Turnover by N. Powell (lost ball; steal by W. Selden),101,112
4,0:00.0,Shooting foul by J. Lin (drawn by B. Sampson),,101,112
4,0:00.0,B. Sampson makes free throw 1 of 2,,102,112
4,0:00.0,B. Sampson makes free throw 2 of 2,,103,112
