QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ATLANTA_ACTION,GOLDEN STATE_SCORE,ATLANTA_SCORE
4,4:16.0,,D. Bembry enters the game for D. Dedmon,119,95
4,4:16.0,,O. Spellman enters the game for T. Young,119,95
4,4:12.0,,Personal take foul by Q. Cook (drawn by O. Spellman),119,95
4,4:12.0,M. Derrickson enters the game for K. Durant,,119,95
4,4:12.0,J. Evans enters the game for K. Thompson,,119,95
4,4:05.0,,J. Collins makes 2-pt dunk from 1 ft (assist by J. Lin),119,97
4,3:51.0,J. Bell misses 2-pt jump shot from 19 ft,,119,97
4,3:49.0,,Defensive rebound by J. Lin,119,97
4,3:43.0,,D. Bembry makes 2-pt layup from 1 ft,119,99
4,3:43.0,,Shooting foul by J. Evans (drawn by D. Bembry),119,99
4,3:43.0,,J. Anderson enters the game for J. Collins,119,99
4,3:43.0,,M. Plumlee enters the game for K. Huerter,119,99
4,3:43.0,Golden State full timeout,,119,99
4,3:43.0,,D. Bembry misses free throw 1 of 1,119,99
4,3:41.0,Defensive rebound by M. Derrickson,,119,99
4,3:27.0,M. Derrickson misses 3-pt jump shot from 25 ft,,119,99
4,3:26.0,Offensive rebound by D. Lee,,119,99
4,3:25.0,Turnover by D. Lee (bad pass; steal by O. Spellman),,119,99
4,3:23.0,,J. Anderson makes 2-pt dunk at rim (assist by J. Lin),119,101
4,3:00.0,Turnover by J. Evans (lost ball; steal by J. Lin),,119,101
4,2:55.0,,J. Lin makes 2-pt layup from 1 ft,119,103
4,2:37.0,J. Bell makes 2-pt dunk from 1 ft (assist by D. Lee),,121,103
4,2:28.0,,Personal foul by J. Bell (drawn by M. Plumlee),121,103
4,2:28.0,,M. Plumlee makes free throw 1 of 2,121,104
4,2:28.0,,M. Plumlee misses free throw 2 of 2,121,104
4,2:25.0,Defensive rebound by J. Bell,,121,104
4,2:13.0,Turnover by J. Bell (bad pass),,121,104
4,2:10.0,,Shooting foul by J. Evans (drawn by J. Lin),121,104
4,2:10.0,,J. Lin misses free throw 1 of 2,121,104
4,2:10.0,,Offensive rebound by Team,121,104
4,2:10.0,,J. Lin makes free throw 2 of 2,121,105
4,1:59.0,Q. Cook makes 2-pt layup from 1 ft,,123,105
4,1:46.0,,J. Lin misses 3-pt jump shot from 25 ft,123,105
4,1:43.0,Defensive rebound by D. Lee,,123,105
4,1:40.0,Turnover by M. Derrickson (offensive foul),,123,105
4,1:40.0,Offensive foul by M. Derrickson (drawn by J. Lin),,123,105
4,1:26.0,,O. Spellman misses 3-pt jump shot from 23 ft,123,105
4,1:24.0,Defensive rebound by Q. Cook,,123,105
4,1:19.0,J. Bell makes 2-pt layup from 1 ft,,125,105
4,1:08.0,,Shooting foul by M. Derrickson (drawn by J. Anderson),125,105
4,1:08.0,Technical foul by S. Curry,,125,105
4,1:08.0,,J. Lin makes technical free throw,125,106
4,1:08.0,,J. Anderson makes free throw 1 of 2,125,107
4,1:08.0,,J. Anderson makes free throw 2 of 2,125,108
4,0:52.0,M. Derrickson misses 2-pt jump shot from 16 ft,,125,108
4,0:48.0,Offensive rebound by J. Bell,,125,108
4,0:47.0,M. Derrickson makes 3-pt jump shot from 26 ft (assist by J. Bell),,128,108
4,0:38.0,,J. Anderson misses 3-pt jump shot from 25 ft,128,108
4,0:34.0,,Offensive rebound by J. Lin,128,108
4,0:22.0,,D. Bembry makes 3-pt jump shot from 23 ft (assist by J. Lin),128,111
