QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MINNESOTA_ACTION,WASHINGTON_SCORE,MINNESOTA_SCORE
4,3:55.0,Defensive rebound by B. Portis,,110,112
4,3:45.0,J. Green misses 3-pt jump shot from 25 ft,,110,112
4,3:41.0,Offensive rebound by B. Beal,,110,112
4,3:37.0,B. Beal makes 2-pt jump shot from 22 ft,,112,112
4,3:37.0,,Minnesota full timeout,112,112
4,3:37.0,,D. Rose enters the game for C. Reynolds,112,112
4,3:22.0,,K. Towns makes 2-pt layup from 3 ft (assist by K. Bates-Diop),112,114
4,3:00.0,B. Portis misses 2-pt jump shot from 23 ft,,112,114
4,2:57.0,,Defensive rebound by A. Tolliver,112,114
4,2:41.0,,K. Towns misses 2-pt layup from 3 ft,112,114
4,2:39.0,Defensive rebound by B. Portis,,112,114
4,2:33.0,B. Beal misses 3-pt jump shot from 25 ft,,112,114
4,2:31.0,Offensive rebound by T. Ariza,,112,114
4,2:25.0,B. Beal makes 2-pt layup from 5 ft,,114,114
4,2:00.0,,K. Towns makes 2-pt hook shot from 6 ft,114,116
4,1:43.0,Turnover by B. Portis (lost ball; steal by K. Towns),,114,116
4,1:30.0,,K. Towns misses 3-pt jump shot from 26 ft,114,116
4,1:24.0,Defensive rebound by J. Green,,114,116
4,1:18.0,T. Satoranský misses 3-pt jump shot from 24 ft,,114,116
4,1:17.0,Offensive rebound by Team,,114,116
4,1:17.0,,T. Gibson enters the game for A. Tolliver,114,116
4,1:10.0,Turnover by T. Ariza (bad pass),,114,116
4,1:10.0,,A. Tolliver enters the game for T. Gibson,114,116
4,0:47.0,,J. Teague misses 2-pt jump shot from 13 ft,114,116
4,0:43.0,,Offensive rebound by K. Bates-Diop,114,116
4,0:43.0,,K. Bates-Diop misses 2-pt layup from 1 ft,114,116
4,0:42.0,Defensive rebound by B. Beal,,114,116
4,0:37.0,T. Ariza misses 3-pt jump shot from 25 ft,,114,116
4,0:33.0,,Defensive rebound by A. Tolliver,114,116
4,0:25.0,,Minnesota full timeout,114,116
4,0:25.0,,Minnesota full timeout,114,116
4,0:15.0,,D. Rose makes 2-pt jump shot from 19 ft,114,118
4,0:14.0,Washington full timeout,,114,118
4,0:14.0,,T. Gibson enters the game for A. Tolliver,114,118
4,0:12.0,B. Beal makes 2-pt jump shot from 23 ft (assist by T. Ariza),,116,118
4,0:12.0,,A. Tolliver enters the game for T. Gibson,116,118
4,0:08.0,,Personal foul by T. Satoranský (drawn by D. Rose),116,118
4,0:08.0,,T. Jones enters the game for K. Towns,116,118
4,0:07.0,,Personal take foul by B. Beal (drawn by K. Bates-Diop),116,118
4,0:07.0,,K. Bates-Diop makes free throw 1 of 2,116,119
4,0:07.0,T. Bryant enters the game for J. Green,,116,119
4,0:07.0,,T. Gibson enters the game for T. Jones,116,119
4,0:07.0,,K. Bates-Diop misses free throw 2 of 2,116,119
4,0:07.0,Defensive rebound by T. Bryant,,116,119
4,0:07.0,Washington full timeout,,116,119
4,0:03.0,B. Beal makes 2-pt layup from 2 ft,,118,119
4,0:02.0,,Personal take foul by T. Ariza (drawn by D. Rose),118,119
4,0:02.0,,D. Rose makes free throw 1 of 2,118,120
4,0:02.0,,D. Rose makes free throw 2 of 2,118,121
4,0:01.0,Personal take foul by J. Teague (drawn by B. Beal),,118,121
4,0:00.0,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Ariza),,121,121
1OT,4:43.0,,D. Rose misses 2-pt jump shot from 22 ft,121,121
1OT,4:39.0,Defensive rebound by B. Beal,,121,121
1OT,4:25.0,Shooting foul by T. Gibson (drawn by B. Beal),,121,121
1OT,4:25.0,B. Beal makes free throw 1 of 2,,122,121
1OT,4:25.0,B. Beal misses free throw 2 of 2,,122,121
1OT,4:23.0,,Defensive rebound by A. Tolliver,122,121
1OT,4:11.0,,T. Gibson makes 2-pt layup from 1 ft (assist by D. Rose),122,123
1OT,3:58.0,Turnover by B. Beal (bad pass),,122,123
1OT,3:33.0,,J. Teague misses 3-pt jump shot from 40 ft,122,123
1OT,3:30.0,,Offensive rebound by D. Rose,122,123
1OT,3:28.0,,Shooting foul by B. Portis (drawn by A. Tolliver),122,123
1OT,3:28.0,,A. Tolliver makes free throw 1 of 2,122,124
1OT,3:28.0,,A. Tolliver makes free throw 2 of 2,122,125
1OT,3:14.0,B. Beal misses 3-pt jump shot from 24 ft,,122,125
1OT,3:10.0,Offensive rebound by B. Portis,,122,125
1OT,3:08.0,Turnover by B. Portis (lost ball; steal by K. Bates-Diop),,122,125
1OT,2:49.0,,J. Teague misses 2-pt jump shot from 22 ft,122,125
1OT,2:46.0,Defensive rebound by B. Beal,,122,125
1OT,2:39.0,Shooting foul by T. Gibson (drawn by B. Beal),,122,125
1OT,2:39.0,B. Beal makes free throw 1 of 2,,123,125
1OT,2:39.0,B. Beal misses free throw 2 of 2,,123,125
1OT,2:35.0,,Defensive rebound by T. Gibson,123,125
1OT,2:24.0,,D. Rose makes 2-pt jump shot from 20 ft,123,127
1OT,2:23.0,Washington full timeout,,123,127
1OT,2:23.0,J. Parker enters the game for B. Portis,,123,127
1OT,2:20.0,T. Satoranský makes 2-pt dunk from 1 ft,,125,127
1OT,1:58.0,,D. Rose misses 2-pt jump shot from 22 ft,125,127
1OT,1:55.0,,Offensive rebound by T. Gibson,125,127
1OT,1:45.0,,A. Tolliver misses 3-pt jump shot from 25 ft,125,127
1OT,1:43.0,Defensive rebound by J. Parker,,125,127
1OT,1:40.0,Offensive foul by J. Green (drawn by A. Tolliver),,125,127
1OT,1:40.0,Turnover by J. Green (offensive foul),,125,127
1OT,1:18.0,,J. Teague misses 2-pt layup from 7 ft,125,127
1OT,1:16.0,,Offensive rebound by T. Gibson,125,127
1OT,1:16.0,,T. Gibson misses 2-pt layup from 1 ft,125,127
1OT,1:16.0,,Offensive rebound by Team,125,127
1OT,1:16.0,Loose ball foul by J. Parker (drawn by T. Gibson),,125,127
1OT,1:09.0,,D. Rose misses 2-pt layup at rim,125,127
1OT,1:08.0,,Offensive rebound by T. Gibson,125,127
1OT,1:08.0,,T. Gibson makes 2-pt layup from 1 ft,125,129
1OT,0:58.0,B. Beal makes 2-pt layup from 1 ft,,127,129
1OT,0:37.0,,K. Bates-Diop misses 2-pt jump shot from 19 ft,127,129
1OT,0:34.0,,Offensive rebound by Team,127,129
1OT,0:22.0,,D. Rose makes 2-pt jump shot from 19 ft,127,131
1OT,0:17.0,Turnover by J. Parker (lost ball; steal by D. Rose),,127,131
1OT,0:15.0,,Personal foul by T. Satoranský (drawn by J. Teague),127,131
1OT,0:15.0,,J. Teague makes free throw 1 of 2,127,132
1OT,0:15.0,,J. Teague makes free throw 2 of 2,127,133
1OT,0:13.0,Turnover by T. Satoranský (lost ball; steal by J. Teague),,127,133
1OT,0:11.0,,J. Teague makes 2-pt dunk from 1 ft,127,135
1OT,0:04.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,130,135
1OT,0:04.0,,Minnesota full timeout,130,135
1OT,0:04.0,,T. Jones enters the game for A. Tolliver,130,135
1OT,0:04.0,,Turnover by (5 sec),130,135
1OT,0:04.0,Washington full timeout,,130,135
1OT,0:04.0,B. Portis enters the game for J. Parker,,130,135
1OT,0:04.0,,A. Tolliver enters the game for T. Jones,130,135
1OT,0:01.0,B. Beal misses 3-pt jump shot from 26 ft,,130,135
1OT,0:01.0,Offensive rebound by B. Portis,,130,135
1OT,0:00.0,B. Portis misses 2-pt jump shot from 7 ft,,130,135
1OT,0:00.0,Offensive rebound by Team,,130,135
