QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW YORK_ACTION,CLEVELAND_SCORE,NEW YORK_SCORE
4,3:03.0,,Personal foul by J. Clarkson (drawn by K. Knox),109,113
4,3:03.0,,K. Knox makes free throw 1 of 2,109,114
4,3:03.0,,L. Thomas enters the game for H. Ellenson,109,114
4,3:03.0,,K. Knox makes free throw 2 of 2,109,115
4,2:41.0,C. Sexton misses 2-pt jump shot from 6 ft,,109,115
4,2:39.0,Offensive rebound by C. Sexton,,109,115
4,2:39.0,Personal foul by K. Knox (drawn by C. Sexton),,109,115
4,2:39.0,C. Sexton makes free throw 1 of 2,,110,115
4,2:39.0,,H. Ellenson enters the game for E. Mudiay,110,115
4,2:39.0,,A. Trier enters the game for L. Thomas,110,115
4,2:39.0,C. Sexton makes free throw 2 of 2,,111,115
4,2:27.0,,K. Knox misses 2-pt jump shot from 14 ft,111,115
4,2:25.0,Defensive rebound by C. Osman,,111,115
4,2:19.0,C. Osman makes 3-pt jump shot from 25 ft (assist by J. Clarkson),,114,115
4,1:59.0,,K. Knox misses 2-pt jump shot from 21 ft,114,115
4,1:57.0,Defensive rebound by K. Love,,114,115
4,1:40.0,Turnover by C. Osman (bad pass),,114,115
4,1:30.0,,Turnover by D. Smith (bad pass; steal by J. Clarkson),114,115
4,1:29.0,Clear path foul by A. Trier,,114,115
4,1:29.0,J. Clarkson makes clear path free throw 1 of 2,,115,115
4,1:29.0,J. Clarkson makes clear path free throw 2 of 2,,116,115
4,1:21.0,J. Clarkson makes 3-pt jump shot from 22 ft (assist by C. Sexton),,119,115
4,1:02.0,,D. Smith misses 3-pt jump shot from 26 ft,119,115
4,1:00.0,,Offensive rebound by K. Knox,119,115
4,0:53.0,,K. Knox misses 3-pt jump shot from 23 ft (block by C. Osman),119,115
4,0:52.0,,Offensive rebound by K. Knox,119,115
4,0:51.0,,New York full timeout,119,115
4,0:48.0,,A. Trier misses 3-pt jump shot from 26 ft,119,115
4,0:45.0,Defensive rebound by K. Love,,119,115
4,0:43.0,Personal foul by M. Robinson (drawn by C. Sexton),,119,115
4,0:43.0,C. Sexton misses free throw 1 of 2,,119,115
4,0:43.0,Offensive rebound by Team,,119,115
4,0:43.0,C. Sexton misses free throw 2 of 2,,119,115
4,0:41.0,,Defensive rebound by H. Ellenson,119,115
4,0:30.0,,A. Trier misses 2-pt layup from 2 ft,119,115
4,0:28.0,,Offensive rebound by K. Knox,119,115
4,0:26.0,,K. Knox misses 3-pt jump shot from 26 ft,119,115
4,0:24.0,Defensive rebound by Team,,119,115
4,0:24.0,M. Dellavedova enters the game for A. Žižić,,119,115
4,0:24.0,,L. Thomas enters the game for H. Ellenson,119,115
4,0:24.0,Cleveland full timeout,,119,115
4,0:23.0,Personal take foul by M. Robinson (drawn by K. Love),,119,115
4,0:23.0,D. Nwaba enters the game for M. Dellavedova,,119,115
4,0:23.0,,H. Ellenson enters the game for L. Thomas,119,115
4,0:23.0,K. Love makes free throw 1 of 2,,120,115
4,0:23.0,K. Love makes free throw 2 of 2,,121,115
4,0:18.0,,Personal foul by D. Nwaba (drawn by A. Trier),121,115
4,0:18.0,M. Dellavedova enters the game for D. Nwaba,,121,115
4,0:18.0,,E. Mudiay enters the game for H. Ellenson,121,115
4,0:18.0,,L. Thomas enters the game for K. Knox,121,115
4,0:18.0,,A. Trier misses free throw 1 of 2,121,115
4,0:18.0,,Offensive rebound by Team,121,115
4,0:18.0,,A. Trier makes free throw 2 of 2,121,116
4,0:18.0,Personal take foul by M. Robinson (drawn by K. Love),,121,116
4,0:18.0,K. Love makes free throw 1 of 2,,122,116
4,0:18.0,D. Nwaba enters the game for M. Dellavedova,,122,116
4,0:18.0,,H. Ellenson enters the game for L. Thomas,122,116
4,0:18.0,K. Love makes free throw 2 of 2,,123,116
4,0:10.0,,E. Mudiay misses 3-pt jump shot from 25 ft,123,116
4,0:08.0,,Offensive rebound by Team,123,116
4,0:07.0,,A. Trier misses 2-pt layup from 1 ft,123,116
4,0:06.0,,Offensive rebound by A. Trier,123,116
4,0:06.0,,Shooting foul by D. Nwaba (drawn by A. Trier),123,116
4,0:06.0,,A. Trier makes free throw 1 of 2,123,117
4,0:06.0,,A. Trier makes free throw 2 of 2,123,118
4,0:05.0,Personal take foul by M. Robinson (drawn by K. Love),,123,118
4,0:05.0,K. Love makes free throw 1 of 2,,124,118
4,0:05.0,,L. Thomas enters the game for M. Robinson,124,118
4,0:05.0,K. Love makes free throw 2 of 2,,125,118
4,0:05.0,,New York full timeout,125,118
4,0:03.0,,L. Thomas misses 3-pt jump shot from 26 ft,125,118
4,0:00.0,Defensive rebound by C. Osman,,125,118
