QUARTER,TIME_REMAINING,NEW YORK_ACTION,MIAMI_ACTION,NEW YORK_SCORE,MIAMI_SCORE
4,3:53.0,,U. Haslem enters the game for K. Olynyk,78,108
4,3:53.0,,R. McGruder enters the game for J. Richardson,78,108
4,3:53.0,,D. Robinson enters the game for D. Wade,78,108
4,3:40.0,M. Robinson makes 2-pt dunk from 1 ft (assist by F. Ntilikina),,80,108
4,3:27.0,,Offensive foul by U. Haslem (drawn by R. Baker),80,108
4,3:27.0,,Turnover by U. Haslem (offensive foul),80,108
4,3:14.0,F. Ntilikina misses 3-pt jump shot from 25 ft,,80,108
4,3:12.0,,Defensive rebound by D. Robinson,80,108
4,2:51.0,,B. Adebayo misses 3-pt jump shot from 26 ft,80,108
4,2:47.0,Defensive rebound by D. Dotson,,80,108
4,2:42.0,D. Dotson makes 2-pt layup from 2 ft,,82,108
4,2:23.0,,Turnover by U. Haslem (step out of bounds),82,108
4,2:10.0,Shooting foul by R. McGruder (drawn by F. Ntilikina),,82,108
4,2:10.0,F. Ntilikina makes free throw 1 of 2,,83,108
4,2:10.0,F. Ntilikina misses free throw 2 of 2,,83,108
4,2:07.0,Offensive rebound by M. Robinson,,83,108
4,2:01.0,D. Dotson misses 3-pt jump shot from 25 ft,,83,108
4,1:59.0,,Defensive rebound by U. Haslem,83,108
4,1:46.0,,T. Johnson makes 2-pt jump shot from 9 ft (assist by R. McGruder),83,110
4,1:35.0,L. Kornet misses 3-pt jump shot from 26 ft,,83,110
4,1:31.0,,Defensive rebound by D. Robinson,83,110
4,1:24.0,,U. Haslem misses 3-pt jump shot from 25 ft,83,110
4,1:19.0,Defensive rebound by F. Ntilikina,,83,110
4,1:06.0,Turnover by L. Kornet (bad pass; steal by D. Robinson),,83,110
4,0:55.0,,R. McGruder misses 2-pt jump shot from 7 ft,83,110
4,0:55.0,Defensive rebound by D. Dotson,,83,110
4,0:55.0,Personal foul by R. McGruder (drawn by D. Dotson),,83,110
4,0:55.0,D. Dotson makes free throw 1 of 2,,84,110
4,0:55.0,D. Dotson misses free throw 2 of 2,,84,110
4,0:53.0,,Defensive rebound by D. Robinson,84,110
4,0:41.0,,D. Robinson misses 3-pt jump shot from 25 ft,84,110
4,0:38.0,Defensive rebound by D. Dotson,,84,110
4,0:34.0,D. Dotson makes 3-pt jump shot from 24 ft (assist by L. Kornet),,87,110
4,0:18.0,,Personal foul by M. Robinson (drawn by B. Adebayo),87,110
4,0:11.0,,U. Haslem misses 3-pt jump shot from 25 ft,87,110
4,0:09.0,Defensive rebound by D. Dotson,,87,110
4,0:01.0,R. Baker misses 3-pt jump shot from 24 ft,,87,110
4,0:00.0,Offensive rebound by M. Robinson,,87,110
