QUARTER,TIME_REMAINING,PHOENIX_ACTION,MINNESOTA_ACTION,PHOENIX_SCORE,MINNESOTA_SCORE
4,8:48.0,D. Booker misses 2-pt jump shot from 6 ft,,97,103
4,8:45.0,,Defensive rebound by D. Rose,97,103
4,8:45.0,,Personal foul by M. Bridges (drawn by D. Rose),97,103
4,8:45.0,K. Oubre enters the game for J. Crawford,,97,103
4,8:35.0,,D. Šarić misses 2-pt layup from 1 ft,97,103
4,8:33.0,Defensive rebound by D. Bender,,97,103
4,8:28.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by T. Warren),,100,103
4,8:12.0,,D. Rose misses 2-pt jump shot from 18 ft,100,103
4,8:10.0,Defensive rebound by Team,,100,103
4,8:10.0,,Loose ball foul by D. Šarić (drawn by K. Oubre),100,103
4,8:10.0,,K. Towns enters the game for D. Šarić,100,103
4,7:53.0,D. Booker makes 2-pt jump shot from 22 ft,,102,103
4,7:35.0,,J. Bayless makes 3-pt jump shot from 26 ft (assist by K. Towns),102,106
4,7:16.0,D. Booker makes 2-pt jump shot from 4 ft,,104,106
4,6:51.0,,D. Rose misses 2-pt jump shot from 11 ft,104,106
4,6:50.0,Defensive rebound by K. Oubre,,104,106
4,6:35.0,T. Warren misses 2-pt jump shot from 7 ft,,104,106
4,6:32.0,Offensive rebound by K. Oubre,,104,106
4,6:31.0,Offensive foul by K. Oubre (drawn by A. Tolliver),,104,106
4,6:31.0,Turnover by K. Oubre (offensive foul),,104,106
4,6:10.0,,K. Towns misses 2-pt hook shot from 7 ft,104,106
4,6:08.0,Defensive rebound by D. Booker,,104,106
4,5:59.0,D. Bender misses 3-pt jump shot from 26 ft,,104,106
4,5:57.0,,Defensive rebound by A. Tolliver,104,106
4,5:44.0,,Personal foul by D. Booker (drawn by A. Wiggins),104,106
4,5:44.0,J. Jackson enters the game for D. Booker,,104,106
4,5:37.0,,J. Bayless misses 3-pt jump shot from 25 ft,104,106
4,5:33.0,,Offensive rebound by A. Wiggins,104,106
4,5:26.0,,D. Rose misses 2-pt layup from 3 ft (block by M. Bridges),104,106
4,5:23.0,,Offensive rebound by A. Wiggins,104,106
4,5:22.0,,A. Tolliver misses 3-pt jump shot from 27 ft,104,106
4,5:20.0,,Offensive rebound by K. Towns,104,106
4,5:20.0,J. Crawford enters the game for K. Oubre,,104,106
4,5:14.0,,K. Towns misses 3-pt jump shot from 26 ft,104,106
4,5:12.0,Defensive rebound by J. Crawford,,104,106
4,4:53.0,J. Crawford makes 2-pt jump shot from 8 ft,,106,106
4,4:32.0,,Turnover by J. Bayless (lost ball; steal by M. Bridges),106,106
4,4:19.0,T. Warren misses 2-pt jump shot from 7 ft,,106,106
4,4:18.0,Offensive rebound by D. Bender,,106,106
4,4:18.0,D. Bender makes 2-pt layup at rim,,108,106
4,4:18.0,,Minnesota full timeout,108,106
4,4:18.0,,T. Gibson enters the game for A. Tolliver,108,106
4,4:00.0,,K. Towns misses 2-pt hook shot from 6 ft,108,106
4,3:56.0,Defensive rebound by T. Warren,,108,106
4,3:38.0,Shooting foul by A. Wiggins (drawn by J. Jackson),,108,106
4,3:38.0,J. Jackson makes free throw 1 of 2,,109,106
4,3:38.0,J. Jackson makes free throw 2 of 2,,110,106
4,3:25.0,,D. Rose makes 2-pt layup from 1 ft,110,108
4,3:07.0,J. Jackson misses 2-pt jump shot from 14 ft,,110,108
4,3:04.0,,Defensive rebound by K. Towns,110,108
4,2:57.0,,K. Towns misses 3-pt jump shot from 26 ft,110,108
4,2:55.0,Defensive rebound by Team,,110,108
4,2:55.0,,Loose ball foul by T. Gibson (drawn by T. Warren),110,108
4,2:55.0,T. Warren makes free throw 1 of 2,,111,108
4,2:55.0,D. Booker enters the game for M. Bridges,,111,108
4,2:55.0,T. Warren makes free throw 2 of 2,,112,108
4,2:44.0,,D. Rose makes 2-pt jump shot from 18 ft,112,110
4,2:44.0,,Shooting foul by T. Warren (drawn by D. Rose),112,110
4,2:44.0,,D. Rose makes free throw 1 of 1,112,111
4,2:31.0,J. Jackson misses 2-pt layup from 6 ft (block by T. Gibson),,112,111
4,2:28.0,,Defensive rebound by T. Gibson,112,111
4,2:14.0,,J. Bayless misses 2-pt jump shot from 13 ft,112,111
4,2:12.0,,Offensive rebound by Team,112,111
4,2:12.0,K. Oubre enters the game for J. Jackson,,112,111
4,2:10.0,,Turnover by J. Bayless (bad pass; steal by T. Warren),112,111
4,1:50.0,J. Crawford misses 2-pt jump shot from 15 ft,,112,111
4,1:46.0,Offensive rebound by D. Bender,,112,111
4,1:45.0,J. Crawford makes 2-pt jump shot from 7 ft (assist by D. Bender),,114,111
4,1:45.0,Shooting foul by K. Towns (drawn by J. Crawford),,114,111
4,1:45.0,J. Crawford misses free throw 1 of 1,,114,111
4,1:45.0,,Defensive rebound by T. Gibson,114,111
4,1:29.0,,D. Rose misses 2-pt layup from 2 ft,114,111
4,1:28.0,Defensive rebound by Team,,114,111
4,1:11.0,D. Bender misses 3-pt jump shot from 26 ft,,114,111
4,1:07.0,,Defensive rebound by A. Wiggins,114,111
4,1:01.0,,Shooting foul by T. Warren (drawn by A. Wiggins),114,111
4,1:01.0,,A. Wiggins misses free throw 1 of 2,114,111
4,1:01.0,,Offensive rebound by Team,114,111
4,1:01.0,,J. Okogie enters the game for J. Bayless,114,111
4,1:01.0,,A. Wiggins misses free throw 2 of 2,114,111
4,0:56.0,,Offensive rebound by K. Towns,114,111
4,0:52.0,,T. Gibson makes 2-pt dunk from 2 ft (assist by J. Okogie),114,113
4,0:31.0,Turnover by D. Booker (bad pass; steal by K. Towns),,114,113
4,0:30.0,,Personal foul by J. Crawford (drawn by D. Rose),114,113
4,0:30.0,,D. Rose misses free throw 1 of 2,114,113
4,0:30.0,,Offensive rebound by Team,114,113
4,0:30.0,Q. Acy enters the game for J. Crawford,,114,113
4,0:30.0,,D. Rose makes free throw 2 of 2,114,114
4,0:30.0,Phoenix full timeout,,114,114
4,0:30.0,J. Crawford enters the game for Q. Acy,,114,114
4,0:25.0,Turnover by D. Booker (lost ball; steal by T. Gibson),,114,114
4,0:23.0,,Minnesota full timeout,114,114
4,0:23.0,Q. Acy enters the game for D. Bender,,114,114
4,0:23.0,M. Bridges enters the game for J. Crawford,,114,114
4,0:23.0,,D. Šarić enters the game for T. Gibson,114,114
4,0:23.0,,A. Tolliver enters the game for J. Okogie,114,114
4,0:01.0,,D. Rose makes 2-pt jump shot from 20 ft,114,116
4,0:01.0,,T. Gibson enters the game for D. Šarić,114,116
4,0:01.0,,J. Okogie enters the game for A. Tolliver,114,116
4,0:00.0,Phoenix full timeout,,114,116
