QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,INDIANA_ACTION,OKLAHOMA CITY_SCORE,INDIANA_SCORE
4,6:10.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Sabonis),96,88
4,5:52.0,P. George misses 3-pt jump shot from 28 ft,,96,88
4,5:48.0,,Defensive rebound by Team,96,88
4,5:39.0,,Shooting foul by J. Grant (drawn by D. Sabonis),96,88
4,5:39.0,,D. Sabonis makes free throw 1 of 2,96,89
4,5:39.0,,D. Sabonis makes free throw 2 of 2,96,90
4,5:28.0,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,99,90
4,5:14.0,,W. Matthews makes 3-pt jump shot from 27 ft (assist by M. Turner),99,93
4,4:55.0,J. Grant misses 2-pt layup from 1 ft,,99,93
4,4:53.0,,Defensive rebound by D. Sabonis,99,93
4,4:48.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by W. Matthews),99,96
4,4:30.0,P. George misses 3-pt jump shot from 27 ft,,99,96
4,4:27.0,,Defensive rebound by D. Collison,99,96
4,4:06.0,,D. Collison makes 2-pt layup from 2 ft (assist by D. Sabonis),99,98
4,4:04.0,Oklahoma City full timeout,,99,98
4,3:52.0,R. Westbrook makes 2-pt jump shot from 19 ft,,101,98
4,3:37.0,,Flagrant foul type 1 by D. Schröder (drawn by D. Sabonis),101,98
4,3:37.0,,D. Sabonis makes flagrant free throw 1 of 2,101,99
4,3:37.0,,D. Sabonis makes flagrant free throw 2 of 2,101,100
4,3:21.0,,W. Matthews misses 2-pt jump shot from 10 ft,101,100
4,3:16.0,Defensive rebound by D. Schröder,,101,100
4,3:03.0,R. Westbrook misses 2-pt jump shot from 10 ft,,101,100
4,3:00.0,,Defensive rebound by Team,101,100
4,3:00.0,Loose ball foul by S. Adams (drawn by D. Collison),,101,100
4,2:50.0,,M. Turner makes 2-pt dunk from 1 ft (assist by B. Bogdanović),101,102
4,2:31.0,R. Westbrook misses 3-pt jump shot from 27 ft,,101,102
4,2:29.0,,Defensive rebound by Team,101,102
4,2:13.0,,B. Bogdanović makes 2-pt layup from 1 ft,101,104
4,2:00.0,Personal foul by M. Turner (drawn by S. Adams),,101,104
4,1:49.0,P. George makes 3-pt jump shot from 27 ft,,104,104
4,1:29.0,,B. Bogdanović misses 3-pt jump shot from 32 ft,104,104
4,1:24.0,Defensive rebound by D. Schröder,,104,104
4,1:13.0,Shooting foul by B. Bogdanović (drawn by P. George),,104,104
4,1:13.0,P. George makes free throw 1 of 2,,105,104
4,1:13.0,P. George makes free throw 2 of 2,,106,104
4,0:57.0,,D. Sabonis makes 2-pt layup from 1 ft,106,106
4,0:38.0,Turnover by P. George (out of bounds lost ball),,106,106
4,0:27.0,,Turnover by B. Bogdanović (bad pass; steal by P. George),106,106
4,0:25.0,Turnover by P. George (bad pass; steal by D. Collison),,106,106
4,0:23.0,,Indiana full timeout,106,106
4,0:04.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,106,106
4,0:01.0,,Offensive rebound by W. Matthews,106,106
4,0:01.0,,W. Matthews makes 2-pt layup at rim,106,108
4,0:01.0,Oklahoma City full timeout,,106,108
4,0:01.0,T. Ferguson enters the game for D. Schröder,,106,108
4,0:00.0,R. Westbrook misses 3-pt jump shot from 29 ft,,106,108
4,0:00.0,Offensive rebound by Team,,106,108
