QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA LAKERS_ACTION,CLEVELAND_SCORE,LA LAKERS_SCORE
4,3:31.0,,B. Ingram misses free throw 1 of 1,90,81
4,3:28.0,Defensive rebound by R. Hood,,90,81
4,3:08.0,C. Sexton misses 2-pt jump shot from 21 ft,,90,81
4,3:05.0,,Defensive rebound by B. Ingram,90,81
4,3:01.0,,B. Ingram makes 2-pt layup from 3 ft,90,83
4,2:45.0,Personal foul by L. Ball (drawn by C. Sexton),,90,83
4,2:45.0,C. Sexton makes free throw 1 of 2,,91,83
4,2:45.0,C. Sexton misses free throw 2 of 2,,91,83
4,2:43.0,,Defensive rebound by J. Hart,91,83
4,2:33.0,,K. Kuzma misses 2-pt layup from 1 ft (block by T. Thompson),91,83
4,2:31.0,Defensive rebound by C. Sexton,,91,83
4,2:24.0,R. Hood makes 2-pt layup from 2 ft (assist by A. Burks),,93,83
4,2:13.0,,Personal foul by A. Burks (drawn by B. Ingram),93,83
4,2:13.0,,B. Ingram makes free throw 1 of 2,93,84
4,2:13.0,,B. Ingram makes free throw 2 of 2,93,85
4,1:51.0,Offensive foul by T. Thompson (drawn by J. Hart),,93,85
4,1:51.0,Turnover by T. Thompson (offensive foul),,93,85
4,1:44.0,,Shooting foul by T. Thompson (drawn by K. Kuzma),93,85
4,1:44.0,,K. Kuzma makes free throw 1 of 3,93,86
4,1:44.0,,K. Kuzma misses free throw 2 of 3,93,86
4,1:44.0,,Offensive rebound by Team,93,86
4,1:44.0,,K. Kuzma makes free throw 3 of 3,93,87
4,1:27.0,C. Sexton makes 2-pt layup from 2 ft,,95,87
4,1:18.0,,K. Kuzma makes 3-pt jump shot from 27 ft (assist by K. Caldwell-Pope),95,90
4,0:56.0,R. Hood misses 3-pt jump shot from 23 ft,,95,90
4,0:54.0,,Defensive rebound by K. Caldwell-Pope,95,90
4,0:48.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,95,90
4,0:47.0,Defensive rebound by T. Thompson,,95,90
4,0:47.0,Personal take foul by L. Ball (drawn by T. Thompson),,95,90
4,0:47.0,T. Thompson makes free throw 1 of 2,,96,90
4,0:47.0,T. Thompson misses free throw 2 of 2,,96,90
4,0:44.0,,Defensive rebound by J. Hart,96,90
4,0:34.0,,J. Hart misses 3-pt jump shot from 26 ft,96,90
4,0:30.0,,Offensive rebound by K. Kuzma,96,90
4,0:30.0,,K. Kuzma misses 2-pt layup from 1 ft,96,90
4,0:30.0,Defensive rebound by C. Osman,,96,90
4,0:29.0,Personal take foul by J. Hart (drawn by C. Osman),,96,90
4,0:29.0,C. Osman misses free throw 1 of 2,,96,90
4,0:29.0,Offensive rebound by Team,,96,90
4,0:29.0,,J. McGee enters the game for K. Caldwell-Pope,96,90
4,0:29.0,C. Osman misses free throw 2 of 2,,96,90
4,0:29.0,,Defensive rebound by L. Ball,96,90
4,0:29.0,,LA Lakers full timeout,96,90
4,0:29.0,,K. Caldwell-Pope enters the game for B. Ingram,96,90
4,0:29.0,,T. Chandler enters the game for J. McGee,96,90
4,0:25.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,96,90
4,0:22.0,,Offensive rebound by L. Ball,96,90
4,0:22.0,,K. Kuzma makes 3-pt jump shot from 27 ft (assist by L. Ball),96,93
4,0:22.0,Cleveland full timeout,,96,93
4,0:22.0,J. Clarkson enters the game for T. Thompson,,96,93
4,0:22.0,,B. Ingram enters the game for T. Chandler,96,93
4,0:16.0,Personal take foul by K. Caldwell-Pope (drawn by A. Burks),,96,93
4,0:16.0,A. Burks makes free throw 1 of 2,,97,93
4,0:16.0,T. Thompson enters the game for J. Clarkson,,97,93
4,0:16.0,,J. McGee enters the game for K. Caldwell-Pope,97,93
4,0:16.0,A. Burks makes free throw 2 of 2,,98,93
4,0:16.0,,LA Lakers full timeout,98,93
4,0:16.0,M. Dellavedova enters the game for C. Sexton,,98,93
4,0:16.0,,K. Caldwell-Pope enters the game for B. Ingram,98,93
4,0:16.0,,T. Chandler enters the game for J. McGee,98,93
4,0:13.0,,K. Caldwell-Pope misses 3-pt jump shot from 28 ft,98,93
4,0:10.0,,Offensive rebound by K. Kuzma,98,93
4,0:10.0,,K. Kuzma makes 2-pt layup from 3 ft,98,95
4,0:10.0,Cleveland full timeout,,98,95
4,0:10.0,J. Clarkson enters the game for M. Dellavedova,,98,95
4,0:10.0,C. Sexton enters the game for T. Thompson,,98,95
4,0:10.0,,B. Ingram enters the game for T. Chandler,98,95
4,0:09.0,Personal take foul by L. Ball (drawn by R. Hood),,98,95
4,0:09.0,R. Hood makes free throw 1 of 2,,99,95
4,0:09.0,T. Thompson enters the game for J. Clarkson,,99,95
4,0:09.0,R. Hood makes free throw 2 of 2,,100,95
4,0:02.0,,L. Ball misses 3-pt jump shot from 26 ft,100,95
4,0:00.0,Defensive rebound by A. Burks,,100,95
4,0:00.0,Personal take foul by K. Kuzma (drawn by A. Burks),,100,95
4,0:00.0,A. Burks misses free throw 1 of 2,,100,95
4,0:00.0,Offensive rebound by Team,,100,95
4,0:00.0,A. Burks makes free throw 2 of 2,,101,95
