QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW ORLEANS_ACTION,SACRAMENTO_SCORE,NEW ORLEANS_SCORE
4,3:54.0,,C. Wood misses 2-pt layup from 2 ft (block by M. Bagley),110,110
4,3:50.0,Defensive rebound by W. Cauley-Stein,,110,110
4,3:49.0,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),,112,110
4,3:49.0,,New Orleans full timeout,112,110
4,3:34.0,,J. Randle makes 2-pt hook shot from 5 ft,112,112
4,3:34.0,Violation by Team (def goaltending),,112,112
4,3:26.0,Offensive foul by D. Fox (drawn by I. Clark),,112,112
4,3:26.0,Turnover by D. Fox (offensive foul),,112,112
4,3:08.0,,J. Randle makes 2-pt jump shot from 20 ft,112,114
4,2:47.0,D. Fox misses 2-pt jump shot from 7 ft,,112,114
4,2:42.0,W. Cauley-Stein makes 2-pt dunk from 1 ft,,114,114
4,2:42.0,Offensive rebound by W. Cauley-Stein,,114,114
4,2:33.0,,I. Clark makes 3-pt jump shot from 25 ft (assist by J. Randle),114,117
4,2:18.0,B. Hield misses 3-pt jump shot from 25 ft,,114,117
4,2:15.0,,Defensive rebound by C. Wood,114,117
4,2:04.0,,J. Randle misses 2-pt layup from 2 ft,114,117
4,2:02.0,Defensive rebound by M. Bagley,,114,117
4,2:00.0,B. Hield makes 2-pt dunk from 1 ft (assist by M. Bagley),,116,117
4,1:47.0,,C. Wood makes 2-pt dunk from 1 ft (assist by I. Clark),116,119
4,1:42.0,D. Fox makes 2-pt layup from 2 ft,,118,119
4,1:19.0,,J. Randle misses 2-pt jump shot from 19 ft,118,119
4,1:17.0,Defensive rebound by M. Bagley,,118,119
4,1:06.0,M. Bagley misses 2-pt jump shot from 16 ft,,118,119
4,1:00.0,,Defensive rebound by E. Payton,118,119
4,1:00.0,,New Orleans full timeout,118,119
4,0:49.0,,E. Payton misses 2-pt layup from 2 ft,118,119
4,0:47.0,Defensive rebound by B. Hield,,118,119
4,0:29.0,H. Barnes misses 2-pt jump shot from 8 ft,,118,119
4,0:27.0,,Defensive rebound by J. Randle,118,119
4,0:08.0,,J. Randle makes 2-pt layup from 4 ft,118,121
4,0:08.0,Sacramento full timeout,,118,121
4,0:04.0,B. Hield misses 3-pt jump shot from 28 ft,,118,121
4,0:00.0,,Defensive rebound by C. Wood,118,121
4,0:00.0,,Personal take foul by D. Fox (drawn by C. Wood),118,121
