QUARTER,TIME_REMAINING,CHICAGO_ACTION,DENVER_ACTION,CHICAGO_SCORE,DENVER_SCORE
4,3:08.0,,Offensive rebound by Team,91,129
4,3:08.0,,B. Goodwin makes free throw 2 of 2,91,130
4,2:59.0,S. Harrison makes 2-pt layup from 4 ft,,93,130
4,2:37.0,,T. Lyles makes 3-pt jump shot from 23 ft (assist by B. Goodwin),93,133
4,2:20.0,A. Blakeney makes 3-pt jump shot from 23 ft (assist by S. Harrison),,96,133
4,2:04.0,,T. Lydon misses 2-pt layup from 1 ft (block by A. Blakeney),96,133
4,2:01.0,Defensive rebound by B. Portis,,96,133
4,1:48.0,C. Felício makes 2-pt jump shot from 13 ft (assist by S. Harrison),,98,133
4,1:38.0,,B. Goodwin misses 3-pt jump shot from 27 ft,98,133
4,1:36.0,Defensive rebound by Team,,98,133
4,1:29.0,Turnover by S. Harrison (lost ball; steal by J. Hernangómez),,98,133
4,1:23.0,,T. Lydon misses 3-pt jump shot from 24 ft,98,133
4,1:19.0,,Offensive rebound by M. Beasley,98,133
4,1:17.0,,Turnover by M. Beasley (lost ball; steal by S. Harrison),98,133
4,1:12.0,S. Harrison misses 3-pt jump shot from 24 ft,,98,133
4,1:11.0,Offensive rebound by B. Portis,,98,133
4,1:11.0,B. Portis makes 2-pt dunk at rim,,100,133
4,0:52.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,100,133
4,0:48.0,Defensive rebound by B. Portis,,100,133
4,0:46.0,C. Hutchison makes 2-pt layup from 3 ft (assist by B. Portis),,102,133
4,0:34.0,,T. Lydon misses 3-pt jump shot from 28 ft,102,133
4,0:30.0,,Offensive rebound by M. Beasley,102,133
4,0:27.0,,T. Lydon misses 3-pt jump shot from 26 ft,102,133
4,0:24.0,,Offensive rebound by J. Hernangómez,102,133
4,0:24.0,,J. Hernangómez makes 2-pt layup from 1 ft,102,135
4,0:12.0,A. Blakeney makes 3-pt jump shot from 22 ft (assist by S. Harrison),,105,135
