QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
3,6:49.0,,D. Dotson misses 2-pt jump shot from 20 ft,79,77
3,6:47.0,Defensive rebound by L. James,,79,77
3,6:41.0,K. Kuzma makes 2-pt dunk from 1 ft (assist by L. James),,81,77
3,6:27.0,,D. Dotson misses 3-pt jump shot from 26 ft,81,77
3,6:25.0,,Offensive rebound by M. Hezonja,81,77
3,6:23.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by M. Hezonja),81,80
3,6:20.0,LA Lakers full timeout,,81,80
3,6:20.0,J. Williams enters the game for J. McGee,,81,80
3,6:05.0,R. Bullock makes 2-pt jump shot from 20 ft (assist by L. James),,83,80
3,5:48.0,,D. Dotson misses 3-pt jump shot from 24 ft,83,80
3,5:46.0,Defensive rebound by R. Rondo,,83,80
3,5:41.0,Personal foul by K. Knox (drawn by K. Kuzma),,83,80
3,5:41.0,,A. Trier enters the game for K. Knox,83,80
3,5:32.0,K. Kuzma misses 2-pt hook shot from 12 ft,,83,80
3,5:31.0,Offensive rebound by J. Williams,,83,80
3,5:30.0,J. Williams makes 2-pt layup from 2 ft,,85,80
3,5:30.0,Shooting foul by A. Trier (drawn by J. Williams),,85,80
3,5:30.0,J. Williams makes free throw 1 of 1,,86,80
3,5:20.0,,D. Jordan makes 2-pt layup from 2 ft (assist by E. Mudiay),86,82
3,4:58.0,L. James makes 2-pt jump shot from 8 ft,,88,82
3,4:47.0,,Personal foul by J. Williams (drawn by D. Jordan),88,82
3,4:36.0,,Turnover by D. Jordan (3 sec),88,82
3,4:36.0,A. Caruso enters the game for L. James,,88,82
3,4:30.0,K. Kuzma makes 2-pt jump shot from 12 ft,,90,82
3,4:13.0,,D. Jordan makes 2-pt layup from 1 ft,90,84
3,4:01.0,R. Rondo misses 2-pt layup from 1 ft,,90,84
3,3:59.0,,Defensive rebound by D. Jordan,90,84
3,3:46.0,,Shooting foul by K. Kuzma (drawn by M. Hezonja),90,84
3,3:46.0,,M. Hezonja makes free throw 1 of 2,90,85
3,3:46.0,,K. Allen enters the game for E. Mudiay,90,85
3,3:46.0,,M. Hezonja makes free throw 2 of 2,90,86
