QUARTER,TIME_REMAINING,MIAMI_ACTION,UTAH_ACTION,MIAMI_SCORE,UTAH_SCORE
4,2:07.0,,G. Niang makes 3-pt jump shot from 24 ft,75,111
4,1:48.0,R. McGruder makes 3-pt jump shot from 25 ft,,78,111
4,1:39.0,,G. Allen misses 3-pt jump shot from 27 ft,78,111
4,1:35.0,Defensive rebound by K. Olynyk,,78,111
4,1:20.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by K. Olynyk),,81,111
4,1:02.0,,G. Allen misses 3-pt jump shot from 24 ft,81,111
4,0:58.0,Defensive rebound by R. McGruder,,81,111
4,0:44.0,D. Jones misses 3-pt jump shot from 23 ft,,81,111
4,0:41.0,,Defensive rebound by R. O'Neale,81,111
4,0:32.0,,Turnover by G. Niang (traveling),81,111
4,0:21.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by K. Olynyk),,84,111
