QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,SAN ANTONIO_ACTION,SACRAMENTO_SCORE,SAN ANTONIO_SCORE
4,4:06.0,Defensive rebound by B. Hield,,103,102
4,3:48.0,D. Fox misses 2-pt jump shot from 16 ft,,103,102
4,3:48.0,,Defensive rebound by Team,103,102
4,3:30.0,,D. DeRozan makes 2-pt jump shot from 10 ft,103,104
4,3:29.0,Sacramento full timeout,,103,104
4,3:09.0,H. Barnes makes 2-pt jump shot from 9 ft,,105,104
4,2:53.0,,D. DeRozan makes 2-pt jump shot from 7 ft (assist by L. Aldridge),105,106
4,2:43.0,Personal foul by D. Bertāns (drawn by B. Bogdanović),,105,106
4,2:43.0,,R. Gay enters the game for D. Bertāns,105,106
4,2:36.0,B. Hield misses 3-pt jump shot from 27 ft,,105,106
4,2:32.0,,Defensive rebound by L. Aldridge,105,106
4,2:12.0,,D. DeRozan misses 2-pt jump shot from 16 ft,105,106
4,2:06.0,,Offensive rebound by L. Aldridge,105,106
4,1:55.0,,D. DeRozan misses 2-pt jump shot from 13 ft,105,106
4,1:51.0,Defensive rebound by D. Fox,,105,106
4,1:32.0,H. Barnes makes 2-pt layup from 5 ft,,107,106
4,1:19.0,,D. DeRozan misses 2-pt jump shot from 12 ft,107,106
4,1:19.0,Defensive rebound by D. Fox,,107,106
4,1:01.0,Shooting foul by B. Forbes (drawn by W. Cauley-Stein),,107,106
4,1:01.0,W. Cauley-Stein makes free throw 1 of 2,,108,106
4,1:01.0,W. Cauley-Stein makes free throw 2 of 2,,109,106
4,0:46.0,,P. Mills misses 3-pt jump shot from 25 ft,109,106
4,0:44.0,Defensive rebound by D. Fox,,109,106
4,0:27.0,D. Fox makes 2-pt jump shot from 12 ft,,111,106
4,0:27.0,,San Antonio full timeout,111,106
4,0:27.0,,M. Belinelli enters the game for R. Gay,111,106
4,0:27.0,,M. Belinelli misses 3-pt jump shot from 25 ft,111,106
4,0:22.0,Defensive rebound by W. Cauley-Stein,,111,106
4,0:16.0,Personal take foul by M. Belinelli (drawn by B. Hield),,111,106
4,0:16.0,B. Hield makes free throw 1 of 2,,112,106
4,0:16.0,B. Hield makes free throw 2 of 2,,113,106
4,0:16.0,,San Antonio full timeout,113,106
4,0:12.0,,B. Forbes misses 3-pt jump shot from 25 ft,113,106
4,0:10.0,,Offensive rebound by L. Aldridge,113,106
4,0:08.0,,M. Belinelli misses 3-pt jump shot from 24 ft,113,106
4,0:05.0,Defensive rebound by H. Barnes,,113,106
