QUARTER,TIME_REMAINING,UTAH_ACTION,TORONTO_ACTION,UTAH_SCORE,TORONTO_SCORE
4,4:06.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,105,109
4,3:51.0,,Personal foul by J. Ingles (drawn by K. Leonard),105,109
4,3:51.0,,K. Leonard makes free throw 1 of 2,105,110
4,3:51.0,,D. Green enters the game for D. Wright,105,110
4,3:51.0,,K. Leonard makes free throw 2 of 2,105,111
4,3:51.0,Utah full timeout,,105,111
4,3:41.0,D. Mitchell misses 3-pt jump shot from 23 ft,,105,111
4,3:39.0,,Defensive rebound by K. Leonard,105,111
4,3:30.0,,K. Leonard makes 2-pt layup from 2 ft,105,113
4,3:15.0,Shooting foul by D. Green (drawn by R. Gobert),,105,113
4,3:15.0,R. Gobert makes free throw 1 of 2,,106,113
4,3:15.0,R. Gobert makes free throw 2 of 2,,107,113
4,3:03.0,,Personal foul by J. Ingles (drawn by K. Leonard),107,113
4,3:03.0,,K. Leonard makes free throw 1 of 2,107,114
4,3:03.0,,K. Leonard makes free throw 2 of 2,107,115
4,2:46.0,J. Ingles misses 3-pt jump shot from 24 ft,,107,115
4,2:40.0,,Defensive rebound by P. Siakam,107,115
4,2:30.0,,S. Ibaka misses 2-pt jump shot from 4 ft (block by R. Rubio),107,115
4,2:30.0,,Offensive rebound by Team,107,115
4,2:19.0,,P. Siakam misses 3-pt jump shot from 23 ft,107,115
4,2:18.0,,Offensive rebound by Team,107,115
4,2:18.0,Loose ball foul by R. Rubio (drawn by S. Ibaka),,107,115
4,2:18.0,,S. Ibaka misses free throw 1 of 2,107,115
4,2:18.0,,Offensive rebound by Team,107,115
4,2:18.0,,S. Ibaka makes free throw 2 of 2,107,116
4,2:09.0,D. Mitchell makes 2-pt jump shot from 10 ft,,109,116
4,1:52.0,,K. Leonard makes 2-pt jump shot from 8 ft,109,118
4,1:46.0,Shooting foul by S. Ibaka (drawn by D. Mitchell),,109,118
4,1:46.0,D. Mitchell makes free throw 1 of 2,,110,118
4,1:46.0,D. Mitchell makes free throw 2 of 2,,111,118
4,1:29.0,,Shooting foul by R. Rubio (drawn by S. Ibaka),111,118
4,1:29.0,,S. Ibaka misses free throw 1 of 2,111,118
4,1:29.0,,Offensive rebound by Team,111,118
4,1:29.0,,S. Ibaka misses free throw 2 of 2,111,118
4,1:27.0,Defensive rebound by R. Gobert,,111,118
4,1:16.0,R. Gobert makes 2-pt dunk at rim (assist by J. Ingles),,113,118
4,0:57.0,,D. Green misses 3-pt jump shot from 23 ft,113,118
4,0:56.0,Defensive rebound by Team,,113,118
4,0:56.0,,Loose ball foul by S. Ibaka (drawn by R. Rubio),113,118
4,0:56.0,R. Rubio misses free throw 1 of 2,,113,118
4,0:56.0,Offensive rebound by Team,,113,118
4,0:56.0,R. Rubio makes free throw 2 of 2,,114,118
4,0:39.0,,S. Ibaka misses 3-pt jump shot from 23 ft,114,118
4,0:36.0,,Offensive rebound by D. Green,114,118
4,0:25.0,,K. Leonard misses 3-pt jump shot from 26 ft,114,118
4,0:23.0,,Offensive rebound by P. Siakam,114,118
4,0:23.0,,Shooting foul by D. Mitchell (drawn by P. Siakam),114,118
4,0:23.0,,P. Siakam makes free throw 1 of 2,114,119
4,0:23.0,,P. Siakam makes free throw 2 of 2,114,120
4,0:23.0,Utah full timeout,,114,120
4,0:20.0,D. Mitchell misses 3-pt jump shot from 29 ft,,114,120
4,0:18.0,,Defensive rebound by Team,114,120
4,0:18.0,Loose ball foul by J. Crowder (drawn by F. VanVleet),,114,120
4,0:18.0,,F. VanVleet misses free throw 1 of 2,114,120
4,0:18.0,,Offensive rebound by Team,114,120
4,0:18.0,,F. VanVleet makes free throw 2 of 2,114,121
4,0:13.0,R. Rubio makes 2-pt layup from 1 ft,,116,121
4,0:08.0,,Toronto full timeout,116,121
4,0:08.0,D. Exum enters the game for J. Ingles,,116,121
4,0:08.0,R. O'Neale enters the game for R. Rubio,,116,121
4,0:07.0,,Personal foul by D. Exum (drawn by K. Leonard),116,121
4,0:07.0,,K. Leonard makes free throw 1 of 2,116,122
4,0:07.0,,K. Leonard misses free throw 2 of 2,116,122
4,0:06.0,Defensive rebound by D. Mitchell,,116,122
4,0:06.0,Utah full timeout,,116,122
4,0:06.0,J. Ingles enters the game for D. Exum,,116,122
4,0:06.0,K. Korver enters the game for R. O'Neale,,116,122
4,0:05.0,D. Mitchell misses 3-pt jump shot from 26 ft,,116,122
4,0:01.0,,Defensive rebound by P. Siakam,116,122
