QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MEMPHIS_ACTION,MILWAUKEE_SCORE,MEMPHIS_SCORE
4,6:54.0,,Defensive rebound by J. Jackson,108,77
4,6:48.0,,J. Jackson makes 2-pt layup from 3 ft,108,79
4,6:29.0,E. İlyasova misses 2-pt jump shot from 16 ft,,108,79
4,6:25.0,,Defensive rebound by O. Casspi,108,79
4,6:13.0,,J. Carter misses 3-pt jump shot from 25 ft,108,79
4,6:08.0,Defensive rebound by P. Connaughton,,108,79
4,6:06.0,Milwaukee full timeout,,108,79
4,6:06.0,J. Smith enters the game for M. Brogdon,,108,79
4,6:06.0,D. Wilson enters the game for E. İlyasova,,108,79
4,6:06.0,,I. Rabb enters the game for J. Green,108,79
4,6:06.0,,Y. Watanabe enters the game for J. Jackson,108,79
4,5:56.0,Turnover by D. Wilson (bad pass; steal by J. Carter),,108,79
4,5:47.0,,Y. Watanabe misses 2-pt layup from 7 ft,108,79
4,5:44.0,,Offensive rebound by I. Rabb,108,79
4,5:37.0,,Shooting foul by J. Smith (drawn by O. Casspi),108,79
4,5:37.0,,O. Casspi makes free throw 1 of 2,108,80
4,5:37.0,,O. Casspi misses free throw 2 of 2,108,80
4,5:34.0,Defensive rebound by T. Maker,,108,80
4,5:25.0,Turnover by P. Connaughton (lost ball; steal by J. Holiday),,108,80
4,5:21.0,,Shooting foul by T. Maker (drawn by Y. Watanabe),108,80
4,5:21.0,,Y. Watanabe misses free throw 1 of 2,108,80
4,5:21.0,,Offensive rebound by Team,108,80
4,5:21.0,,Y. Watanabe makes free throw 2 of 2,108,81
4,5:04.0,D. Wilson misses 3-pt jump shot from 23 ft,,108,81
4,5:00.0,,Defensive rebound by I. Rabb,108,81
4,4:57.0,,I. Rabb makes 2-pt layup from 1 ft (assist by J. Carter),108,83
4,4:34.0,D. Wilson misses 2-pt hook shot from 1 ft,,108,83
4,4:30.0,,Defensive rebound by J. Holiday,108,83
4,4:22.0,,Turnover by J. Carter (bad pass; steal by J. Smith),108,83
4,4:14.0,J. Smith misses 3-pt jump shot from 25 ft,,108,83
4,4:11.0,,Defensive rebound by O. Casspi,108,83
4,4:05.0,Violation by Team (kicked ball),,108,83
4,4:05.0,E. İlyasova enters the game for D. Wilson,,108,83
4,4:00.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Carter),108,86
4,3:41.0,E. İlyasova misses 3-pt jump shot from 26 ft,,108,86
4,3:39.0,,Defensive rebound by I. Rabb,108,86
4,3:31.0,,O. Casspi makes 2-pt layup from 1 ft (assist by J. Carter),108,88
4,3:31.0,,Shooting foul by P. Connaughton (drawn by O. Casspi),108,88
4,3:31.0,,O. Casspi makes free throw 1 of 1,108,89
4,3:13.0,Offensive foul by P. Connaughton (drawn by I. Rabb),,108,89
4,3:13.0,Turnover by P. Connaughton (offensive foul),,108,89
4,3:03.0,,J. Holiday misses 2-pt jump shot from 17 ft,108,89
4,3:00.0,,Offensive rebound by I. Rabb,108,89
4,2:59.0,,O. Casspi misses 3-pt jump shot from 26 ft,108,89
4,2:55.0,Defensive rebound by S. Brown,,108,89
4,2:45.0,Turnover by S. Brown (bad pass; steal by J. Holiday),,108,89
4,2:36.0,,J. Carter misses 3-pt jump shot from 23 ft,108,89
4,2:32.0,Defensive rebound by T. Maker,,108,89
4,2:21.0,J. Smith misses 3-pt jump shot from 26 ft,,108,89
4,2:17.0,,Defensive rebound by Y. Watanabe,108,89
4,2:08.0,,J. Carter makes 3-pt jump shot from 25 ft (assist by J. Holiday),108,92
4,1:49.0,P. Connaughton makes 3-pt jump shot from 26 ft,,111,92
4,1:43.0,,J. Carter makes 2-pt layup from 1 ft,111,94
4,1:43.0,,Shooting foul by J. Smith (drawn by J. Carter),111,94
4,1:43.0,,J. Carter misses free throw 1 of 1,111,94
4,1:41.0,Defensive rebound by T. Maker,,111,94
4,1:22.0,Turnover by P. Connaughton (bad pass; steal by J. Holiday),,111,94
4,1:21.0,,Personal foul by P. Connaughton (drawn by J. Holiday),111,94
4,1:21.0,,J. Holiday makes free throw 1 of 2,111,95
4,1:21.0,,J. Holiday makes free throw 2 of 2,111,96
4,1:08.0,Turnover by S. Brown (bad pass; steal by Y. Watanabe),,111,96
4,1:06.0,Loose ball foul by T. Maker (drawn by Y. Watanabe),,111,96
4,1:06.0,,Y. Watanabe misses free throw 1 of 2,111,96
4,1:06.0,,Offensive rebound by Team,111,96
4,1:06.0,,Y. Watanabe misses free throw 2 of 2,111,96
4,1:04.0,Defensive rebound by P. Connaughton,,111,96
4,0:45.0,T. Maker misses 2-pt hook shot from 9 ft,,111,96
4,0:42.0,,Defensive rebound by Y. Watanabe,111,96
4,0:39.0,,J. Carter makes 3-pt jump shot from 26 ft (assist by Y. Watanabe),111,99
4,0:23.0,J. Smith misses 3-pt jump shot from 26 ft,,111,99
4,0:20.0,,Defensive rebound by Y. Watanabe,111,99
4,0:17.0,,I. Rabb makes 2-pt dunk at rim (assist by Y. Watanabe),111,101
