QUARTER,TIME_REMAINING,INDIANA_ACTION,PORTLAND_ACTION,INDIANA_SCORE,PORTLAND_SCORE
4,0:54.0,,Turnover by J. Nurkić (offensive foul),95,102
4,0:54.0,,Z. Collins enters the game for J. Nurkić,95,102
4,0:44.0,M. Turner misses 3-pt jump shot from 26 ft,,95,102
4,0:41.0,,Defensive rebound by A. Aminu,95,102
4,0:31.0,,Portland full timeout,95,102
4,0:31.0,,E. Turner enters the game for M. Harkless,95,102
4,0:29.0,,Turnover by E. Turner (bad pass; steal by M. Turner),95,102
4,0:26.0,W. Matthews makes 2-pt layup from 1 ft (assist by B. Bogdanović),,97,102
4,0:24.0,,Personal take foul by B. Bogdanović (drawn by A. Aminu),97,102
4,0:24.0,,A. Aminu makes free throw 1 of 2,97,103
4,0:24.0,,A. Aminu makes free throw 2 of 2,97,104
4,0:24.0,Indiana full timeout,,97,104
4,0:24.0,,M. Harkless enters the game for Z. Collins,97,104
4,0:16.0,Shooting foul by E. Turner (drawn by W. Matthews),,97,104
4,0:16.0,W. Matthews misses free throw 1 of 2,,97,104
4,0:16.0,Offensive rebound by Team,,97,104
4,0:16.0,W. Matthews makes free throw 2 of 2,,98,104
4,0:15.0,,Personal take foul by D. Collison (drawn by D. Lillard),98,104
4,0:15.0,,D. Lillard makes free throw 1 of 2,98,105
4,0:15.0,,D. Lillard makes free throw 2 of 2,98,106
4,0:15.0,Indiana full timeout,,98,106
4,0:15.0,T. Evans enters the game for T. Young,,98,106
4,0:07.0,T. Evans misses 3-pt jump shot from 25 ft,,98,106
4,0:03.0,Offensive rebound by M. Turner,,98,106
4,0:02.0,M. Turner misses 2-pt jump shot from 9 ft,,98,106
4,0:02.0,Offensive rebound by B. Bogdanović,,98,106
4,0:01.0,B. Bogdanović misses 2-pt layup from 1 ft,,98,106
4,0:00.0,Offensive rebound by W. Matthews,,98,106
