QUARTER,TIME_REMAINING,WASHINGTON_ACTION,UTAH_ACTION,WASHINGTON_SCORE,UTAH_SCORE
3,6:06.0,B. Beal makes 2-pt layup from 3 ft,,75,79
3,5:51.0,,D. Mitchell makes 2-pt layup from 4 ft,75,81
3,5:37.0,T. Bryant misses 2-pt layup from 3 ft (block by J. Crowder),,75,81
3,5:37.0,Offensive rebound by Team,,75,81
3,5:37.0,,R. O'Neale enters the game for J. Ingles,75,81
3,5:25.0,B. Beal misses 3-pt jump shot from 26 ft,,75,81
3,5:23.0,Offensive rebound by B. Beal,,75,81
3,5:21.0,Turnover by B. Beal (bad pass; steal by E. Udoh),,75,81
3,5:12.0,,D. Mitchell misses 3-pt jump shot from 22 ft,75,81
3,5:10.0,,Offensive rebound by D. Mitchell,75,81
3,5:07.0,,D. Mitchell misses 2-pt layup from 4 ft,75,81
3,5:05.0,,Offensive rebound by E. Udoh,75,81
3,5:04.0,,E. Udoh misses 2-pt dunk from 1 ft,75,81
3,5:02.0,Defensive rebound by T. Bryant,,75,81
3,4:57.0,B. Beal misses 2-pt layup from 3 ft,,75,81
3,4:57.0,Offensive rebound by T. Bryant,,75,81
3,4:54.0,T. Bryant makes 2-pt layup from 3 ft,,77,81
3,4:48.0,,Personal foul by T. Satoranský (drawn by R. Rubio),77,81
3,4:39.0,,D. Mitchell makes 3-pt jump shot from 25 ft,77,84
3,4:18.0,Turnover by B. Beal (bad pass),,77,84
3,4:18.0,,K. Korver enters the game for J. Crowder,77,84
3,4:18.0,,T. Sefolosha enters the game for R. Rubio,77,84
3,4:05.0,,D. Mitchell makes 2-pt jump shot from 18 ft,77,86
3,3:41.0,T. Brown misses 2-pt layup from 4 ft,,77,86
3,3:38.0,,Defensive rebound by T. Sefolosha,77,86
3,3:34.0,,R. O'Neale makes 3-pt jump shot from 23 ft (assist by D. Mitchell),77,89
3,3:32.0,Washington full timeout,,77,89
3,3:32.0,J. McRae enters the game for T. Brown,,77,89
3,3:32.0,J. Parker enters the game for B. Portis,,77,89
3,3:32.0,,R. Gobert enters the game for D. Mitchell,77,89
3,3:32.0,,J. Ingles enters the game for E. Udoh,77,89
3,3:15.0,Turnover by B. Beal (bad pass; steal by R. O'Neale),,77,89
3,3:09.0,,R. O'Neale makes 3-pt jump shot from 25 ft (assist by K. Korver),77,92
3,2:55.0,T. Satoranský misses 2-pt hook shot from 2 ft,,77,92
3,2:55.0,,Defensive rebound by R. Gobert,77,92
3,2:47.0,,K. Korver misses 3-pt jump shot from 24 ft,77,92
3,2:43.0,Defensive rebound by T. Bryant,,77,92
3,2:33.0,,Violation by Team (kicked ball),77,92
3,2:33.0,C. Randle enters the game for T. Satoranský,,77,92
3,2:31.0,B. Beal makes 3-pt jump shot from 26 ft (assist by C. Randle),,80,92
3,2:12.0,,K. Korver misses 2-pt jump shot from 16 ft,80,92
3,2:08.0,Defensive rebound by J. Parker,,80,92
3,2:02.0,Shooting foul by T. Sefolosha (drawn by B. Beal),,80,92
3,2:02.0,B. Beal makes free throw 1 of 2,,81,92
3,2:02.0,B. Beal makes free throw 2 of 2,,82,92
3,1:53.0,,R. O'Neale misses 3-pt jump shot from 26 ft,82,92
3,1:49.0,Defensive rebound by T. Bryant,,82,92
3,1:46.0,Personal foul by R. O'Neale (drawn by B. Beal),,82,92
3,1:46.0,,G. Niang enters the game for R. O'Neale,82,92
3,1:38.0,T. Bryant makes 3-pt jump shot from 25 ft (assist by J. Parker),,85,92
3,1:26.0,,Turnover by K. Korver (bad pass),85,92
3,1:17.0,B. Beal makes 2-pt layup from 3 ft,,87,92
3,1:01.0,,J. Ingles misses 3-pt jump shot from 25 ft,87,92
3,0:58.0,Defensive rebound by J. Parker,,87,92
3,0:51.0,B. Beal misses 3-pt jump shot from 25 ft,,87,92
3,0:48.0,,Defensive rebound by Team,87,92
3,0:48.0,,Utah full timeout,87,92
3,0:48.0,,D. Mitchell enters the game for G. Niang,87,92
3,0:35.0,,Turnover by D. Mitchell (lost ball; steal by B. Beal),87,92
3,0:31.0,B. Beal misses 2-pt layup from 3 ft (block by R. Gobert),,87,92
3,0:27.0,,Defensive rebound by J. Ingles,87,92
3,0:06.0,,D. Mitchell misses 2-pt jump shot from 14 ft,87,92
3,0:04.0,Defensive rebound by T. Bryant,,87,92
3,0:00.0,J. McRae makes 3-pt jump shot from 37 ft,,90,92
4,11:43.0,,J. Ingles makes 2-pt layup from 3 ft (assist by R. Gobert),90,94
4,11:22.0,J. Parker misses 2-pt layup from 3 ft,,90,94
4,11:19.0,,Defensive rebound by T. Sefolosha,90,94
4,11:16.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by T. Sefolosha),90,97
4,11:00.0,J. McRae misses 3-pt jump shot from 25 ft,,90,97
4,10:56.0,,Defensive rebound by R. Gobert,90,97
4,10:45.0,,T. Sefolosha misses 2-pt jump shot from 8 ft,90,97
4,10:42.0,Defensive rebound by T. Bryant,,90,97
4,10:34.0,Turnover by C. Randle (bad pass; steal by R. Gobert),,90,97
4,10:29.0,,D. Mitchell misses 3-pt jump shot from 23 ft,90,97
4,10:22.0,Defensive rebound by T. Bryant,,90,97
4,10:18.0,J. Parker makes 2-pt dunk from 2 ft (assist by J. McRae),,92,97
4,10:18.0,Shooting foul by D. Mitchell (drawn by J. Parker),,92,97
4,10:18.0,B. Portis enters the game for T. Bryant,,92,97
4,10:18.0,,E. Udoh enters the game for R. Gobert,92,97
4,10:18.0,J. Parker misses free throw 1 of 1,,92,97
4,10:17.0,,Defensive rebound by T. Sefolosha,92,97
4,10:04.0,,Turnover by T. Sefolosha (bad pass; steal by S. Dekker),92,97
4,10:01.0,S. Dekker makes 2-pt dunk from 1 ft,,94,97
4,9:37.0,,E. Udoh makes 2-pt hook shot from 7 ft (assist by J. Ingles),94,99
4,9:26.0,Shooting foul by E. Udoh (drawn by J. McRae),,94,99
4,9:26.0,J. McRae makes free throw 1 of 2,,95,99
4,9:26.0,J. McRae makes free throw 2 of 2,,96,99
4,9:11.0,,T. Sefolosha misses 3-pt jump shot from 25 ft,96,99
4,9:08.0,Defensive rebound by B. Portis,,96,99
4,8:59.0,S. Dekker misses 3-pt jump shot from 25 ft,,96,99
4,8:55.0,,Defensive rebound by J. Ingles,96,99
4,8:49.0,,E. Udoh makes 2-pt dunk from 1 ft (assist by J. Ingles),96,101
4,8:38.0,Shooting foul by E. Udoh (drawn by J. Parker),,96,101
4,8:38.0,J. Parker misses free throw 1 of 2,,96,101
4,8:38.0,Offensive rebound by Team,,96,101
4,8:38.0,,J. Crowder enters the game for J. Ingles,96,101
4,8:38.0,,R. O'Neale enters the game for T. Sefolosha,96,101
4,8:38.0,J. Parker makes free throw 2 of 2,,97,101
4,8:22.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by J. Crowder),97,103
4,8:11.0,J. McRae misses 2-pt jump shot from 16 ft,,97,103
4,8:07.0,,Defensive rebound by D. Mitchell,97,103
4,7:57.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by D. Mitchell),97,106
4,7:55.0,Washington full timeout,,97,106
4,7:55.0,B. Beal enters the game for C. Randle,,97,106
4,7:55.0,,R. Rubio enters the game for K. Korver,97,106
4,7:43.0,Personal foul by J. Crowder (drawn by J. Parker),,97,106
4,7:43.0,,Technical foul by J. Crowder,97,106
4,7:43.0,B. Beal misses technical free throw,,97,106
4,7:43.0,Offensive rebound by Team,,97,106
4,7:30.0,B. Portis makes 3-pt jump shot from 27 ft (assist by S. Dekker),,100,106
4,7:11.0,,D. Mitchell misses 2-pt jump shot from 12 ft,100,106
4,7:07.0,,Offensive rebound by R. Rubio,100,106
4,7:04.0,,R. Rubio misses 2-pt jump shot from 11 ft,100,106
4,7:01.0,Defensive rebound by B. Portis,,100,106
4,6:45.0,J. Parker makes 2-pt dunk from 1 ft (assist by B. Portis),,102,106
4,6:45.0,,Utah full timeout,102,106
4,6:45.0,T. Brown enters the game for S. Dekker,,102,106
4,6:45.0,,R. Gobert enters the game for E. Udoh,102,106
4,6:32.0,,Personal foul by J. McRae (drawn by R. Rubio),102,106
4,6:26.0,,Shooting foul by J. Parker (drawn by R. Gobert),102,106
4,6:26.0,,R. Gobert makes free throw 1 of 2,102,107
4,6:26.0,,R. Gobert makes free throw 2 of 2,102,108
4,6:13.0,Personal foul by R. Gobert (drawn by B. Beal),,102,108
4,6:13.0,B. Beal misses free throw 1 of 2,,102,108
4,6:13.0,Offensive rebound by Team,,102,108
4,6:13.0,B. Beal makes free throw 2 of 2,,103,108
4,6:01.0,,D. Mitchell misses 2-pt jump shot from 9 ft,103,108
4,5:59.0,Defensive rebound by B. Portis,,103,108
4,5:54.0,B. Portis makes 3-pt jump shot from 25 ft (assist by B. Beal),,106,108
4,5:52.0,,Utah full timeout,106,108
4,5:52.0,,J. Ingles enters the game for R. O'Neale,106,108
