QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DETROIT_ACTION,WASHINGTON_SCORE,DETROIT_SCORE
4,1:01.0,,Shooting foul by M. Morris (drawn by R. Jackson),93,100
4,1:01.0,,R. Jackson makes free throw 1 of 2,93,101
4,1:01.0,,R. Jackson makes free throw 2 of 2,93,102
4,1:01.0,Washington full timeout,,93,102
4,0:49.0,T. Satoranský misses 3-pt jump shot from 27 ft (block by B. Griffin),,93,102
4,0:45.0,,Defensive rebound by R. Bullock,93,102
4,0:44.0,,B. Griffin makes 2-pt dunk from 1 ft (assist by R. Bullock),93,104
4,0:38.0,J. Wall misses 3-pt jump shot from 26 ft,,93,104
4,0:35.0,,Defensive rebound by A. Drummond,93,104
4,0:29.0,,Personal foul by T. Satoranský (drawn by R. Jackson),93,104
4,0:29.0,,R. Jackson makes free throw 1 of 2,93,105
4,0:29.0,T. Brown enters the game for B. Beal,,93,105
4,0:29.0,T. Bryant enters the game for M. Morris,,93,105
4,0:29.0,C. Randle enters the game for J. Wall,,93,105
4,0:29.0,,R. Jackson makes free throw 2 of 2,93,106
4,0:21.0,T. Bryant makes 2-pt layup from 1 ft (assist by T. Brown),,95,106
