QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MILWAUKEE_ACTION,NEW ORLEANS_SCORE,MILWAUKEE_SCORE
4,6:21.0,,M. Brogdon enters the game for G. Antetokounmpo,102,106
4,6:21.0,,S. Brown enters the game for E. Bledsoe,102,106
4,6:21.0,,G. Hill enters the game for T. Snell,102,106
4,6:04.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by A. Davis),,105,106
4,5:50.0,,Turnover by K. Middleton (bad pass; steal by A. Davis),105,106
4,5:45.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,107,106
4,5:27.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by K. Middleton),107,108
4,5:16.0,J. Holiday misses 3-pt jump shot from 26 ft,,107,108
4,5:14.0,,Defensive rebound by M. Brogdon,107,108
4,5:02.0,,D. Wilson misses 3-pt jump shot from 27 ft,107,108
4,4:59.0,Defensive rebound by A. Davis,,107,108
4,4:51.0,S. Hill misses 3-pt jump shot from 26 ft,,107,108
4,4:47.0,,Defensive rebound by D. Wilson,107,108
4,4:30.0,,S. Brown makes 2-pt layup from 1 ft (assist by M. Brogdon),107,110
4,4:09.0,D. Miller misses 3-pt jump shot from 25 ft,,107,110
4,4:07.0,,Defensive rebound by G. Hill,107,110
4,4:07.0,E. Moore enters the game for F. Jackson,,107,110
4,4:07.0,,G. Antetokounmpo enters the game for S. Brown,107,110
4,3:51.0,,K. Middleton misses 2-pt jump shot from 14 ft,107,110
4,3:51.0,,Offensive rebound by Team,107,110
4,3:51.0,,Away from play foul by E. Moore (drawn by G. Hill),107,110
4,3:51.0,,G. Hill makes free throw 1 of 1,107,111
4,3:47.0,,D. Wilson misses 3-pt jump shot from 23 ft,107,111
4,3:44.0,,Offensive rebound by M. Brogdon,107,111
4,3:37.0,,K. Middleton misses 2-pt layup from 2 ft,107,111
4,3:37.0,,Offensive rebound by D. Wilson,107,111
4,3:33.0,,D. Wilson makes 2-pt layup from 1 ft,107,113
4,3:23.0,Turnover by J. Holiday (bad pass; steal by G. Antetokounmpo),,107,113
4,3:18.0,,M. Brogdon misses 2-pt layup from 1 ft (block by J. Holiday),107,113
4,3:18.0,,Offensive rebound by D. Wilson,107,113
4,3:18.0,,D. Wilson makes 2-pt layup from 1 ft,107,115
4,3:18.0,New Orleans full timeout,,107,115
4,3:09.0,Turnover by J. Holiday (bad pass),,107,115
4,3:09.0,,Milwaukee full timeout,107,115
4,3:09.0,T. Frazier enters the game for S. Hill,,107,115
4,2:56.0,,M. Brogdon makes 2-pt layup at rim,107,117
4,2:38.0,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Holiday),,110,117
4,2:22.0,,Shooting foul by A. Davis (drawn by M. Brogdon),110,117
4,2:22.0,,M. Brogdon makes free throw 1 of 2,110,118
4,2:22.0,S. Hill enters the game for E. Moore,,110,118
4,2:22.0,,M. Brogdon makes free throw 2 of 2,110,119
4,2:10.0,A. Davis misses 3-pt jump shot from 27 ft,,110,119
4,2:07.0,,Defensive rebound by G. Antetokounmpo,110,119
4,1:48.0,,Turnover by M. Brogdon (bad pass; steal by J. Holiday),110,119
4,1:42.0,D. Miller misses 3-pt jump shot from 29 ft,,110,119
4,1:36.0,,Defensive rebound by D. Wilson,110,119
4,1:21.0,,Turnover by G. Antetokounmpo (palming),110,119
4,1:01.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by S. Hill),,113,119
4,0:41.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,113,119
4,0:38.0,Defensive rebound by J. Holiday,,113,119
4,0:29.0,J. Holiday misses 2-pt layup from 2 ft,,113,119
4,0:26.0,,Defensive rebound by K. Middleton,113,119
4,0:26.0,,Personal take foul by D. Miller (drawn by K. Middleton),113,119
4,0:26.0,,K. Middleton makes free throw 1 of 2,113,120
4,0:26.0,,S. Brown enters the game for M. Brogdon,113,120
4,0:26.0,,K. Middleton makes free throw 2 of 2,113,121
4,0:26.0,New Orleans full timeout,,113,121
4,0:26.0,,T. Maker enters the game for G. Antetokounmpo,113,121
4,0:26.0,,T. Snell enters the game for K. Middleton,113,121
4,0:26.0,Personal foul by S. Brown (drawn by T. Frazier),,113,121
4,0:26.0,T. Frazier makes free throw 1 of 2,,114,121
4,0:26.0,,G. Antetokounmpo enters the game for T. Maker,114,121
4,0:26.0,,K. Middleton enters the game for D. Wilson,114,121
4,0:26.0,T. Frazier makes free throw 2 of 2,,115,121
4,0:25.0,,Personal foul by T. Frazier (drawn by T. Snell),115,121
4,0:25.0,,T. Snell makes free throw 1 of 2,115,122
4,0:25.0,E. Moore enters the game for S. Hill,,115,122
4,0:25.0,,T. Maker enters the game for G. Antetokounmpo,115,122
4,0:25.0,,D. Wilson enters the game for K. Middleton,115,122
4,0:25.0,,T. Snell makes free throw 2 of 2,115,123
4,0:18.0,Turnover by A. Davis (traveling),,115,123
