QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHILADELPHIA_ACTION,LA CLIPPERS_SCORE,PHILADELPHIA_SCORE
4,9:41.0,,J. Embiid makes 2-pt dunk at rim,90,101
4,9:33.0,L. Williams makes 3-pt jump shot from 25 ft,,93,101
4,9:17.0,,Turnover by J. Embiid (bad pass),93,101
4,9:17.0,A. Bradley enters the game for S. Gilgeous-Alexander,,93,101
4,9:11.0,L. Williams makes 2-pt layup from 7 ft,,95,101
4,8:58.0,,J. Embiid misses 3-pt jump shot from 26 ft,95,101
4,8:56.0,Defensive rebound by B. Marjanović,,95,101
4,8:49.0,L. Williams makes 2-pt jump shot from 14 ft,,97,101
4,8:32.0,,Turnover by J. Redick (traveling),97,101
4,8:32.0,,B. Simmons enters the game for J. Embiid,97,101
4,8:26.0,L. Williams misses 3-pt jump shot from 25 ft,,97,101
4,8:25.0,Offensive rebound by Team,,97,101
4,8:25.0,,Loose ball foul by D. Šarić (drawn by B. Marjanović),97,101
4,8:25.0,,L. Shamet enters the game for J. Redick,97,101
4,8:15.0,B. Marjanović misses 2-pt layup from 2 ft,,97,101
4,8:13.0,,Defensive rebound by R. Covington,97,101
4,8:05.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by M. Fultz),97,104
4,7:56.0,L. Williams makes 2-pt jump shot from 3 ft,,99,104
4,7:56.0,Shooting foul by D. Šarić (drawn by L. Williams),,99,104
4,7:56.0,L. Williams misses free throw 1 of 1,,99,104
4,7:56.0,,Defensive rebound by D. Šarić,99,104
4,7:28.0,,D. Šarić misses 2-pt jump shot from 24 ft,99,104
4,7:25.0,,Offensive rebound by M. Fultz,99,104
4,7:14.0,,M. Fultz misses 2-pt jump shot from 17 ft,99,104
4,7:11.0,Defensive rebound by D. Gallinari,,99,104
4,7:05.0,D. Gallinari misses 2-pt jump shot from 9 ft (block by R. Covington),,99,104
4,7:05.0,Offensive rebound by Team,,99,104
4,6:58.0,B. Marjanović makes 2-pt jump shot from 11 ft (assist by D. Gallinari),,101,104
4,6:46.0,,L. Shamet misses 3-pt jump shot from 25 ft,101,104
4,6:44.0,Defensive rebound by B. Marjanović,,101,104
4,6:36.0,Turnover by L. Williams (bad pass; steal by R. Covington),,101,104
4,6:33.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by M. Fultz),101,106
4,6:17.0,L. Williams makes 2-pt jump shot from 9 ft (assist by A. Bradley),,103,106
4,6:00.0,,D. Šarić misses 3-pt jump shot from 26 ft,103,106
4,5:57.0,Defensive rebound by A. Bradley,,103,106
4,5:50.0,D. Gallinari misses 2-pt jump shot from 21 ft,,103,106
4,5:47.0,,Defensive rebound by M. Fultz,103,106
4,5:41.0,,Turnover by M. Fultz (lost ball; steal by L. Williams),103,106
4,5:35.0,L. Williams misses 3-pt jump shot from 25 ft,,103,106
4,5:33.0,,Defensive rebound by Team,103,106
4,5:33.0,LA Clippers full timeout,,103,106
4,5:33.0,,J. Embiid enters the game for M. Fultz,103,106
4,5:33.0,,M. Muscala enters the game for D. Šarić,103,106
4,5:33.0,,J. Redick enters the game for L. Shamet,103,106
4,5:16.0,,J. Embiid misses 3-pt jump shot from 25 ft,103,106
4,5:13.0,Defensive rebound by B. Marjanović,,103,106
4,5:06.0,Personal foul by B. Simmons (drawn by P. Beverley),,103,106
4,5:06.0,T. Harris enters the game for L. Williams,,103,106
4,4:52.0,P. Beverley misses 3-pt jump shot from 26 ft,,103,106
4,4:49.0,,Defensive rebound by B. Simmons,103,106
4,4:46.0,,J. Redick misses 3-pt jump shot from 28 ft,103,106
4,4:44.0,,Offensive rebound by J. Redick,103,106
4,4:40.0,,Shooting foul by B. Marjanović (drawn by J. Embiid),103,106
4,4:40.0,,J. Embiid makes free throw 1 of 2,103,107
4,4:40.0,,J. Embiid misses free throw 2 of 2,103,107
4,4:38.0,Defensive rebound by D. Gallinari,,103,107
4,4:21.0,D. Gallinari misses 2-pt jump shot from 17 ft,,103,107
4,4:18.0,,Defensive rebound by R. Covington,103,107
4,4:10.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),103,110
4,4:09.0,LA Clippers full timeout,,103,110
4,4:09.0,L. Williams enters the game for P. Beverley,,103,110
4,4:00.0,Personal foul by B. Simmons (drawn by B. Marjanović),,103,110
4,4:00.0,B. Marjanović makes free throw 1 of 2,,104,110
4,4:00.0,B. Marjanović makes free throw 2 of 2,,105,110
4,3:46.0,,M. Muscala misses 2-pt layup from 4 ft (block by T. Harris),105,110
4,3:45.0,Defensive rebound by Team,,105,110
4,3:39.0,L. Williams misses 2-pt layup from 3 ft,,105,110
4,3:38.0,Offensive rebound by B. Marjanović,,105,110
4,3:38.0,Personal foul by R. Covington (drawn by B. Marjanović),,105,110
4,3:38.0,B. Marjanović makes free throw 1 of 2,,106,110
4,3:38.0,B. Marjanović makes free throw 2 of 2,,107,110
4,3:38.0,,Philadelphia full timeout,107,110
4,3:27.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by M. Muscala),107,112
4,3:05.0,Shooting foul by J. Embiid (drawn by D. Gallinari),,107,112
4,3:05.0,D. Gallinari makes free throw 1 of 2,,108,112
4,3:05.0,D. Gallinari makes free throw 2 of 2,,109,112
4,2:57.0,,J. Embiid misses 3-pt jump shot from 27 ft,109,112
4,2:54.0,Defensive rebound by B. Marjanović,,109,112
4,2:38.0,Turnover by L. Williams (traveling),,109,112
4,2:28.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),109,115
4,2:10.0,,Violation by Team (kicked ball),109,115
4,1:56.0,A. Bradley misses 3-pt jump shot from 25 ft,,109,115
4,1:53.0,,Defensive rebound by M. Muscala,109,115
4,1:39.0,,J. Embiid makes 2-pt dunk from 2 ft (assist by J. Redick),109,117
4,1:39.0,LA Clippers full timeout,,109,117
4,1:34.0,Turnover by L. Williams (dbl dribble),,109,117
4,1:14.0,,Shooting foul by B. Marjanović (drawn by J. Embiid),109,117
4,1:14.0,,J. Embiid misses free throw 1 of 2,109,117
4,1:14.0,,Offensive rebound by Team,109,117
4,1:14.0,P. Beverley enters the game for B. Marjanović,,109,117
4,1:14.0,,J. Embiid makes free throw 2 of 2,109,118
4,1:04.0,L. Williams misses 2-pt jump shot from 16 ft,,109,118
4,1:03.0,,Defensive rebound by B. Simmons,109,118
4,1:03.0,,Personal take foul by P. Beverley (drawn by B. Simmons),109,118
4,1:03.0,,B. Simmons makes free throw 1 of 2,109,119
4,1:03.0,,B. Simmons makes free throw 2 of 2,109,120
4,0:56.0,Shooting foul by J. Embiid (drawn by D. Gallinari),,109,120
4,0:56.0,D. Gallinari makes free throw 1 of 2,,110,120
4,0:56.0,D. Gallinari makes free throw 2 of 2,,111,120
4,0:53.0,Clear path foul by J. Embiid,,111,120
4,0:53.0,,J. Embiid makes clear path free throw 1 of 2,111,121
4,0:53.0,S. Gilgeous-Alexander enters the game for P. Beverley,,111,121
4,0:53.0,,J. Embiid makes clear path free throw 2 of 2,111,122
4,0:38.0,,B. Simmons misses 2-pt jump shot from 4 ft,111,122
4,0:35.0,,Offensive rebound by J. Embiid,111,122
4,0:23.0,,Turnover by Team (shot clock),111,122
4,0:23.0,J. Robinson enters the game for A. Bradley,,111,122
4,0:23.0,T. Wallace enters the game for L. Williams,,111,122
4,0:13.0,T. Harris makes 2-pt dunk at rim,,113,122
