QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA LAKERS_ACTION,PHILADELPHIA_SCORE,LA LAKERS_SCORE
4,8:24.0,Defensive rebound by L. Shamet,,101,89
4,8:12.0,M. Muscala misses 2-pt jump shot from 14 ft,,101,89
4,8:08.0,Offensive rebound by B. Simmons,,101,89
4,8:01.0,B. Simmons misses 2-pt hook shot from 10 ft,,101,89
4,7:55.0,Offensive rebound by M. Muscala,,101,89
4,7:55.0,M. Muscala misses 2-pt layup from 1 ft,,101,89
4,7:54.0,,Defensive rebound by R. Rondo,101,89
4,7:49.0,,I. Zubac misses 2-pt hook shot from 2 ft,101,89
4,7:49.0,Defensive rebound by M. Muscala,,101,89
4,7:24.0,B. Simmons misses 2-pt jump shot from 13 ft,,101,89
4,7:23.0,Offensive rebound by M. Muscala,,101,89
4,7:23.0,M. Muscala makes 2-pt layup from 1 ft,,103,89
4,7:23.0,,LA Lakers full timeout,103,89
4,7:23.0,,K. Caldwell-Pope enters the game for S. Mykhailiuk,103,89
4,7:23.0,,B. Ingram enters the game for L. Stephenson,103,89
4,7:23.0,,J. McGee enters the game for I. Zubac,103,89
4,6:59.0,,R. Rondo misses 2-pt jump shot from 6 ft,103,89
4,6:56.0,Defensive rebound by C. Brewer,,103,89
4,6:42.0,M. Muscala misses 3-pt jump shot from 24 ft,,103,89
4,6:41.0,Offensive rebound by Team,,103,89
4,6:37.0,T. McConnell makes 2-pt jump shot from 10 ft (assist by B. Simmons),,105,89
4,6:18.0,,K. Caldwell-Pope makes 2-pt jump shot from 12 ft,105,91
4,5:57.0,B. Simmons makes 2-pt layup from 1 ft (assist by L. Shamet),,107,91
4,5:38.0,,J. McGee makes 2-pt jump shot from 12 ft (assist by B. Ingram),107,93
4,5:16.0,M. Muscala makes 3-pt jump shot from 27 ft (assist by L. Shamet),,110,93
4,5:15.0,,LA Lakers full timeout,110,93
4,5:15.0,,S. Mykhailiuk enters the game for R. Rondo,110,93
4,5:00.0,,J. McGee makes 2-pt layup from 2 ft (assist by B. Ingram),110,95
4,5:00.0,,Shooting foul by M. Muscala (drawn by J. McGee),110,95
4,5:00.0,,J. McGee makes free throw 1 of 1,110,96
4,4:44.0,C. Brewer misses 2-pt jump shot from 13 ft,,110,96
4,4:40.0,,Defensive rebound by J. McGee,110,96
4,4:30.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by B. Ingram),110,99
4,4:10.0,C. Brewer misses 2-pt layup from 2 ft (block by J. McGee),,110,99
4,4:07.0,,Defensive rebound by S. Mykhailiuk,110,99
4,4:05.0,,Personal take foul by L. Shamet (drawn by K. Caldwell-Pope),110,99
4,4:05.0,J. Butler enters the game for C. Brewer,,110,99
4,4:05.0,W. Chandler enters the game for T. McConnell,,110,99
4,4:05.0,J. Embiid enters the game for M. Muscala,,110,99
4,4:05.0,J. Redick enters the game for L. Shamet,,110,99
4,3:52.0,,B. Ingram makes 2-pt jump shot from 13 ft (assist by J. McGee),110,101
4,3:33.0,J. Butler makes 2-pt jump shot from 9 ft,,112,101
4,3:20.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,112,101
4,3:17.0,,Offensive rebound by J. Hart,112,101
4,3:12.0,,B. Ingram makes 2-pt jump shot from 19 ft,112,103
4,2:53.0,J. Butler makes 2-pt dunk from 2 ft (assist by B. Simmons),,114,103
4,2:43.0,,J. Hart misses 3-pt jump shot from 28 ft,114,103
4,2:42.0,Defensive rebound by Team,,114,103
4,2:30.0,Personal foul by K. Caldwell-Pope (drawn by J. Butler),,114,103
4,2:18.0,J. Embiid misses 2-pt jump shot from 7 ft,,114,103
4,2:14.0,,Defensive rebound by J. Hart,114,103
4,2:09.0,,S. Mykhailiuk misses 3-pt jump shot from 23 ft,114,103
4,2:05.0,Defensive rebound by J. Embiid,,114,103
4,1:49.0,J. Redick makes 2-pt jump shot from 22 ft (assist by J. Embiid),,116,103
4,1:49.0,,LA Lakers full timeout,116,103
4,1:43.0,,Turnover by S. Mykhailiuk (bad pass; steal by J. Butler),116,103
4,1:42.0,Shooting foul by S. Mykhailiuk (drawn by J. Butler),,116,103
4,1:42.0,J. Butler makes free throw 1 of 2,,117,103
4,1:42.0,M. Muscala enters the game for J. Embiid,,117,103
4,1:42.0,L. Shamet enters the game for J. Redick,,117,103
4,1:42.0,J. Butler makes free throw 2 of 2,,118,103
4,1:23.0,,J. Hart misses 2-pt layup from 2 ft,118,103
4,1:22.0,,Offensive rebound by J. McGee,118,103
4,1:20.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,118,103
4,1:16.0,Defensive rebound by L. Shamet,,118,103
4,1:11.0,Philadelphia full timeout,,118,103
4,1:11.0,C. Brewer enters the game for J. Butler,,118,103
4,1:11.0,F. Korkmaz enters the game for W. Chandler,,118,103
4,1:11.0,T. McConnell enters the game for B. Simmons,,118,103
4,1:11.0,,A. Caruso enters the game for J. Hart,118,103
4,1:11.0,,M. Wagner enters the game for B. Ingram,118,103
4,0:57.0,F. Korkmaz makes 3-pt jump shot from 28 ft (assist by T. McConnell),,121,103
4,0:45.0,,Turnover by M. Wagner (bad pass; steal by C. Brewer),121,103
4,0:25.0,M. Muscala misses 3-pt jump shot from 25 ft,,121,103
4,0:21.0,,Defensive rebound by S. Mykhailiuk,121,103
4,0:08.0,,A. Caruso misses 2-pt layup from 4 ft (block by M. Muscala),121,103
4,0:08.0,,Offensive rebound by Team,121,103
4,0:03.0,,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by M. Wagner),121,105
