QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW ORLEANS_ACTION,GOLDEN STATE_SCORE,NEW ORLEANS_SCORE
4,2:41.0,J. Bell misses 2-pt jump shot from 8 ft,,109,97
4,2:39.0,,Defensive rebound by C. Wood,109,97
4,2:33.0,,I. Clark misses 3-pt jump shot from 29 ft,109,97
4,2:28.0,Defensive rebound by J. Bell,,109,97
4,2:15.0,D. Lee misses 2-pt jump shot from 14 ft,,109,97
4,2:13.0,Offensive rebound by K. Looney,,109,97
4,2:09.0,Turnover by J. Bell (bad pass; steal by K. Williams),,109,97
4,2:02.0,,I. Clark misses 3-pt jump shot from 25 ft,109,97
4,1:58.0,,Offensive rebound by J. Okafor,109,97
4,1:57.0,,J. Okafor makes 2-pt dunk from 1 ft,109,99
4,1:38.0,M. Derrickson misses 2-pt jump shot from 16 ft,,109,99
4,1:34.0,,Defensive rebound by C. Wood,109,99
4,1:27.0,,I. Clark misses 2-pt layup from 5 ft,109,99
4,1:23.0,Defensive rebound by J. Bell,,109,99
4,1:14.0,M. Derrickson misses 3-pt jump shot from 24 ft,,109,99
4,1:09.0,Offensive rebound by M. Derrickson,,109,99
4,1:07.0,M. Derrickson makes 3-pt jump shot from 25 ft,,112,99
4,0:55.0,,J. Okafor makes 2-pt layup from 2 ft,112,101
4,0:36.0,D. Lee misses 3-pt jump shot from 23 ft,,112,101
4,0:31.0,,Defensive rebound by I. Clark,112,101
4,0:22.0,,J. Okafor makes 2-pt dunk at rim (assist by I. Clark),112,103
