QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ORLANDO_ACTION,OKLAHOMA CITY_SCORE,ORLANDO_SCORE
4,5:47.0,Defensive rebound by J. Grant,,110,103
4,5:34.0,D. Schröder makes 2-pt jump shot from 15 ft,,112,103
4,5:34.0,Shooting foul by J. Grant (drawn by D. Schröder),,112,103
4,5:34.0,A. Nader enters the game for N. Noel,,112,103
4,5:34.0,,D. Augustin enters the game for A. Gordon,112,103
4,5:34.0,,T. Ross enters the game for J. Grant,112,103
4,5:34.0,D. Schröder makes free throw 1 of 1,,113,103
4,5:18.0,,E. Fournier misses 2-pt jump shot from 12 ft,113,103
4,5:16.0,Defensive rebound by R. Westbrook,,113,103
4,5:12.0,D. Schröder makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,116,103
4,5:11.0,,Orlando full timeout,116,103
4,4:52.0,,N. Vučević makes 2-pt hook shot from 6 ft,116,105
4,4:35.0,D. Schröder misses 2-pt jump shot from 15 ft,,116,105
4,4:33.0,,Defensive rebound by T. Ross,116,105
4,4:25.0,,T. Ross makes 3-pt jump shot from 26 ft,116,108
4,4:23.0,Oklahoma City full timeout,,116,108
4,4:23.0,N. Noel enters the game for A. Nader,,116,108
4,4:23.0,,A. Gordon enters the game for J. Isaac,116,108
4,4:13.0,P. George misses 3-pt jump shot from 23 ft,,116,108
4,4:11.0,,Defensive rebound by T. Ross,116,108
4,4:06.0,,T. Ross makes 3-pt jump shot from 26 ft,116,111
4,3:43.0,J. Grant misses 2-pt jump shot from 7 ft (block by T. Ross),,116,111
4,3:37.0,,Defensive rebound by N. Vučević,116,111
4,3:32.0,,Personal foul by N. Noel (drawn by A. Gordon),116,111
4,3:23.0,,Turnover by A. Gordon (bad pass; steal by P. George),116,111
4,3:03.0,P. George makes 2-pt jump shot from 4 ft,,118,111
4,2:46.0,,Personal foul by R. Westbrook (drawn by E. Fournier),118,111
4,2:35.0,,N. Vučević makes 2-pt hook shot from 8 ft (assist by A. Gordon),118,113
4,2:13.0,P. George makes 2-pt jump shot from 10 ft,,120,113
4,2:04.0,,E. Fournier misses 3-pt jump shot from 26 ft,120,113
4,1:56.0,Defensive rebound by J. Grant,,120,113
4,1:44.0,N. Noel makes 2-pt hook shot from 11 ft (assist by R. Westbrook),,122,113
4,1:33.0,,T. Ross misses 3-pt jump shot from 28 ft,122,113
4,1:29.0,Defensive rebound by R. Westbrook,,122,113
4,1:17.0,N. Noel makes 2-pt hook shot from 5 ft (assist by R. Westbrook),,124,113
4,1:17.0,,Orlando full timeout,124,113
4,1:13.0,,Personal foul by P. George (drawn by T. Ross),124,113
4,1:08.0,,Personal foul by D. Schröder (drawn by E. Fournier),124,113
4,1:08.0,,E. Fournier makes free throw 1 of 2,124,114
4,1:08.0,,E. Fournier misses free throw 2 of 2,124,114
4,1:06.0,,Offensive rebound by A. Gordon,124,114
4,1:04.0,,A. Gordon misses 2-pt layup from 1 ft (block by N. Noel),124,114
4,1:01.0,Defensive rebound by N. Noel,,124,114
4,0:59.0,J. Grant makes 2-pt dunk from 2 ft (assist by R. Westbrook),,126,114
4,0:50.0,,D. Augustin misses 2-pt layup from 3 ft (block by D. Schröder),126,114
4,0:45.0,Defensive rebound by N. Noel,,126,114
4,0:27.0,Turnover by R. Westbrook (step out of bounds),,126,114
4,0:22.0,,A. Gordon makes 3-pt jump shot from 24 ft,126,117
