QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
4,6:28.0,J. Barea makes 2-pt layup from 2 ft (assist by J. Brunson),,102,92
4,6:25.0,,Personal take foul by J. Brunson (drawn by T. Jones),102,92
4,6:25.0,Dallas full timeout,,102,92
4,6:25.0,L. Dončić enters the game for J. Barea,,102,92
4,6:25.0,D. Jordan enters the game for D. Finney-Smith,,102,92
4,6:25.0,M. Kleber enters the game for D. Powell,,102,92
4,6:25.0,,D. Rose enters the game for T. Jones,102,92
4,6:14.0,,K. Towns misses 2-pt hook shot from 5 ft,102,92
4,6:12.0,,Offensive rebound by T. Gibson,102,92
4,6:11.0,,T. Gibson misses 2-pt layup from 2 ft,102,92
4,6:09.0,,Offensive rebound by A. Wiggins,102,92
4,6:07.0,,D. Rose makes 3-pt jump shot from 25 ft (assist by A. Wiggins),102,95
4,5:50.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Dončić),,105,95
4,5:34.0,,J. Teague makes 2-pt jump shot from 10 ft (assist by K. Towns),105,97
4,5:11.0,H. Barnes misses 2-pt jump shot from 18 ft,,105,97
4,5:07.0,,Defensive rebound by D. Rose,105,97
4,5:02.0,,A. Wiggins makes 2-pt jump shot from 7 ft (assist by D. Rose),105,99
4,4:42.0,L. Dončić makes 2-pt jump shot from 22 ft,,107,99
4,4:32.0,,Shooting foul by M. Kleber (drawn by K. Towns),107,99
4,4:32.0,,K. Towns makes free throw 1 of 2,107,100
4,4:32.0,,K. Towns makes free throw 2 of 2,107,101
4,4:16.0,L. Dončić misses 2-pt layup from 5 ft,,107,101
4,4:14.0,,Defensive rebound by A. Wiggins,107,101
4,4:04.0,,K. Towns makes 2-pt jump shot from 15 ft (assist by A. Wiggins),107,103
4,3:45.0,H. Barnes misses 3-pt jump shot from 26 ft,,107,103
4,3:42.0,Offensive rebound by D. Jordan,,107,103
4,3:41.0,D. Jordan misses 2-pt jump shot from 4 ft (block by K. Towns),,107,103
4,3:39.0,,Defensive rebound by D. Rose,107,103
4,3:39.0,,Personal foul by H. Barnes (drawn by K. Towns),107,103
4,3:39.0,,Minnesota full timeout,107,103
4,3:26.0,,D. Rose makes 2-pt jump shot from 12 ft (assist by K. Towns),107,105
4,3:01.0,L. Dončić misses 2-pt jump shot from 11 ft (block by D. Rose),,107,105
4,2:59.0,,Defensive rebound by K. Towns,107,105
4,2:47.0,,K. Towns makes 2-pt layup from 1 ft (assist by D. Rose),107,107
4,2:45.0,Dallas full timeout,,107,107
4,2:37.0,J. Brunson makes 3-pt jump shot from 22 ft (assist by L. Dončić),,110,107
4,2:13.0,,K. Towns makes 2-pt hook shot from 7 ft,110,109
4,1:55.0,H. Barnes misses 2-pt jump shot from 18 ft,,110,109
4,1:53.0,,Defensive rebound by T. Gibson,110,109
4,1:41.0,,K. Towns makes 2-pt hook shot from 8 ft (assist by J. Teague),110,111
4,1:28.0,L. Dončić makes 2-pt jump shot from 9 ft,,112,111
4,1:08.0,,J. Teague makes 2-pt jump shot from 6 ft (assist by D. Rose),112,113
4,0:57.0,L. Dončić makes 2-pt dunk from 1 ft,,114,113
4,0:36.0,,J. Teague misses 2-pt jump shot from 10 ft,114,113
4,0:35.0,,Offensive rebound by T. Gibson,114,113
4,0:35.0,,T. Gibson makes 2-pt layup from 1 ft,114,115
4,0:35.0,Dallas full timeout,,114,115
4,0:35.0,,J. Okogie enters the game for D. Rose,114,115
4,0:33.0,Turnover by L. Dončić (bad pass; steal by T. Gibson),,114,115
4,0:30.0,,Turnover by J. Okogie (bad pass; steal by D. Jordan),114,115
4,0:23.0,L. Dončić makes 3-pt jump shot from 28 ft,,117,115
4,0:22.0,,Minnesota full timeout,117,115
4,0:22.0,D. Finney-Smith enters the game for J. Brunson,,117,115
4,0:22.0,,D. Rose enters the game for T. Gibson,117,115
4,0:22.0,,D. Šarić enters the game for J. Okogie,117,115
4,0:10.0,,Turnover by D. Rose (bad pass),117,115
4,0:10.0,,Loose ball foul by K. Towns (drawn by H. Barnes),117,115
4,0:10.0,J. Brunson enters the game for D. Jordan,,117,115
4,0:10.0,,G. Dieng enters the game for D. Rose,117,115
4,0:10.0,,T. Gibson enters the game for D. Šarić,117,115
4,0:10.0,,J. Okogie enters the game for K. Towns,117,115
4,0:07.0,Personal take foul by J. Okogie (drawn by H. Barnes),,117,115
4,0:07.0,H. Barnes makes free throw 1 of 2,,118,115
4,0:07.0,,K. Towns enters the game for G. Dieng,118,115
4,0:07.0,H. Barnes makes free throw 2 of 2,,119,115
4,0:07.0,,Minnesota full timeout,119,115
4,0:07.0,,D. Rose enters the game for T. Gibson,119,115
4,0:07.0,,D. Šarić enters the game for J. Okogie,119,115
4,0:02.0,,K. Towns misses 3-pt jump shot from 25 ft,119,115
4,0:00.0,,Offensive rebound by D. Šarić,119,115
4,0:00.0,,D. Rose misses 3-pt jump shot from 25 ft,119,115
4,0:00.0,,Offensive rebound by Team,119,115
