QUARTER,TIME_REMAINING,CHICAGO_ACTION,HOUSTON_ACTION,CHICAGO_SCORE,HOUSTON_SCORE
3,5:19.0,,G. Green enters the game for J. Ennis,60,70
3,5:19.0,,C. Capela makes free throw 2 of 2,60,71
3,5:07.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,63,71
3,4:52.0,,J. Harden misses 3-pt jump shot from 25 ft,63,71
3,4:50.0,,Offensive rebound by C. Capela,63,71
3,4:35.0,,J. Harden makes 3-pt jump shot from 23 ft,63,74
3,4:28.0,Z. LaVine makes 2-pt layup from 2 ft,,65,74
3,4:07.0,,Personal foul by Z. LaVine (drawn by J. Harden),65,74
3,4:07.0,,J. Harden misses free throw 1 of 2,65,74
3,4:07.0,,Offensive rebound by Team,65,74
3,4:07.0,,D. House enters the game for P. Tucker,65,74
3,4:07.0,,J. Harden makes free throw 2 of 2,65,75
3,3:53.0,L. Markkanen misses 2-pt jump shot from 11 ft,,65,75
3,3:52.0,,Defensive rebound by C. Capela,65,75
3,3:42.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),65,77
3,3:27.0,J. Parker misses 2-pt jump shot from 16 ft,,65,77
3,3:27.0,,Defensive rebound by J. Harden,65,77
3,3:11.0,,J. Harden makes 3-pt jump shot from 25 ft,65,80
3,3:11.0,Chicago full timeout,,65,80
3,3:11.0,C. Hutchison enters the game for R. Arcidiacono,,65,80
3,3:11.0,C. Payne enters the game for W. Carter,,65,80
3,2:47.0,Z. LaVine makes 2-pt dunk from 1 ft,,67,80
3,2:33.0,,Turnover by J. Harden (traveling),67,80
3,2:23.0,Shooting foul by G. Green (drawn by J. Parker),,67,80
3,2:23.0,J. Parker misses free throw 1 of 2,,67,80
3,2:23.0,Offensive rebound by Team,,67,80
3,2:23.0,,N. Hilário enters the game for C. Capela,67,80
3,2:23.0,,C. Paul enters the game for J. Harden,67,80
3,2:23.0,J. Parker makes free throw 2 of 2,,68,80
3,2:14.0,,Personal foul by C. Payne (drawn by C. Paul),68,80
3,2:14.0,,C. Paul makes free throw 1 of 2,68,81
3,2:14.0,R. Lopez enters the game for J. Parker,,68,81
