QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MILWAUKEE_ACTION,MEMPHIS_SCORE,MILWAUKEE_SCORE
4,4:24.0,G. Temple makes 3-pt jump shot from 23 ft (assist by K. Anderson),,100,99
4,4:08.0,,Turnover by M. Brogdon (step out of bounds),100,99
4,3:57.0,M. Gasol misses 2-pt dunk from 2 ft (block by G. Antetokounmpo),,100,99
4,3:53.0,Offensive rebound by W. Selden,,100,99
4,3:53.0,M. Gasol makes 2-pt dunk at rim (assist by W. Selden),,102,99
4,3:53.0,,Milwaukee full timeout,102,99
4,3:53.0,Technical foul by,,102,99
4,3:53.0,G. Temple makes technical free throw,,103,99
4,3:53.0,,M. Budenholzer ejected from game,103,99
4,3:53.0,M. Conley enters the game for W. Selden,,103,99
4,3:29.0,,Turnover by G. Antetokounmpo (lost ball; steal by S. Mack),103,99
4,3:13.0,M. Conley makes 3-pt jump shot from 26 ft,,106,99
4,3:01.0,,Personal foul by S. Mack (drawn by P. Connaughton),106,99
4,3:01.0,,P. Connaughton misses free throw 1 of 2,106,99
4,3:01.0,,Offensive rebound by Team,106,99
4,3:01.0,,E. Bledsoe enters the game for M. Brogdon,106,99
4,3:01.0,,P. Connaughton misses free throw 2 of 2,106,99
4,2:58.0,Defensive rebound by K. Anderson,,106,99
4,2:37.0,S. Mack misses 3-pt jump shot from 27 ft,,106,99
4,2:34.0,,Defensive rebound by K. Middleton,106,99
4,2:29.0,,K. Middleton makes 2-pt layup from 1 ft,106,101
4,2:07.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by S. Mack),,109,101
4,2:06.0,,Milwaukee full timeout,109,101
4,1:55.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),109,104
4,1:32.0,M. Conley makes 2-pt layup from 3 ft,,111,104
4,1:26.0,,G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by K. Middleton),111,106
4,1:08.0,Personal foul by K. Middleton (drawn by S. Mack),,111,106
4,0:58.0,Turnover by M. Gasol (traveling),,111,106
4,0:48.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,111,108
4,0:48.0,,Shooting foul by G. Temple (drawn by G. Antetokounmpo),111,108
4,0:48.0,,G. Antetokounmpo makes free throw 1 of 1,111,109
4,0:26.0,M. Conley makes 2-pt jump shot from 8 ft,,113,109
4,0:14.0,,K. Middleton misses 3-pt jump shot from 22 ft,113,109
4,0:11.0,,Offensive rebound by E. İlyasova,113,109
4,0:10.0,,E. İlyasova makes 2-pt layup from 1 ft,113,111
4,0:09.0,Personal foul by E. Bledsoe (drawn by M. Conley),,113,111
4,0:09.0,M. Conley makes free throw 1 of 2,,114,111
4,0:09.0,M. Conley makes free throw 2 of 2,,115,111
4,0:02.0,,P. Connaughton makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),115,113
4,0:02.0,Memphis full timeout,,115,113
4,0:02.0,Away from play foul by E. İlyasova (drawn by M. Conley),,115,113
4,0:02.0,M. Conley misses free throw 1 of 1,,115,113
4,0:02.0,Offensive rebound by Team,,115,113
4,0:02.0,Personal foul by G. Antetokounmpo (drawn by S. Mack),,115,113
4,0:02.0,S. Mack misses free throw 1 of 2,,115,113
4,0:02.0,Offensive rebound by Team,,115,113
4,0:02.0,S. Mack makes free throw 2 of 2,,116,113
4,0:02.0,,Milwaukee full timeout,116,113
4,0:00.0,,K. Middleton misses 3-pt jump shot from 29 ft,116,113
4,0:00.0,,Offensive rebound by Team,116,113
