QUARTER,TIME_REMAINING,INDIANA_ACTION,SAN ANTONIO_ACTION,INDIANA_SCORE,SAN ANTONIO_SCORE
4,1:48.0,K. O'Quinn makes 2-pt jump shot from 17 ft (assist by D. McDermott),,114,89
4,1:37.0,,Shooting foul by K. O'Quinn (drawn by D. Eubanks),114,89
4,1:37.0,,D. Eubanks makes free throw 1 of 2,114,90
4,1:37.0,,D. Eubanks makes free throw 2 of 2,114,91
4,1:22.0,T. Leaf misses 3-pt jump shot from 24 ft,,114,91
4,1:21.0,,Defensive rebound by Team,114,91
4,1:08.0,,C. Metu misses 2-pt layup from 4 ft (block by T. Leaf),114,91
4,1:03.0,Defensive rebound by K. O'Quinn,,114,91
4,0:58.0,Personal foul by Q. Pondexter (drawn by D. McDermott),,114,91
4,0:54.0,Turnover by A. Holiday (traveling),,114,91
4,0:54.0,Violation by Team (delay of game),,114,91
4,0:45.0,,Shooting foul by A. Holiday (drawn by M. Belinelli),114,91
4,0:45.0,,M. Belinelli makes free throw 1 of 3,114,92
4,0:45.0,,M. Belinelli makes free throw 2 of 3,114,93
4,0:45.0,,M. Belinelli makes free throw 3 of 3,114,94
4,0:34.0,T. Leaf misses 2-pt layup from 4 ft,,114,94
4,0:31.0,,Defensive rebound by M. Belinelli,114,94
4,0:25.0,,Q. Pondexter makes 2-pt jump shot from 3 ft,114,96
4,0:12.0,D. McDermott makes 2-pt layup from 2 ft (assist by K. O'Quinn),,116,96
4,0:03.0,,C. Metu misses 3-pt jump shot from 26 ft,116,96
4,0:03.0,Defensive rebound by D. McDermott,,116,96
