QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,INDIANA_ACTION,GOLDEN STATE_SCORE,INDIANA_SCORE
4,3:23.0,,Defensive rebound by D. McDermott,122,95
4,3:18.0,,E. Sumner misses 3-pt jump shot from 27 ft,122,95
4,3:15.0,Defensive rebound by M. Derrickson,,122,95
4,3:07.0,Q. Cook misses 2-pt layup from 2 ft,,122,95
4,3:05.0,Offensive rebound by A. McKinnie,,122,95
4,3:03.0,D. Lee misses 3-pt jump shot from 28 ft,,122,95
4,3:00.0,,Defensive rebound by K. O'Quinn,122,95
4,2:54.0,,A. Holiday misses 2-pt layup from 3 ft,122,95
4,2:51.0,,Offensive rebound by E. Sumner,122,95
4,2:51.0,,E. Sumner misses 2-pt layup at rim,122,95
4,2:50.0,Defensive rebound by D. Lee,,122,95
4,2:47.0,Q. Cook misses 3-pt jump shot from 26 ft,,122,95
4,2:45.0,,Defensive rebound by K. O'Quinn,122,95
4,2:45.0,,Indiana full timeout,122,95
4,2:45.0,J. Bell enters the game for K. Looney,,122,95
4,2:45.0,,A. Johnson enters the game for T. Leaf,122,95
4,2:45.0,,D. Reed enters the game for D. McDermott,122,95
4,2:36.0,,E. Sumner misses 2-pt layup from 2 ft,122,95
4,2:35.0,,Offensive rebound by Team,122,95
4,2:32.0,,K. O'Quinn makes 2-pt jump shot from 19 ft (assist by D. Reed),122,97
4,2:15.0,M. Derrickson misses 3-pt jump shot from 29 ft,,122,97
4,2:13.0,Offensive rebound by D. Lee,,122,97
4,2:05.0,Q. Cook misses 2-pt layup from 1 ft (block by K. O'Quinn),,122,97
4,2:05.0,Offensive rebound by Team,,122,97
4,2:02.0,D. Lee makes 2-pt jump shot from 22 ft (assist by Q. Cook),,124,97
4,1:42.0,,A. Holiday misses 2-pt hook shot from 7 ft,124,97
4,1:39.0,Defensive rebound by Q. Cook,,124,97
4,1:24.0,M. Derrickson misses 3-pt jump shot from 25 ft,,124,97
4,1:21.0,,Defensive rebound by A. Holiday,124,97
4,1:19.0,,Turnover by A. Holiday (bad pass),124,97
4,1:13.0,Q. Cook makes 3-pt jump shot from 27 ft,,127,97
4,1:04.0,,A. Johnson misses 3-pt jump shot from 26 ft,127,97
4,0:59.0,Defensive rebound by A. McKinnie,,127,97
4,0:56.0,D. Lee makes 3-pt jump shot from 23 ft (assist by J. Bell),,130,97
4,0:48.0,,D. Reed misses 2-pt jump shot from 19 ft,130,97
4,0:45.0,Defensive rebound by J. Bell,,130,97
4,0:31.0,Q. Cook makes 2-pt jump shot from 11 ft,,132,97
4,0:25.0,,D. Reed makes 3-pt jump shot from 28 ft (assist by A. Holiday),132,100
4,0:02.0,D. Lee misses 2-pt jump shot from 10 ft (block by E. Sumner),,132,100
4,0:01.0,Offensive rebound by Q. Cook,,132,100
4,0:01.0,Turnover by Team (shot clock),,132,100
