QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,INDIANA_ACTION,LA CLIPPERS_SCORE,INDIANA_SCORE
4,2:50.0,,A. Holiday misses 3-pt jump shot from 27 ft,88,111
4,2:47.0,Defensive rebound by Á. Delgado,,88,111
4,2:37.0,Á. Delgado makes 2-pt layup from 2 ft (assist by S. Thornwell),,90,111
4,2:23.0,,Turnover by K. O'Quinn (lost ball; steal by Á. Delgado),90,111
4,2:18.0,T. Wallace misses 2-pt layup from 1 ft (block by A. Holiday),,90,111
4,2:15.0,,Defensive rebound by C. Joseph,90,111
4,2:07.0,,Shooting foul by Á. Delgado (drawn by T. Leaf),90,111
4,2:07.0,,Indiana full timeout,90,111
4,2:07.0,,T. Leaf misses free throw 1 of 2,90,111
4,2:07.0,,Offensive rebound by Team,90,111
4,2:07.0,,T. Leaf makes free throw 2 of 2,90,112
4,1:54.0,J. Motley misses 2-pt layup from 1 ft,,90,112
4,1:50.0,,Defensive rebound by K. O'Quinn,90,112
4,1:41.0,,T. Leaf makes 2-pt jump shot from 11 ft (assist by C. Joseph),90,114
4,1:28.0,Shooting foul by A. Holiday (drawn by S. Thornwell),,90,114
4,1:28.0,S. Thornwell misses free throw 1 of 2,,90,114
4,1:28.0,Offensive rebound by Team,,90,114
4,1:28.0,S. Thornwell makes free throw 2 of 2,,91,114
4,1:16.0,,K. O'Quinn makes 2-pt jump shot from 16 ft (assist by A. Holiday),91,116
4,1:03.0,J. Robinson misses 2-pt jump shot from 8 ft (block by K. O'Quinn),,91,116
4,1:02.0,Offensive rebound by Á. Delgado,,91,116
4,1:02.0,Shooting foul by K. O'Quinn (drawn by Á. Delgado),,91,116
4,1:02.0,Á. Delgado misses free throw 1 of 2,,91,116
4,1:02.0,Offensive rebound by Team,,91,116
4,1:02.0,Á. Delgado makes free throw 2 of 2,,92,116
4,0:49.0,,Turnover by K. O'Quinn (bad pass; steal by J. Robinson),92,116
4,0:46.0,Á. Delgado misses 2-pt layup from 1 ft,,92,116
4,0:45.0,Offensive rebound by S. Thornwell,,92,116
4,0:45.0,S. Thornwell misses 2-pt layup from 4 ft,,92,116
4,0:41.0,,Defensive rebound by C. Joseph,92,116
4,0:27.0,,K. O'Quinn misses 2-pt jump shot from 18 ft,92,116
4,0:24.0,Defensive rebound by J. Motley,,92,116
4,0:15.0,T. Wallace misses 2-pt jump shot from 10 ft,,92,116
4,0:12.0,,Defensive rebound by T. Leaf,92,116
