QUARTER,TIME_REMAINING,MEMPHIS_ACTION,TORONTO_ACTION,MEMPHIS_SCORE,TORONTO_SCORE
4,1:44.0,,M. Richardson misses 3-pt jump shot from 26 ft,84,119
4,1:41.0,Defensive rebound by O. Casspi,,84,119
4,1:29.0,Personal foul by C. Boucher (drawn by J. Holiday),,84,119
4,1:20.0,S. Mack misses 2-pt jump shot from 19 ft (block by C. Boucher),,84,119
4,1:18.0,Offensive rebound by S. Mack,,84,119
4,1:18.0,O. Casspi makes 2-pt layup from 2 ft (assist by S. Mack),,86,119
4,1:01.0,,P. McCaw misses 2-pt layup from 6 ft,86,119
4,1:01.0,Defensive rebound by Team,,86,119
4,0:40.0,Y. Watanabe makes 2-pt jump shot from 12 ft (assist by S. Mack),,88,119
4,0:33.0,,Turnover by J. Loyd (lost ball; steal by J. Holiday),88,119
4,0:21.0,S. Mack makes 2-pt jump shot from 10 ft (assist by J. Carter),,90,119
