QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
4,2:15.0,,Defensive rebound by Team,100,112
4,1:57.0,,J. Harden makes 3-pt jump shot from 28 ft,100,115
4,1:57.0,Dallas full timeout,,100,115
4,1:57.0,T. Hardaway enters the game for J. Jackson,,100,115
4,1:57.0,D. Powell enters the game for M. Kleber,,100,115
4,1:50.0,Personal foul by E. Gordon (drawn by T. Hardaway),,100,115
4,1:50.0,T. Hardaway makes free throw 1 of 2,,101,115
4,1:50.0,T. Hardaway makes free throw 2 of 2,,102,115
4,1:26.0,,E. Gordon misses 2-pt jump shot from 10 ft,102,115
4,1:24.0,Defensive rebound by D. Finney-Smith,,102,115
4,1:21.0,Turnover by J. Brunson (lost ball; steal by J. Harden),,102,115
4,1:18.0,,Shooting foul by L. Dončić (drawn by J. Harden),102,115
4,1:18.0,,J. Harden makes free throw 1 of 2,102,116
4,1:18.0,,J. Harden makes free throw 2 of 2,102,117
4,1:12.0,Personal foul by P. Tucker (drawn by L. Dončić),,102,117
4,1:12.0,L. Dončić misses free throw 1 of 2,,102,117
4,1:12.0,Offensive rebound by Team,,102,117
4,1:12.0,L. Dončić makes free throw 2 of 2,,103,117
4,0:52.0,,J. Harden makes 3-pt jump shot from 29 ft (assist by C. Paul),103,120
4,0:48.0,Personal foul by P. Tucker (drawn by L. Dončić),,103,120
4,0:48.0,L. Dončić makes free throw 1 of 2,,104,120
4,0:48.0,,G. Clark enters the game for K. Faried,104,120
4,0:48.0,,G. Green enters the game for J. Harden,104,120
4,0:48.0,,I. Hartenstein enters the game for C. Paul,104,120
4,0:48.0,L. Dončić misses free throw 2 of 2,,104,120
4,0:48.0,,Defensive rebound by P. Tucker,104,120
4,0:33.0,,G. Green misses 3-pt jump shot from 27 ft,104,120
4,0:30.0,,Offensive rebound by P. Tucker,104,120
4,0:18.0,,G. Clark misses 3-pt jump shot from 27 ft,104,120
4,0:16.0,Defensive rebound by L. Dončić,,104,120
