QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SACRAMENTO_ACTION,PHILADELPHIA_SCORE,SACRAMENTO_SCORE
4,7:13.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by J. Jackson),91,93
4,6:57.0,Shooting foul by W. Cauley-Stein (drawn by B. Simmons),,91,93
4,6:57.0,B. Simmons misses free throw 1 of 2,,91,93
4,6:57.0,Offensive rebound by Team,,91,93
4,6:57.0,L. Shamet enters the game for T. McConnell,,91,93
4,6:57.0,,Y. Ferrell enters the game for B. Bogdanović,91,93
4,6:57.0,,B. Hield enters the game for D. Fox,91,93
4,6:57.0,,I. Shumpert enters the game for J. Jackson,91,93
4,6:57.0,B. Simmons makes free throw 2 of 2,,92,93
4,6:39.0,Loose ball foul by J. Butler (drawn by Y. Ferrell),,92,93
4,6:26.0,,M. Bagley makes 2-pt jump shot from 8 ft,92,95
4,6:07.0,J. Embiid misses 3-pt jump shot from 25 ft,,92,95
4,6:03.0,,Defensive rebound by B. Hield,92,95
4,5:48.0,,Turnover by W. Cauley-Stein (bad pass; steal by B. Simmons),92,95
4,5:32.0,L. Shamet misses 3-pt jump shot from 25 ft,,92,95
4,5:29.0,,Defensive rebound by B. Hield,92,95
4,5:11.0,,B. Hield misses 3-pt jump shot from 26 ft,92,95
4,5:08.0,Defensive rebound by J. Embiid,,92,95
4,4:55.0,J. Embiid makes 2-pt jump shot from 20 ft,,94,95
4,4:55.0,,Sacramento full timeout,94,95
4,4:55.0,,D. Fox enters the game for Y. Ferrell,94,95
4,4:46.0,,D. Fox makes 2-pt jump shot from 13 ft,94,97
4,4:30.0,J. Butler makes 3-pt jump shot from 25 ft (assist by J. Embiid),,97,97
4,4:30.0,Shooting foul by B. Hield (drawn by J. Butler),,97,97
4,4:30.0,J. Butler makes free throw 1 of 1,,98,97
4,4:09.0,,D. Fox misses 2-pt jump shot from 10 ft,98,97
4,4:08.0,,Offensive rebound by Team,98,97
4,4:05.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by I. Shumpert),98,99
4,3:48.0,L. Shamet makes 2-pt jump shot from 21 ft (assist by J. Butler),,100,99
4,3:29.0,,M. Bagley makes 2-pt jump shot from 9 ft,100,101
4,3:29.0,Philadelphia full timeout,,100,101
4,3:14.0,J. Butler makes 3-pt jump shot from 24 ft (assist by J. Embiid),,103,101
4,2:54.0,,B. Hield makes 3-pt jump shot from 25 ft,103,104
4,2:34.0,J. Butler makes 2-pt layup from 3 ft,,105,104
4,2:20.0,,Shooting foul by J. Embiid (drawn by W. Cauley-Stein),105,104
4,2:20.0,,W. Cauley-Stein makes free throw 1 of 2,105,105
4,2:20.0,,W. Cauley-Stein makes free throw 2 of 2,105,106
4,1:59.0,J. Butler misses 2-pt jump shot from 10 ft,,105,106
4,1:59.0,,Defensive rebound by W. Cauley-Stein,105,106
4,1:44.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),105,109
4,1:29.0,S. Milton misses 2-pt layup from 7 ft,,105,109
4,1:25.0,,Defensive rebound by M. Bagley,105,109
4,1:15.0,,Sacramento full timeout,105,109
4,1:15.0,T. McConnell enters the game for S. Milton,,105,109
4,1:04.0,,D. Fox misses 2-pt layup from 13 ft,105,109
4,1:02.0,,Offensive rebound by W. Cauley-Stein,105,109
4,1:02.0,,W. Cauley-Stein misses 2-pt dunk from 4 ft,105,109
4,1:01.0,,Offensive rebound by M. Bagley,105,109
4,1:00.0,,M. Bagley makes 2-pt layup from 3 ft,105,111
4,0:59.0,Philadelphia full timeout,,105,111
4,0:52.0,J. Butler makes 3-pt jump shot from 26 ft,,108,111
4,0:48.0,,Personal take foul by J. Embiid (drawn by W. Cauley-Stein),108,111
4,0:48.0,,W. Cauley-Stein misses free throw 1 of 2,108,111
4,0:48.0,,Offensive rebound by Team,108,111
4,0:48.0,,W. Cauley-Stein makes free throw 2 of 2,108,112
4,0:39.0,J. Butler misses 3-pt jump shot from 26 ft,,108,112
4,0:36.0,,Defensive rebound by W. Cauley-Stein,108,112
4,0:26.0,,Personal take foul by J. Butler (drawn by B. Hield),108,112
4,0:26.0,,B. Hield makes free throw 1 of 2,108,113
4,0:26.0,,B. Hield makes free throw 2 of 2,108,114
4,0:26.0,Philadelphia full timeout,,108,114
4,0:26.0,S. Milton enters the game for T. McConnell,,108,114
4,0:23.0,J. Butler misses 3-pt jump shot from 23 ft,,108,114
4,0:21.0,,Defensive rebound by B. Hield,108,114
4,0:21.0,,Personal foul by J. Embiid (drawn by B. Hield),108,114
4,0:21.0,,B. Hield misses free throw 1 of 2,108,114
4,0:21.0,,Offensive rebound by Team,108,114
4,0:21.0,,B. Hield makes free throw 2 of 2,108,115
4,0:15.0,J. Embiid misses 3-pt jump shot from 27 ft,,108,115
4,0:12.0,,Defensive rebound by B. Hield,108,115
