QUARTER,TIME_REMAINING,DENVER_ACTION,CLEVELAND_ACTION,DENVER_SCORE,CLEVELAND_SCORE
4,1:27.0,T. Lydon makes free throw 1 of 2,,107,86
4,1:27.0,T. Lydon misses free throw 2 of 2,,107,86
4,1:24.0,,Defensive rebound by D. Nwaba,107,86
4,1:21.0,,Shooting foul by T. Lydon (drawn by D. Nwaba),107,86
4,1:21.0,,D. Nwaba makes free throw 1 of 2,107,87
4,1:21.0,,D. Nwaba makes free throw 2 of 2,107,88
4,0:57.0,M. Beasley misses 2-pt jump shot from 15 ft,,107,88
4,0:54.0,,Defensive rebound by A. Žižić,107,88
4,0:47.0,,C. Sexton makes 3-pt jump shot from 25 ft,107,91
4,0:25.0,J. Hernangómez makes 3-pt jump shot from 26 ft (assist by M. Morris),,110,91
4,0:17.0,,A. Žižić misses 2-pt layup from 2 ft,110,91
4,0:15.0,,Offensive rebound by A. Žižić,110,91
4,0:14.0,,A. Žižić misses 2-pt layup from 1 ft (block by J. Hernangómez),110,91
4,0:14.0,Defensive rebound by M. Morris,,110,91
