QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
3,4:06.0,D. Russell misses 3-pt jump shot from 26 ft,,72,84
3,4:04.0,,Defensive rebound by P. Siakam,72,84
3,4:02.0,,Personal foul by S. Dinwiddie (drawn by S. Ibaka),72,84
3,4:02.0,E. Davis enters the game for J. Allen,,72,84
3,4:02.0,R. Kurucs enters the game for J. Harris,,72,84
3,4:02.0,S. Napier enters the game for D. Russell,,72,84
3,4:02.0,,F. VanVleet enters the game for K. Lowry,72,84
3,3:55.0,,S. Ibaka makes 2-pt jump shot from 15 ft (assist by F. VanVleet),72,86
3,3:39.0,Turnover by D. Carroll (lost ball; steal by P. Siakam),,72,86
3,3:35.0,,P. Siakam misses 2-pt jump shot from 5 ft,72,86
3,3:33.0,Defensive rebound by D. Carroll,,72,86
3,3:25.0,S. Napier misses 3-pt jump shot from 26 ft,,72,86
3,3:22.0,,Defensive rebound by K. Leonard,72,86
3,3:19.0,,P. Siakam makes 2-pt layup from 2 ft (assist by K. Leonard),72,88
3,3:07.0,D. Carroll misses 2-pt layup from 1 ft (block by S. Ibaka),,72,88
3,3:05.0,,Defensive rebound by S. Ibaka,72,88
3,3:03.0,,Shooting foul by S. Dinwiddie (drawn by P. Siakam),72,88
3,3:03.0,,P. Siakam makes free throw 1 of 2,72,89
3,3:03.0,,O. Anunoby enters the game for D. Green,72,89
3,3:03.0,,N. Powell enters the game for S. Ibaka,72,89
3,3:03.0,,P. Siakam misses free throw 2 of 2,72,89
3,3:01.0,Defensive rebound by E. Davis,,72,89
3,2:48.0,Shooting foul by F. VanVleet (drawn by S. Dinwiddie),,72,89
3,2:48.0,S. Dinwiddie makes free throw 1 of 2,,73,89
3,2:48.0,S. Dinwiddie makes free throw 2 of 2,,74,89
3,2:30.0,,Turnover by F. VanVleet (bad pass),74,89
3,2:14.0,R. Kurucs misses 2-pt layup from 3 ft,,74,89
3,2:12.0,,Defensive rebound by O. Anunoby,74,89
3,2:09.0,,O. Anunoby makes 2-pt layup from 1 ft,74,91
