QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHICAGO_ACTION,NEW ORLEANS_SCORE,CHICAGO_SCORE
4,2:11.0,K. Williams makes 3-pt jump shot from 26 ft (assist by J. Holiday),,116,105
4,1:57.0,,Z. LaVine makes 2-pt layup from 1 ft,116,107
4,1:45.0,Turnover by J. Holiday (lost ball; steal by K. Dunn),,116,107
4,1:43.0,,K. Dunn makes 2-pt layup from 2 ft,116,109
4,1:28.0,Shooting foul by K. Dunn (drawn by J. Holiday),,116,109
4,1:28.0,J. Holiday misses free throw 1 of 2,,116,109
4,1:28.0,Offensive rebound by Team,,116,109
4,1:28.0,J. Holiday makes free throw 2 of 2,,117,109
4,1:20.0,,L. Markkanen misses 3-pt jump shot from 26 ft,117,109
4,1:17.0,,Offensive rebound by Z. LaVine,117,109
4,1:14.0,,K. Dunn makes 3-pt jump shot from 27 ft (assist by Z. LaVine),117,112
4,0:57.0,K. Williams misses 3-pt jump shot from 25 ft,,117,112
4,0:55.0,,Defensive rebound by S. Harrison,117,112
4,0:47.0,,Z. LaVine misses 2-pt jump shot from 16 ft,117,112
4,0:41.0,Defensive rebound by J. Okafor,,117,112
4,0:36.0,Personal foul by S. Harrison (drawn by J. Randle),,117,112
4,0:36.0,J. Randle makes free throw 1 of 2,,118,112
4,0:36.0,C. Diallo enters the game for J. Okafor,,118,112
4,0:36.0,J. Randle makes free throw 2 of 2,,119,112
4,0:36.0,,Chicago full timeout,119,112
4,0:36.0,,W. Selden enters the game for R. Lopez,119,112
4,0:29.0,,L. Markkanen makes 2-pt layup from 2 ft,119,114
4,0:24.0,Personal take foul by L. Markkanen (drawn by J. Randle),,119,114
4,0:24.0,J. Randle makes free throw 1 of 2,,120,114
4,0:24.0,J. Randle makes free throw 2 of 2,,121,114
4,0:19.0,,Personal foul by J. Holiday (drawn by K. Dunn),121,114
4,0:15.0,,Z. LaVine makes 2-pt layup from 1 ft,121,116
4,0:15.0,,Shooting foul by J. Randle (drawn by Z. LaVine),121,116
4,0:15.0,D. Miller enters the game for K. Williams,,121,116
4,0:15.0,,Z. LaVine misses free throw 1 of 1,121,116
4,0:14.0,Defensive rebound by C. Diallo,,121,116
4,0:14.0,Personal take foul by W. Selden (drawn by C. Diallo),,121,116
4,0:14.0,C. Diallo makes free throw 1 of 2,,122,116
4,0:14.0,K. Williams enters the game for J. Randle,,122,116
4,0:14.0,,R. Lopez enters the game for W. Selden,122,116
4,0:14.0,C. Diallo makes free throw 2 of 2,,123,116
4,0:14.0,,Chicago full timeout,123,116
4,0:14.0,J. Randle enters the game for C. Diallo,,123,116
4,0:14.0,,W. Selden enters the game for S. Harrison,123,116
4,0:10.0,,Z. LaVine makes 2-pt dunk from 1 ft,123,118
4,0:10.0,New Orleans full timeout,,123,118
4,0:10.0,I. Clark enters the game for K. Williams,,123,118
4,0:10.0,,S. Harrison enters the game for R. Lopez,123,118
4,0:09.0,Personal take foul by W. Selden (drawn by J. Randle),,123,118
4,0:09.0,J. Randle makes free throw 1 of 2,,124,118
4,0:09.0,J. Randle makes free throw 2 of 2,,125,118
4,0:02.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by Z. LaVine),125,120
