QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BOSTON_ACTION,SAN ANTONIO_SCORE,BOSTON_SCORE
4,2:36.0,San Antonio full timeout,,106,89
4,2:36.0,L. Aldridge enters the game for D. Bertāns,,106,89
4,2:36.0,J. Poeltl enters the game for D. Eubanks,,106,89
4,2:36.0,D. White enters the game for L. Walker,,106,89
4,2:22.0,L. Aldridge misses 2-pt jump shot from 7 ft,,106,89
4,2:21.0,Offensive rebound by L. Aldridge,,106,89
4,2:21.0,L. Aldridge makes 2-pt layup at rim,,108,89
4,2:21.0,Shooting foul by G. Yabusele (drawn by L. Aldridge),,108,89
4,2:21.0,B. Forbes enters the game for D. DeRozan,,108,89
4,2:21.0,L. Aldridge makes free throw 1 of 1,,109,89
4,2:11.0,,G. Monroe misses 2-pt layup from 4 ft (block by L. Aldridge),109,89
4,2:09.0,,Offensive rebound by G. Monroe,109,89
4,2:07.0,,G. Yabusele makes 2-pt dunk from 1 ft (assist by G. Monroe),109,91
4,1:42.0,L. Aldridge makes 2-pt jump shot from 12 ft,,111,91
4,1:35.0,,Away from play foul by L. Aldridge (drawn by G. Yabusele),111,91
4,1:35.0,,B. Wanamaker misses free throw 1 of 1,111,91
4,1:35.0,,Offensive rebound by Team,111,91
4,1:35.0,D. Eubanks enters the game for L. Aldridge,,111,91
4,1:35.0,L. Walker enters the game for D. White,,111,91
4,1:28.0,,Turnover by B. Wanamaker (bad pass; steal by L. Walker),111,91
4,1:07.0,B. Forbes misses 3-pt jump shot from 26 ft,,111,91
4,1:06.0,Offensive rebound by D. Eubanks,,111,91
4,1:05.0,D. Eubanks misses 2-pt layup from 1 ft,,111,91
4,1:05.0,Offensive rebound by D. Eubanks,,111,91
4,1:04.0,D. Eubanks misses 2-pt layup from 1 ft,,111,91
4,1:04.0,Offensive rebound by Team,,111,91
4,1:04.0,D. Cunningham enters the game for P. Mills,,111,91
4,1:04.0,Q. Pondexter enters the game for J. Poeltl,,111,91
4,0:52.0,L. Walker makes 2-pt jump shot from 19 ft,,113,91
4,0:42.0,,G. Monroe makes 2-pt layup from 6 ft,113,93
4,0:23.0,D. Cunningham makes 2-pt layup from 1 ft (assist by D. Eubanks),,115,93
4,0:15.0,,G. Yabusele makes 3-pt jump shot from 26 ft (assist by B. Wanamaker),115,96
