QUARTER,TIME_REMAINING,ORLANDO_ACTION,DENVER_ACTION,ORLANDO_SCORE,DENVER_SCORE
4,3:10.0,,Defensive rebound by T. Welsh,79,105
4,2:59.0,,T. Welsh makes 3-pt jump shot from 26 ft (assist by M. Beasley),79,108
4,2:44.0,I. Briscoe makes 2-pt layup from 2 ft,,81,108
4,2:42.0,,Personal foul by I. Briscoe (drawn by T. Craig),81,108
4,2:22.0,,T. Welsh makes 2-pt dunk from 1 ft (assist by D. Akoon-Purcell),81,110
4,2:06.0,Turnover by J. Simmons (out of bounds lost ball),,81,110
4,1:52.0,,T. Craig misses 2-pt jump shot from 4 ft,81,110
4,1:46.0,,Offensive rebound by T. Craig,81,110
4,1:46.0,,T. Craig misses 2-pt layup at rim,81,110
4,1:45.0,Defensive rebound by J. Martin,,81,110
4,1:39.0,J. Simmons makes 2-pt dunk from 1 ft,,83,110
4,1:28.0,,D. Akoon-Purcell misses 2-pt layup from 2 ft,83,110
4,1:28.0,,Offensive rebound by T. Lydon,83,110
4,1:28.0,,T. Lydon makes 2-pt layup at rim,83,112
4,1:19.0,I. Briscoe makes 2-pt layup from 2 ft,,85,112
4,1:01.0,,D. Akoon-Purcell misses 3-pt jump shot from 23 ft,85,112
4,0:56.0,,Offensive rebound by M. Beasley,85,112
4,0:44.0,,T. Craig misses 2-pt layup from 2 ft,85,112
4,0:42.0,Defensive rebound by J. Martin,,85,112
4,0:38.0,I. Briscoe makes 2-pt jump shot from 21 ft (assist by W. Iwundu),,87,112
4,0:24.0,,T. Craig misses 3-pt jump shot from 26 ft,87,112
4,0:24.0,Defensive rebound by J. Martin,,87,112
4,0:12.0,J. Simmons misses 2-pt jump shot from 17 ft,,87,112
4,0:09.0,,Defensive rebound by T. Craig,87,112
