QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
4,6:08.0,C. Payne makes 2-pt layup from 1 ft,,106,118
4,5:49.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Payton),106,120
4,5:34.0,C. Osman misses 2-pt jump shot from 9 ft,,106,120
4,5:32.0,,Defensive rebound by A. Davis,106,120
4,5:30.0,,J. Randle makes 2-pt dunk from 1 ft (assist by E. Payton),106,122
4,5:30.0,,Shooting foul by C. Payne (drawn by J. Randle),106,122
4,5:30.0,,J. Randle makes free throw 1 of 1,106,123
4,5:30.0,Cleveland full timeout,,106,123
4,5:20.0,Personal foul by J. Holiday (drawn by C. Sexton),,106,123
4,5:20.0,C. Sexton makes free throw 1 of 2,,107,123
4,5:20.0,A. Burks enters the game for C. Payne,,107,123
4,5:20.0,C. Sexton makes free throw 2 of 2,,108,123
4,5:04.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Payton),108,125
4,5:04.0,,Shooting foul by C. Sexton (drawn by A. Davis),108,125
4,5:04.0,J. Blossomgame enters the game for J. Clarkson,,108,125
4,5:04.0,,A. Davis makes free throw 1 of 1,108,126
4,4:53.0,C. Sexton misses 3-pt jump shot from 22 ft,,108,126
4,4:48.0,,Defensive rebound by A. Davis,108,126
4,4:39.0,,Turnover by D. Miller (traveling),108,126
4,4:39.0,A. Žižić enters the game for T. Thompson,,108,126
4,4:23.0,Shooting foul by D. Miller (drawn by A. Burks),,108,126
4,4:23.0,A. Burks makes free throw 1 of 2,,109,126
4,4:23.0,A. Burks makes free throw 2 of 2,,110,126
4,4:09.0,,J. Holiday makes 2-pt layup from 1 ft (assist by A. Davis),110,128
4,3:51.0,A. Burks makes 3-pt jump shot from 26 ft (assist by C. Sexton),,113,128
4,3:40.0,,A. Davis makes 2-pt dunk from 2 ft (assist by E. Payton),113,130
4,3:26.0,J. Blossomgame makes 2-pt jump shot from 8 ft (assist by A. Burks),,115,130
4,3:18.0,,D. Miller misses 3-pt jump shot from 22 ft,115,130
4,3:14.0,Defensive rebound by C. Sexton,,115,130
4,3:13.0,Cleveland full timeout,,115,130
4,3:13.0,J. Jones enters the game for C. Osman,,115,130
4,3:13.0,,N. Mirotić enters the game for D. Miller,115,130
4,3:04.0,A. Žižić makes 2-pt layup from 2 ft (assist by A. Burks),,117,130
4,2:42.0,,Turnover by E. Payton (lost ball; steal by J. Jones),117,130
4,2:37.0,J. Blossomgame makes 2-pt dunk at rim (assist by J. Jones),,119,130
4,2:24.0,,E. Payton makes 2-pt layup from 1 ft,119,132
4,2:02.0,C. Sexton misses 3-pt jump shot from 26 ft,,119,132
4,2:02.0,,Defensive rebound by J. Randle,119,132
4,1:57.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by E. Payton),119,134
4,1:57.0,,Shooting foul by A. Burks (drawn by N. Mirotić),119,134
4,1:57.0,,F. Jackson enters the game for A. Davis,119,134
4,1:57.0,,J. Okafor enters the game for J. Holiday,119,134
4,1:57.0,,K. Williams enters the game for J. Randle,119,134
4,1:57.0,,N. Mirotić makes free throw 1 of 1,119,135
4,1:47.0,A. Žižić makes 2-pt dunk from 1 ft (assist by C. Sexton),,121,135
4,1:37.0,,F. Jackson misses 2-pt jump shot from 20 ft,121,135
4,1:36.0,Defensive rebound by Team,,121,135
4,1:36.0,,Loose ball foul by N. Mirotić (drawn by A. Burks),121,135
4,1:36.0,A. Burks misses free throw 1 of 2,,121,135
4,1:36.0,Offensive rebound by Team,,121,135
4,1:36.0,A. Burks makes free throw 2 of 2,,122,135
4,1:29.0,,Turnover by K. Williams (bad pass),122,135
4,1:13.0,A. Žižić misses 2-pt layup from 2 ft,,122,135
4,1:11.0,Offensive rebound by J. Blossomgame,,122,135
4,1:11.0,J. Blossomgame makes 2-pt dunk at rim,,124,135
4,1:05.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by J. Okafor),124,137
4,0:54.0,C. Sexton misses 2-pt layup from 3 ft,,124,137
4,0:54.0,,Defensive rebound by N. Mirotić,124,137
4,0:48.0,,F. Jackson makes 3-pt jump shot from 25 ft (assist by E. Payton),124,140
4,0:26.0,J. Jones misses 2-pt jump shot from 19 ft,,124,140
4,0:23.0,,Defensive rebound by E. Payton,124,140
4,0:01.0,,Turnover by Team (shot clock),124,140
