id,players,team
133,"{'N. Vučević', 'T. Ross', 'J. Simmons', 'M. Bamba', 'D. Augustin'}",ORL
134,"{'N. Vučević', 'T. Ross', 'J. Grant', 'J. Simmons', 'M. Bamba'}",ORL
135,"{'A. Gordon', 'J. Grant', 'J. Simmons', 'M. Bamba', 'E. Fournier'}",ORL
136,"{'N. Vučević', 'A. Gordon', 'J. Grant', 'J. Simmons', 'E. Fournier'}",ORL
137,"{'J. Isaac', 'A. Gordon', 'J. Grant', 'J. Simmons', 'E. Fournier'}",ORL
138,"{'J. Isaac', 'A. Gordon', 'J. Simmons', 'M. Bamba', 'E. Fournier'}",ORL
139,"{'D. Fox', 'Y. Ferrell', 'N. Bjelica', 'W. Cauley-Stein', 'B. Hield'}",SAC
140,"{'D. Fox', 'Y. Ferrell', 'W. Cauley-Stein', 'J. Jackson', 'B. Hield'}",SAC
141,"{'I. Shumpert', 'D. Fox', 'W. Cauley-Stein', 'J. Jackson', 'B. Hield'}",SAC
142,"{'I. Shumpert', 'D. Fox', 'W. Cauley-Stein', 'M. Bagley', 'J. Jackson'}",SAC
143,"{'I. Shumpert', 'F. Mason', 'H. Giles', 'M. Bagley', 'J. Jackson'}",SAC
144,"{'I. Shumpert', 'F. Mason', 'H. Giles', 'M. Bagley', 'B. Hield'}",SAC
145,"{'D. Fox', 'N. Bjelica', 'W. Cauley-Stein', 'M. Bagley', 'B. Hield'}",SAC
146,"{'D. Fox', 'Y. Ferrell', 'N. Bjelica', 'W. Cauley-Stein', 'J. Jackson'}",SAC
147,"{'D. Fox', 'Y. Ferrell', 'H. Giles', 'N. Bjelica', 'J. Jackson'}",SAC
148,"{'I. Shumpert', 'Y. Ferrell', 'H. Giles', 'N. Bjelica', 'J. Jackson'}",SAC
149,"{'I. Shumpert', 'Y. Ferrell', 'W. Cauley-Stein', 'J. Jackson', 'B. Hield'}",SAC
150,"{'I. Shumpert', 'Y. Ferrell', 'H. Giles', 'J. Jackson', 'B. Hield'}",SAC
151,"{'I. Shumpert', 'Y. Ferrell', 'W. Cauley-Stein', 'M. Bagley', 'J. Jackson'}",SAC
152,"{'I. Shumpert', 'D. Fox', 'N. Bjelica', 'W. Cauley-Stein', 'J. Jackson'}",SAC
153,"{'D. Fox', 'N. Bjelica', 'W. Cauley-Stein', 'J. Jackson', 'B. Hield'}",SAC
154,"{'I. Shumpert', 'D. Fox', 'H. Giles', 'W. Cauley-Stein', 'J. Jackson'}",SAC
155,"{'I. Shumpert', 'D. Fox', 'Y. Ferrell', 'W. Cauley-Stein', 'J. Jackson'}",SAC
156,"{'J. Poeltl', 'B. Forbes', 'R. Gay', 'D. DeRozan', 'L. Aldridge'}",SAS
157,"{'B. Forbes', 'R. Gay', 'D. DeRozan', 'P. Gasol', 'L. Aldridge'}",SAS
158,"{'R. Gay', 'D. DeRozan', 'P. Mills', 'P. Gasol', 'L. Aldridge'}",SAS
159,"{'D. DeRozan', 'M. Belinelli', 'P. Mills', 'P. Gasol', 'L. Aldridge'}",SAS
160,"{'R. Gay', 'M. Belinelli', 'P. Mills', 'P. Gasol', 'L. Aldridge'}",SAS
